id,task,START,TOR1,AD_off,TOR2,AD_On,END,abnormal,RT_adoff,T_steer,RT_steer,T_gas,RT_gas,,window start_fromend ,
2,D,26287,40509,40712,41070,41191,41690,,3.383333333,40718,3.483333333,NA,#VALUE!,,207.0333333,03:27
2,J,82343,92460,92804,93006,93120,93694,,5.733333333,92824,6.066666667,NA,#VALUE!,,138.6166667,02:19
2,M,1709,16572,16961,17116,17276,18542,,6.483333333,16940,6.133333333,NA,#VALUE!,,217.7166667,03:38
2,P,46859,58718,59003,59266,59370,60363,,4.75,59023,5.083333333,NA,#VALUE!,,167.65,02:48
2,W,255623,269142,269484,269693,269807,275580,,5.7,269455,5.216666667,NA,#VALUE!,,195.3166667,03:15
3,D,215881,229912,230250,230459,230728,231233,,5.633333333,230233,5.35,230247,5.583333333,,203.85,03:24
3,J,268544,278533,278919,279079,279229,279927,,6.433333333,278939,6.766666667,NA,#VALUE!,,136.4833333,02:16
3,M,187260,202572,202986,203116,204272,205722,,6.9,202999,7.116666667,202984,6.866666667,,225.2,03:45
3,P,237659,249452,249784,250003,250204,251135,,5.533333333,249797,5.75,250118,11.1,,166.55,02:47
3,W,152990,166316,166797,166858,167390,168959,,8.016666667,166750,7.233333333,166796,8,,192.1,03:12
4,D,1134164,1148383,1148501,1148960,1149523,1149912,,1.966666667,1148543,2.666666667,1148837,7.566666667,,206.9833333,03:27
4,J,1185004,1195184,1195384,1195748,1195948,1197175,,3.333333333,1195423,3.983333333,1195530,5.766666667,,139.6666667,02:20
4,M,1098449,1113823,1114084,1114381,1115125,1116365,,4.35,1114154,5.516666667,1114167,5.733333333,,226.2333333,03:46
4,P,1155199,1167309,1167449,1167883,1168192,1170235,,2.333333333,1167467,2.633333333,1167817,8.466666667,,171.8333333,02:52
4,W,1208554,1221752,1221900,1222320,1222491,1223408,,2.466666667,1221959,3.45,1222053,5.016666667,,189.9666667,03:10
5,D,107242,121722,122076,122269,122549,123379,,5.9,122028,5.1,122074,5.866666667,,211.3333333,03:31
5,J,166031,176340,176564,176340,177091,178002,,3.733333333,176749,6.816666667,176905,9.416666667,,141.8166667,02:22
5,M,14824,29689,29946,30251,30513,32830,,4.283333333,30087,6.633333333,30220,8.85,,217.75,03:38
5,P,130624,142802,143257,143347,144197,147342,,7.583333333,143164,6.033333333,143255,7.55,,172.9666667,02:53
5,W,189768,202905,203348,203450,203769,209511,,7.383333333,203382,7.95,NA,#VALUE!,,188.95,03:09
6,D,77926,91828,92138,92379,92676,93658,,5.166666667,92171,5.716666667,92225,6.616666667,,201.7,03:22
6,J,3992,14298,14650,14846,15224,17489,,5.866666667,14613,5.25,14648,5.833333333,,141.7666667,02:22
6,M,49798,64663,65012,65213,65473,67352,,5.816666667,65034,6.183333333,65104,7.35,,217.75,03:38
6,P,163812,175733,176267,176276,NA,176850,1,8.9,176255,8.7,NA,#VALUE!,,168.6833333,02:49
6,W,26641,39984,40442,40528,40937,43166,,7.633333333,40458,7.9,40553,9.483333333,,192.3833333,03:12
7,D,316895,330991,331369,331539,331735,332223,,6.3,331299,5.133333333,331377,6.433333333,,204.9333333,03:25
7,J,228477,238723,239161,239269,239517,240408,,7.3,239143,7,239158,7.25,,140.7666667,02:21
7,M,291967,306835,307277,307379,307690,310435,,7.366666667,307224,6.483333333,307281,7.433333333,,217.8,03:38
7,P,336355,348341,348800,348884,349103,349885,,7.65,348726,6.416666667,348801,7.666666667,,169.7666667,02:50
7,W,257553,270753,271222,271297,271531,275190,,7.816666667,271068,5.25,271222,7.816666667,,190,03:10
8,D,346224,361201,361442,361759,362123,362658,,4.016666667,361365,2.733333333,361440,3.983333333,,219.6166667,03:40
8,J,404672,415122,415394,415677,415965,417391,,4.533333333,415343,3.683333333,415393,4.516666667,,144.1666667,02:24
8,M,317824,333000,333342,333550,333862,335714,,5.7,333331,5.516666667,333340,5.666666667,,222.9333333,03:43
8,P,376750,388742,389040,389295,389581,391911,,4.966666667,388982,4,389039,4.95,,169.8666667,02:50
8,W,280231,293712,293989,294269,294493,296313,,4.616666667,293956,4.066666667,293987,4.583333333,,194.6833333,03:15
9,D,576122,590598,590962,591145,591511,592271,,6.066666667,590991,6.55,591262,11.06666667,,211.2666667,03:31
9,J,637393,647640,648068,648182,648434,649247,,7.133333333,648074,7.233333333,NA,#VALUE!,,140.7833333,02:21
9,M,536961,552020,552522,552565,NA,553156,1,8.366666667,552505,8.083333333,552960,15.66666667,,220.9833333,03:41
9,P,605356,618110,618458,618663,618774,621376,,5.8,618481,6.183333333,NA,#VALUE!,,182.5666667,03:03
9,W,11452,24653,24874,25233,25230,27440,,3.683333333,24895,4.033333333,NA,#VALUE!,,190.0166667,03:10
10,D,156129,170351,170814,170896,171799,172317,,7.716666667,170743,6.533333333,170811,7.666666667,,207.0333333,03:27
10,J,213608,223917,NA,224461,224482,225834,1,9.416666667,224451,8.9,224478,9.35,,141.8166667,02:22
10,M,270123,285054,285442,285602,285999,287911,,6.466666667,285462,6.8,285775,12.01666667,,218.85,03:39
10,P,181631,193808,194293,194350,195732,197734,,8.083333333,194247,7.316666667,194292,8.066666667,,172.95,02:53
10,W,236006,249336,249706,249882,250159,251608,,6.166666667,249691,5.916666667,249704,6.133333333,,192.1666667,03:12
11,D,619585,633679,633903,634239,634695,635542,,3.733333333,633985,5.1,NA,#VALUE!,,204.9,03:25
11,J,513701,524203,524552,524792,525550,526793,,5.816666667,524540,5.616666667,NA,#VALUE!,,145.0333333,02:25
11,M,582216,597275,597633,597823,598305,604812,,5.966666667,597608,5.55,NA,#VALUE!,,220.9833333,03:41
11,P,476208,489352,490053,489894,490711,494787,,11.68333333,489799,7.45,490521,19.48333333,,189.0666667,03:09
11,W,549880,563207,563587,563752,564200,566510,,6.333333333,563613,6.766666667,NA,#VALUE!,,192.1166667,03:12
12,D,59528,73496,73662,74065,74438,75082,,2.766666667,73690,3.233333333,73637,2.35,,202.8,03:23
