task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
D,65.151,74.5712,920.9375,60.057,10.666667,2.1177,5172.3336,0.095554778,-0.309978332,-0.017480294,41,23.863009,5.949956652,0.010754244,1649.958491,49.99874217,51220.5,34,21.939531,39.04798762,0.034613715,704.5391891,3.383333333,50.07535603
J,79.5053,85.7878,754.6667,25.1864,6.5,4.0501,779.796,1,10.7355249,0.605397574,100,12.442591,8.996949387,0.039834105,0,0,0,0,0,0,0,0,5.733333333,72.32890938
M,70.2623,76.2389,853.9429,46.4315,11.666667,2.473,2773.5898,0.945039751,3.701195589,0.208717771,35,24.544459,7.20436855,0.018325617,317.8304002,105.9434667,10023.5,4,1.051882,61.63522013,0.007921007,88.26511086,6.483333333,66.72867713
P,70.7809,75.5097,847.6857,40.4509,7,2.4138,2079.1753,1,3.081658102,0.173780822,113,19.515329,8.272851139,0.024836034,0,0,0,0,0,0,0,0,4.75,22.55243409
W,70.1942,74.6454,854.7714,46.6915,8.75,0.3499,1772.2751,0.962447844,5.340936818,0.301186036,46,25.205796,6.970653175,0.013937114,0,0,0,1,0.851547,58.33333333,0.00531684,60.12530227,5.7,51.8812726
D,83.5488,86.8056,718.1429,24.8709,5.25,1.0282,504.5152,0.015818432,-1.562661546,-0.089665761,24,27.409946,4.216193052,0.005979938,1940.210674,88.19139425,27968,23,27.289728,30.57302586,0.026692708,579.5479361,5.633333333,99.42442088
J,92.2522,93.8086,650.3913,8.3734,2.421053,0.9165,50.8632,0.920422535,2.168187032,0.124410907,72,7.79406,8.643543605,0.031491127,21.1896201,21.1896201,0,2,0.18035,87.61061947,0.015950521,138.523906,6.433333333,37.18957224
M,93.5403,100.5025,641.4348,10.0948,4.6,2.2002,121.682,0.577615572,3.155142274,0.181042551,32,5.099232,9.432052986,0.047839506,2011.785267,74.51056544,68275,28,4.758596,65.78341014,0.035264757,416.5411915,6.9,37.26432372
P,90.1984,91.9118,665.2,10.4382,3.214286,0.9418,117.0647,0.985634477,-0.848425033,-0.048682759,52,4.60907,9.211490348,0.040364583,0,0,0,0,0,91.66666667,0.003472222,41.1484492,5.533333333,26.62273094
W,91.5727,100.7388,655.2174,13.5345,4.6,0.8882,254.6205,0.647893031,-0.111748827,-0.006412165,79,7.724218,8.886765548,0.036024306,3622.532189,120.751073,83866.5,31,3.125693,79.51668585,0.052951389,453.4356067,8.016666667,124.9468185
D,83.1766,93.4288,721.3571,14.0383,6,19.572,1457.491,0.082117408,0.670078577,0.052921664,39,26.217651,5.220259202,0.01007909,3585.974223,108.6658856,62206,34,24.854992,24.47319778,0.031792535,510.6656399,1.966666667,32.67163378
