id,task,y_first_fix,y_first_gaze,RT_adoff,RT_steer,mean_hand,mean_eye,big_maneuver
2,D,0.250504,0.130287,3.383333333,3.483333333,50.07535603,18.12248183,0
3,D,0.070121,0.090137,5.633333333,5.35,99.42442088,3.68277625,1
4,D,0,0.090212,1.966666667,2.666666667,32.67163378,29.70428403,0
5,D,0,0.090131,5.9,5.1,47.88786127,21.78339332,1
6,D,0,0.090213,5.166666667,5.716666667,120.8480395,7.413762348,1
7,D,0,0.090171,6.3,5.133333333,114.6036225,20.93581261,1
8,D,0,0.090213,4.016666667,2.733333333,14.28340431,35.30957695,0
9,D,0,0.090138,6.066666667,6.55,62.64755823,25.12632057,1
10,D,0,0.090137,7.716666667,6.533333333,57.00109619,28.73586167,1
11,D,0,0.090171,3.733333333,5.1,13.60929904,26.09092733,0
12,D,0,0.090171,2.766666667,3.233333333,28.02903427,21.678646,1
13,D,0,0.090213,7.083333333,6.05,92.17810912,14.8513941,1
14,D,0,0.090171,3.9,4.75,27.40910809,16.85862685,0
15,D,0,0.090213,7.1,4.75,43.39569405,7.641975821,1
16,D,0,0.09017,2.75,2.133333333,49.92227243,30.99682986,0
17,D,1.232254,0.230441,2.783333333,2.716666667,55.23308572,19.90343328,0
18,D,0,0.090171,4.983333333,3.766666667,99.41185438,33.44834869,0
19,D,2.434398,0.110192,3.866666667,3.316666667,32.82580779,22.33605739,0
20,D,0,0.090171,3.966666667,3.383333333,53.76192108,28.79225379,0
21,D,0.210387,0.150221,3.866666667,2.45,63.03966346,16.80336736,0
22,D,0.130285,0.090212,3.833333333,2.6,132.4390149,69.74839969,0
23,D,0,0.090169,3.833333333,2.85,42.35833281,9.340266533,0
24,D,0,0.09017,2.8,3.016666667,53.94359822,9.96244072,0
25,D,0,0.09017,4.933333333,3.8,86.45359323,11.79426659,0
26,D,0,0.090171,2.083333333,2.266666667,50.48343539,46.19019307,0
27,D,2.434353,0.100162,3.833333333,3.083333333,36.23222845,24.38546864,0
28,D,0,0.179914,3.866666667,4.633333333,45.14839719,22.95354083,1
29,D,0,0.090171,4.9,5.783333333,73.20478524,11.18996688,1
31,D,0,0.09017,6.016666667,4.883333333,53.88909144,35.5227707,1
32,D,0,0.090171,2.783333333,3.266666667,101.5222884,29.59188108,0
33,D,0.100163,0.090171,3.866666667,3.6,31.47720493,53.11818149,0
34,D,0,0.179878,2.8,2.633333333,50.991957,33.29659619,0
35,D,0,0.09017,4.866666667,4.933333333,75.59448341,18.32174026,0
37,D,0,0.09017,3.833333333,3.533333333,147.7586495,13.12459744,0
38,D,0,0.090171,3.033333333,3.666666667,49.35450712,25.00134401,0
39,D,0.299829,0.339794,3.9,3.2,44.21386882,25.64321975,0
40,D,0,0,4.983333333,5.05,80.76872715,19.7397957,1
41,D,0.090168,0.090168,4.933333333,5.35,35.9762653,38.97317594,1
42,D,1.101974,0.340597,4.916666667,5,81.96932524,7.322655927,0
43,D,0,0.090213,4.933333333,6.25,88.25291178,11.73068335,1
44,D,0,0.090132,4.933333333,5.866666667,110.1436726,21.11408492,1
45,D,0,0.090214,3.85,3.766666667,100.2701163,17.81100298,0
46,D,0,0.090131,4.966666667,4.85,110.1870692,28.20027914,1
47,D,0,0.09017,3.366666667,3.7,95.46114965,44.02470624,0
48,D,0,0.09017,3.366666667,3.1,73.2570534,13.24575832,0
50,D,2.955298,0.140236,2.75,3.766666667,56.97251464,25.57664775,0
2,J,5.500001,4.297826,5.733333333,6.066666667,72.32890938,31.46510841,0
3,J,1.723118,1.572897,6.433333333,6.766666667,37.18957224,2.890881728,0
4,J,2.294127,1.793239,3.333333333,3.983333333,48.21509359,44.0414127,0
5,J,0.009991,0.090136,3.733333333,6.816666667,10.13642977,9.07081798,1
6,J,1.222194,1.162103,5.866666667,5.25,46.31493132,9.24994193,0
7,J,5.890657,4.06734,7.3,7,54.16654297,15.30318077,1
8,J,3.255866,2.765002,4.533333333,3.683333333,24.63749513,32.54092763,0
9,J,6.221263,5.990821,7.133333333,7.233333333,97.78211516,22.05675413,1
10,J,8.866048,5.389733,9.416666667,8.9,51.01849524,33.73960894,1
11,J,4.077369,3.917079,5.816666667,5.616666667,129.6079372,48.06367478,0
12,J,6.571889,1.582882,8.816666667,7.533333333,30.81264807,31.60996589,1
13,J,2.724931,2.434398,6.683333333,6.066666667,33.76905565,50.03520204,0
14,J,1.322393,1.252317,7.766666667,7.516666667,16.48818188,15.07064655,1
15,J,0.941722,0.83153,4.5,5.1,36.56913416,13.11123658,0
16,J,2.17394,1.833266,4.533333333,3.95,39.88396934,33.39730438,0
17,J,1.572896,1.412606,5.616666667,4.2,27.19799547,10.80590609,0
18,J,1.452636,1.412564,6.683333333,6.183333333,20.64201748,8.965118368,0
19,J,2.464478,1.873415,7.8,7.466666667,63.00421741,44.12403245,1
20,J,9.10645,8.715711,8.916666667,7.9,37.35641826,29.19589908,1
21,J,1.883408,1.46259,6.683333333,4.433333333,76.59683192,16.35768954,0
22,J,1.893434,1.592833,5.6,4.166666667,29.57755601,7.654536464,0
23,J,6.561898,2.765003,6.85,6.416666667,32.80911727,32.12324649,1
24,J,2.33423,1.53278,4.533333333,4.333333333,45.16517574,12.43812302,0
25,J,4.287758,3.636612,5.6,5.6,31.34721067,9.451953823,0
26,J,2.734924,2.424329,7.8,6.683333333,77.77354703,43.50301189,1
27,J,0,0,8.1,7.566666667,54.48386508,37.1244145,1
28,J,2.218642,2.278618,5.6,4.1,39.90351878,26.36136343,0
29,J,3.396094,1.552759,6.683333333,6.833333333,42.33177427,18.06526992,0
31,J,5.329643,2.133912,6.666666667,6.083333333,68.90656721,43.53436098,1
32,J,1.843335,1.622919,5.616666667,5.1,58.30713739,12.22652355,0
33,J,5.710314,5.21945,6.683333333,6.016666667,15.66862362,32.75770482,1
34,J,0,0,14.08333333,8.166666667,58.00475174,55.50610493,1
35,J,2.584658,2.264078,5.616666667,5.566666667,36.2856538,14.53956385,0
37,J,5.600081,4.73858,8.5,7.033333333,38.88230891,8.059816013,1
38,J,1.182121,0.901614,2.533333333,3.15,42.57328636,20.81069474,0
39,J,2.258629,2.258629,5.65,4.183333333,38.3414517,36.32981132,0
40,J,4.297783,4.017276,21.78333333,5.233333333,28.99225585,19.93755712,1
41,J,8.214863,2.214057,6.683333333,6.833333333,70.56422292,61.46101501,0
42,J,3.516312,1.222193,6.683333333,5.916666667,28.81066485,10.5050286,0
43,J,3.025456,2.935318,7.766666667,7.233333333,24.55521647,22.71064518,1
44,J,3.987159,1.412533,5.616666667,6.266666667,39.94759296,31.21543123,0
45,J,3.836891,3.636529,6.683333333,6.283333333,31.29750902,15.43876539,0
46,J,3.566452,2.394358,5.6,6.166666667,34.78635784,29.15707001,0
47,J,6.541811,1.562828,8.883333333,7,13.20408213,22.95131135,1
48,J,0,2.15389,6.7,6.416666667,20.56879524,11.9270853,0
50,J,1.833309,1.502661,5.616666667,5.5,68.93862064,32.16842439,0
2,M,2.494565,2.073786,6.483333333,6.133333333,66.72867713,17.14766467,0
3,M,5.289573,2.464519,6.9,7.116666667,37.26432372,14.84727087,1
4,M,2.805076,2.304188,4.35,5.516666667,34.44271066,18.48802179,0
