"Frame","stream_1","CG_x","CG_y","CG_z","subject"
576121,0,-24421.89,12268.25,-1.73804,"P09"
576122,0,-24421.89,12268.25,-1.737845,"P09"
576123,0,-24421.89,12268.25,-1.737688,"P09"
576124,0,-24421.89,12268.25,-1.737558,"P09"
576125,0,-24421.89,12268.25,-1.737454,"P09"
576126,0,-24421.89,12268.25,-1.737375,"P09"
576127,0,-24421.89,12268.25,-1.737322,"P09"
576128,0,-24421.89,12268.25,-1.737292,"P09"
576129,0,-24421.89,12268.25,-1.737283,"P09"
576130,0,-24421.89,12268.25,-1.737295,"P09"
576131,0,-24421.89,12268.25,-1.737325,"P09"
576132,0,-24421.89,12268.25,-1.737371,"P09"
576133,0,-24421.89,12268.25,-1.737429,"P09"
576134,0,-24421.89,12268.25,-1.737499,"P09"
576135,0,-24421.89,12268.25,-1.737578,"P09"
576136,0,-24421.89,12268.25,-1.737662,"P09"
576137,0,-24421.89,12268.25,-1.73775,"P09"
576138,0,-24421.89,12268.25,-1.73784,"P09"
576139,0,-24421.89,12268.25,-1.73793,"P09"
576140,0,-24421.89,12268.25,-1.738017,"P09"
576141,0,-24421.89,12268.25,-1.738101,"P09"
576142,0,-24421.89,12268.25,-1.73818,"P09"
576143,0,-24421.89,12268.25,-1.738253,"P09"
576144,0,-24421.89,12268.25,-1.738318,"P09"
576145,0,-24421.89,12268.25,-1.738376,"P09"
576146,0,-24421.89,12268.25,-1.738425,"P09"
576147,0,-24421.89,12268.25,-1.738466,"P09"
576148,0,-24421.89,12268.25,-1.738499,"P09"
576149,0,-24421.89,12268.25,-1.738523,"P09"
576150,0,-24421.89,12268.25,-1.738539,"P09"
576151,0,-24421.89,12268.25,-1.738548,"P09"
576152,0,-24421.89,12268.25,-1.738549,"P09"
576153,0,-24421.89,12268.25,-1.738544,"P09"
576154,0,-24421.89,12268.25,-1.738533,"P09"
576155,0,-24421.89,12268.25,-1.738518,"P09"
576156,0,-24421.89,12268.25,-1.738498,"P09"
576157,0,-24421.89,12268.25,-1.738474,"P09"
576158,0,-24421.89,12268.25,-1.738448,"P09"
576159,0,-24421.89,12268.25,-1.738421,"P09"
576160,0,-24421.89,12268.25,-1.738392,"P09"
576161,0,-24421.89,12268.25,-1.738363,"P09"
576162,0,-24421.89,12268.25,-1.738334,"P09"
576163,0,-24421.89,12268.25,-1.738305,"P09"
576164,0,-24421.89,12268.25,-1.738278,"P09"
576165,0,-24421.89,12268.25,-1.738253,"P09"
576166,0,-24421.89,12268.25,-1.73823,"P09"
576167,0,-24421.89,12268.25,-1.738209,"P09"
576168,0,-24421.89,12268.25,-1.738191,"P09"
576169,0,-24421.89,12268.25,-1.738175,"P09"
576170,0,-24421.89,12268.25,-1.738163,"P09"
576171,0,-24421.89,12268.25,-1.738153,"P09"
576172,0,-24421.89,12268.25,-1.738145,"P09"
576173,0,-24421.89,12268.25,-1.73814,"P09"
576174,0,-24421.89,12268.25,-1.738138,"P09"
576175,0,-24421.89,12268.25,-1.738138,"P09"
576176,0,-24421.89,12268.25,-1.73814,"P09"
576177,0,-24421.89,12268.25,-1.738144,"P09"
576178,0,-24421.89,12268.25,-1.738149,"P09"
576179,0,-24421.89,12268.25,-1.738156,"P09"
576180,0,-24421.89,12268.25,-1.738164,"P09"
576181,0,-24421.89,12268.25,-1.738172,"P09"
576182,0,-24421.89,12268.25,-1.738181,"P09"
576183,0,-24421.89,12268.25,-1.738191,"P09"
576184,0,-24421.89,12268.25,-1.7382,"P09"
576185,0,-24421.89,12268.25,-1.73821,"P09"
576186,0,-24421.89,12268.25,-1.738219,"P09"
576187,0,-24421.89,12268.25,-1.738227,"P09"
576188,0,-24421.89,12268.25,-1.738235,"P09"
576189,0,-24421.89,12268.25,-1.738243,"P09"
576190,0,-24421.89,12268.25,-1.738249,"P09"
576191,0,-24421.89,12268.25,-1.738255,"P09"
576192,0,-24421.89,12268.25,-1.73826,"P09"
576193,0,-24421.89,12268.25,-1.738264,"P09"
576194,0,-24421.89,12268.25,-1.738267,"P09"
576195,0,-24421.89,12268.25,-1.738269,"P09"
576196,0,-24421.89,12268.25,-1.738271,"P09"
576197,0,-24421.89,12268.25,-1.738271,"P09"
576198,0,-24421.89,12268.25,-1.738271,"P09"
576199,0,-24421.89,12268.25,-1.73827,"P09"
576200,0,-24421.89,12268.25,-1.738269,"P09"
576201,0,-24421.89,12268.25,-1.738267,"P09"
576202,0,-24421.89,12268.25,-1.738265,"P09"
576203,0,-24421.89,12268.25,-1.738262,"P09"
576204,0,-24421.89,12268.25,-1.73826,"P09"
576205,0,-24421.89,12268.25,-1.738257,"P09"
576206,0,-24421.89,12268.25,-1.738254,"P09"
576207,0,-24421.89,12268.25,-1.73825,"P09"
576208,0,-24421.89,12268.25,-1.738247,"P09"
576209,0,-24421.89,12268.25,-1.738245,"P09"
576210,0,-24421.89,12268.25,-1.738242,"P09"
576211,0,-24421.89,12268.25,-1.738239,"P09"
576212,0,-24421.89,12268.25,-1.738237,"P09"
576213,0,-24421.89,12268.25,-1.738235,"P09"
576214,0,-24421.89,12268.25,-1.738233,"P09"
576215,0,-24421.89,12268.25,-1.738231,"P09"
576216,0,-24421.89,12268.25,-1.73823,"P09"
576217,0,-24421.89,12268.25,-1.738229,"P09"
576218,0,-24421.89,12268.25,-1.738229,"P09"
576219,0,-24421.89,12268.25,-1.738228,"P09"
576220,0,-24421.89,12268.25,-1.738228,"P09"
576221,0,-24421.89,12268.25,-1.738228,"P09"
576222,0,-24421.89,12268.25,-1.738228,"P09"
576223,0,-24421.89,12268.25,-1.738229,"P09"
576224,0,-24421.89,12268.25,-1.73823,"P09"
576225,0,-24421.89,12268.25,-1.73823,"P09"
576226,0,-24421.89,12268.25,-1.738231,"P09"
576227,0,-24421.89,12268.25,-1.738232,"P09"
576228,0,-24421.89,12268.25,-1.738233,"P09"
576229,0,-24421.89,12268.25,-1.738234,"P09"
576230,0,-24421.89,12268.25,-1.738235,"P09"
576231,0,-24421.89,12268.25,-1.738236,"P09"
576232,0,-24421.89,12268.25,-1.738237,"P09"
576233,0,-24421.89,12268.25,-1.738238,"P09"
576234,0,-24421.89,12268.25,-1.738239,"P09"
576235,0,-24421.89,12268.25,-1.738239,"P09"
576236,0,-24421.89,12268.25,-1.73824,"P09"
576237,0,-24421.89,12268.25,-1.738241,"P09"
576238,0,-24421.89,12268.25,-1.738241,"P09"
576239,0,-24421.89,12268.25,-1.738242,"P09"
576240,0,-24421.89,12268.25,-1.738242,"P09"
576241,0,-24421.89,12268.25,-1.738242,"P09"
576242,0,-24421.89,12268.25,-1.738242,"P09"
576243,0,-24421.89,12268.25,-1.738242,"P09"
576244,0,-24421.89,12268.25,-1.738242,"P09"
576245,0,-24421.89,12268.25,-1.738242,"P09"
576246,0,-24421.89,12268.25,-1.738242,"P09"
576247,0,-24421.89,12268.25,-1.738242,"P09"
576248,0,-24421.89,12268.25,-1.738241,"P09"
576249,0,-24421.89,12268.25,-1.738241,"P09"
576250,0,-24421.89,12268.25,-1.738241,"P09"
576251,0,-24421.89,12268.25,-1.73824,"P09"
576252,0,-24421.89,12268.25,-1.73824,"P09"
576253,0,-24421.89,12268.25,-1.73824,"P09"
576254,0,-24421.89,12268.25,-1.73824,"P09"
576255,0,-24421.89,12268.25,-1.738239,"P09"
576256,0,-24421.89,12268.25,-1.738239,"P09"
576257,0,-24421.89,12268.25,-1.738239,"P09"
576258,0,-24421.89,12268.25,-1.738238,"P09"
576259,0,-24421.89,12268.25,-1.738238,"P09"
576260,0,-24421.89,12268.25,-1.738238,"P09"
576261,0,-24421.89,12268.25,-1.738238,"P09"
576262,0,-24421.89,12268.25,-1.738238,"P09"
576263,0,-24421.89,12268.25,-1.738238,"P09"
576264,0,-24421.89,12268.25,-1.738238,"P09"
576265,0,-24421.89,12268.25,-1.738238,"P09"
