Frame,stream_1,CG_x,CG_y,CG_z,subject
619584,0,-24421.89,12268.25,-1.73804,P11
619585,0,-24421.89,12268.25,-1.737845,P11
619586,0,-24421.89,12268.25,-1.737689,P11
619587,0,-24421.89,12268.25,-1.737558,P11
619588,0,-24421.89,12268.25,-1.737454,P11
619589,0,-24421.89,12268.25,-1.737376,P11
619590,0,-24421.89,12268.25,-1.737323,P11
619591,0,-24421.89,12268.25,-1.737293,P11
619592,0,-24421.89,12268.25,-1.737285,P11
619593,0,-24421.89,12268.25,-1.737298,P11
619594,0,-24421.89,12268.25,-1.737328,P11
619595,0,-24421.89,12268.25,-1.737374,P11
619596,0,-24421.89,12268.25,-1.737433,P11
619597,0,-24421.89,12268.25,-1.737503,P11
619598,0,-24421.89,12268.25,-1.737581,P11
619599,0,-24421.89,12268.25,-1.737666,P11
619600,0,-24421.89,12268.25,-1.737754,P11
619601,0,-24421.89,12268.25,-1.737844,P11
619602,0,-24421.89,12268.25,-1.737934,P11
619603,0,-24421.89,12268.25,-1.738022,P11
619604,0,-24421.89,12268.25,-1.738106,P11
619605,0,-24421.89,12268.25,-1.738184,P11
619606,0,-24421.89,12268.25,-1.738257,P11
619607,0,-24421.89,12268.25,-1.738322,P11
619608,0,-24421.89,12268.25,-1.73838,P11
619609,0,-24421.89,12268.25,-1.73843,P11
619610,0,-24421.89,12268.25,-1.738471,P11
619611,0,-24421.89,12268.25,-1.738503,P11
619612,0,-24421.89,12268.25,-1.738527,P11
619613,0,-24421.89,12268.25,-1.738543,P11
619614,0,-24421.89,12268.25,-1.738552,P11
619615,0,-24421.89,12268.25,-1.738553,P11
619616,0,-24421.89,12268.25,-1.738548,P11
619617,0,-24421.89,12268.25,-1.738537,P11
619618,0,-24421.89,12268.25,-1.738521,P11
619619,0,-24421.89,12268.25,-1.738501,P11
619620,0,-24421.89,12268.25,-1.738478,P11
619621,0,-24421.89,12268.25,-1.738452,P11
619622,0,-24421.89,12268.25,-1.738424,P11
619623,0,-24421.89,12268.25,-1.738395,P11
619624,0,-24421.89,12268.25,-1.738366,P11
619625,0,-24421.89,12268.25,-1.738337,P11
619626,0,-24421.89,12268.25,-1.738308,P11
619627,0,-24421.89,12268.25,-1.738281,P11
619628,0,-24421.89,12268.25,-1.738256,P11
619629,0,-24421.89,12268.25,-1.738233,P11
619630,0,-24421.89,12268.25,-1.738212,P11
