Frame,stream_1,CG_x,CG_y,CG_z,subject
513700,0,-19163.45,10005.6,-1.738134,P11
513701,0,-19163.45,10005.6,-1.737939,P11
513702,0,-19163.45,10005.6,-1.737782,P11
513703,0,-19163.45,10005.6,-1.737652,P11
513704,0,-19163.45,10005.59,-1.737548,P11
513705,0,-19163.45,10005.59,-1.737469,P11
513706,0,-19163.45,10005.59,-1.737416,P11
513707,0,-19163.45,10005.59,-1.737387,P11
513708,0,-19163.45,10005.59,-1.737379,P11
513709,0,-19163.45,10005.59,-1.737391,P11
513710,0,-19163.45,10005.59,-1.737422,P11
513711,0,-19163.45,10005.59,-1.737468,P11
513712,0,-19163.45,10005.59,-1.737527,P11
513713,0,-19163.45,10005.6,-1.737597,P11
513714,0,-19163.45,10005.6,-1.737676,P11
513715,0,-19163.45,10005.6,-1.737761,P11
513716,0,-19163.45,10005.6,-1.73785,P11
513717,0,-19163.45,10005.6,-1.73794,P11
513718,0,-19163.45,10005.6,-1.73803,P11
513719,0,-19163.45,10005.6,-1.738118,P11
513720,0,-19163.45,10005.6,-1.738202,P11
513721,0,-19163.45,10005.6,-1.73828,P11
513722,0,-19163.45,10005.6,-1.738353,P11
513723,0,-19163.45,10005.6,-1.738419,P11
513724,0,-19163.45,10005.6,-1.738476,P11
513725,0,-19163.45,10005.6,-1.738526,P11
513726,0,-19163.45,10005.6,-1.738567,P11
513727,0,-19163.45,10005.6,-1.738599,P11
513728,0,-19163.45,10005.6,-1.738624,P11
513729,0,-19163.45,10005.6,-1.73864,P11
513730,0,-19163.45,10005.6,-1.738648,P11
513731,0,-19163.45,10005.6,-1.738649,P11
513732,0,-19163.45,10005.6,-1.738644,P11
513733,0,-19163.45,10005.6,-1.738633,P11
513734,0,-19163.45,10005.6,-1.738617,P11
513735,0,-19163.45,10005.6,-1.738597,P11
513736,0,-19163.45,10005.6,-1.738574,P11
513737,0,-19163.45,10005.6,-1.738547,P11
513738,0,-19163.45,10005.6,-1.73852,P11
513739,0,-19163.45,10005.6,-1.738491,P11
513740,0,-19163.45,10005.6,-1.738461,P11
513741,0,-19163.45,10005.6,-1.738432,P11
513742,0,-19163.45,10005.6,-1.738404,P11
513743,0,-19163.45,10005.6,-1.738377,P11
