"Frame","stream_1","CG_x","CG_y","CG_z","subject"
89577,0,-19163.45,10005.6,-1.738134,"P13"
89578,0,-19163.45,10005.6,-1.737939,"P13"
89579,0,-19163.45,10005.6,-1.737781,"P13"
89580,0,-19163.45,10005.6,-1.737651,"P13"
89581,0,-19163.45,10005.6,-1.737546,"P13"
89582,0,-19163.45,10005.59,-1.737468,"P13"
89583,0,-19163.45,10005.59,-1.737415,"P13"
89584,0,-19163.45,10005.59,-1.737386,"P13"
89585,0,-19163.45,10005.59,-1.737378,"P13"
89586,0,-19163.45,10005.59,-1.737391,"P13"
89587,0,-19163.45,10005.59,-1.737422,"P13"
89588,0,-19163.45,10005.59,-1.737468,"P13"
89589,0,-19163.45,10005.6,-1.737528,"P13"
89590,0,-19163.45,10005.6,-1.737599,"P13"
89591,0,-19163.45,10005.6,-1.737678,"P13"
89592,0,-19163.45,10005.6,-1.737763,"P13"
89593,0,-19163.45,10005.6,-1.737852,"P13"
89594,0,-19163.45,10005.6,-1.737943,"P13"
89595,0,-19163.45,10005.6,-1.738033,"P13"
89596,0,-19163.45,10005.6,-1.738121,"P13"
89597,0,-19163.45,10005.6,-1.738206,"P13"
89598,0,-19163.45,10005.6,-1.738285,"P13"
89599,0,-19163.45,10005.6,-1.738358,"P13"
89600,0,-19163.45,10005.6,-1.738424,"P13"
89601,0,-19163.45,10005.6,-1.738482,"P13"
89602,0,-19163.45,10005.6,-1.738532,"P13"
89603,0,-19163.45,10005.6,-1.738573,"P13"
89604,0,-19163.45,10005.6,-1.738605,"P13"
89605,0,-19163.45,10005.6,-1.738629,"P13"
89606,0,-19163.45,10005.6,-1.738645,"P13"
89607,0,-19163.45,10005.6,-1.738654,"P13"
89608,0,-19163.45,10005.6,-1.738655,"P13"
89609,0,-19163.45,10005.6,-1.73865,"P13"
89610,0,-19163.45,10005.6,-1.738639,"P13"
89611,0,-19163.45,10005.6,-1.738622,"P13"
89612,0,-19163.45,10005.6,-1.738602,"P13"
89613,0,-19163.45,10005.6,-1.738579,"P13"
89614,0,-19163.45,10005.6,-1.738552,"P13"
89615,0,-19163.45,10005.6,-1.738524,"P13"
89616,0,-19163.45,10005.6,-1.738495,"P13"
89617,0,-19163.45,10005.6,-1.738466,"P13"
89618,0,-19163.45,10005.6,-1.738436,"P13"
89619,0,-19163.45,10005.6,-1.738408,"P13"
89620,0,-19163.45,10005.6,-1.738381,"P13"
89621,0,-19163.45,10005.6,-1.738355,"P13"
89622,0,-19163.45,10005.6,-1.738332,"P13"
89623,0,-19163.45,10005.6,-1.738311,"P13"
89624,0,-19163.45,10005.6,-1.738293,"P13"
89625,0,-19163.45,10005.6,-1.738277,"P13"
89626,0,-19163.45,10005.6,-1.738264,"P13"
89627,0,-19163.45,10005.6,-1.738254,"P13"
89628,0,-19163.45,10005.6,-1.738247,"P13"
89629,0,-19163.45,10005.6,-1.738242,"P13"
89630,0,-19163.45,10005.6,-1.73824,"P13"
89631,0,-19163.45,10005.6,-1.73824,"P13"
89632,0,-19163.45,10005.6,-1.738242,"P13"
89633,0,-19163.45,10005.6,-1.738246,"P13"
