"Frame","stream_1","CG_x","CG_y","CG_z","subject"
187259,0,-25849.12,12290.04,-1.73804,"P3"
187260,0,-25849.12,12290.04,-1.737845,"P3"
187261,0,-25849.12,12290.04,-1.737688,"P3"
187262,0,-25849.12,12290.04,-1.737558,"P3"
187263,0,-25849.12,12290.04,-1.737454,"P3"
187264,0,-25849.12,12290.04,-1.737375,"P3"
187265,0,-25849.12,12290.04,-1.737321,"P3"
187266,0,-25849.12,12290.04,-1.737291,"P3"
187267,0,-25849.12,12290.04,-1.737283,"P3"
187268,0,-25849.12,12290.04,-1.737295,"P3"
187269,0,-25849.12,12290.04,-1.737324,"P3"
187270,0,-25849.12,12290.04,-1.73737,"P3"
187271,0,-25849.12,12290.04,-1.737429,"P3"
187272,0,-25849.12,12290.04,-1.737499,"P3"
187273,0,-25849.12,12290.04,-1.737577,"P3"
187274,0,-25849.12,12290.04,-1.737661,"P3"
187275,0,-25849.12,12290.04,-1.737749,"P3"
187276,0,-25849.12,12290.04,-1.737839,"P3"
187277,0,-25849.12,12290.04,-1.737929,"P3"
187278,0,-25849.12,12290.04,-1.738016,"P3"
187279,0,-25849.12,12290.04,-1.7381,"P3"
187280,0,-25849.12,12290.04,-1.738179,"P3"
187281,0,-25849.12,12290.04,-1.738251,"P3"
187282,0,-25849.12,12290.04,-1.738317,"P3"
187283,0,-25849.12,12290.04,-1.738374,"P3"
187284,0,-25849.12,12290.04,-1.738424,"P3"
187285,0,-25849.12,12290.04,-1.738465,"P3"
187286,0,-25849.12,12290.04,-1.738498,"P3"
187287,0,-25849.12,12290.04,-1.738522,"P3"
187288,0,-25849.12,12290.04,-1.738538,"P3"
187289,0,-25849.12,12290.04,-1.738547,"P3"
187290,0,-25849.12,12290.04,-1.738548,"P3"
187291,0,-25849.12,12290.04,-1.738543,"P3"
187292,0,-25849.12,12290.04,-1.738532,"P3"
187293,0,-25849.12,12290.04,-1.738517,"P3"
187294,0,-25849.12,12290.04,-1.738497,"P3"
187295,0,-25849.12,12290.04,-1.738473,"P3"
