Frame,stream_1,CG_x,CG_y,CG_z,subject
225250,0,-25849.12,12290.04,-1.73804,P46
225251,0,-25849.12,12290.04,-1.737845,P46
225252,0,-25849.12,12290.04,-1.737688,P46
225253,0,-25849.12,12290.04,-1.737557,P46
225254,0,-25849.12,12290.04,-1.737453,P46
225255,0,-25849.12,12290.04,-1.737375,P46
225256,0,-25849.12,12290.04,-1.737322,P46
225257,0,-25849.12,12290.04,-1.737292,P46
225258,0,-25849.12,12290.04,-1.737285,P46
225259,0,-25849.12,12290.04,-1.737297,P46
225260,0,-25849.12,12290.04,-1.737328,P46
225261,0,-25849.12,12290.04,-1.737374,P46
225262,0,-25849.12,12290.04,-1.737434,P46
225263,0,-25849.12,12290.04,-1.737504,P46
225264,0,-25849.12,12290.04,-1.737583,P46
225265,0,-25849.12,12290.04,-1.737668,P46
225266,0,-25849.12,12290.04,-1.737757,P46
225267,0,-25849.12,12290.04,-1.737848,P46
225268,0,-25849.12,12290.04,-1.737937,P46
225269,0,-25849.12,12290.04,-1.738025,P46
225270,0,-25849.12,12290.04,-1.738109,P46
225271,0,-25849.12,12290.04,-1.738188,P46
225272,0,-25849.12,12290.04,-1.738261,P46
225273,0,-25849.12,12290.04,-1.738327,P46
225274,0,-25849.12,12290.04,-1.738385,P46
225275,0,-25849.12,12290.04,-1.738434,P46
225276,0,-25849.12,12290.04,-1.738475,P46
225277,0,-25849.12,12290.04,-1.738508,P46
225278,0,-25849.12,12290.04,-1.738532,P46
225279,0,-25849.12,12290.04,-1.738548,P46
225280,0,-25849.12,12290.04,-1.738557,P46
225281,0,-25849.12,12290.04,-1.738558,P46
225282,0,-25849.12,12290.04,-1.738553,P46
225283,0,-25849.12,12290.04,-1.738542,P46
225284,0,-25849.12,12290.04,-1.738526,P46
225285,0,-25849.12,12290.04,-1.738506,P46
225286,0,-25849.12,12290.04,-1.738482,P46
225287,0,-25849.12,12290.04,-1.738456,P46
225288,0,-25849.12,12290.04,-1.738428,P46
225289,0,-25849.12,12290.04,-1.738399,P46
225290,0,-25849.12,12290.04,-1.738369,P46
225291,0,-25849.12,12290.04,-1.73834,P46
225292,0,-25849.12,12290.04,-1.738312,P46
225293,0,-25849.12,12290.04,-1.738285,P46
225294,0,-25849.12,12290.04,-1.738259,P46
225295,0,-25849.12,12290.04,-1.738236,P46
225296,0,-25849.12,12290.04,-1.738215,P46
225297,0,-25849.12,12290.04,-1.738197,P46
225298,0,-25849.12,12290.04,-1.738181,P46
225299,0,-25849.12,12290.04,-1.738169,P46
225300,0,-25849.12,12290.04,-1.738159,P46
225301,0,-25849.12,12290.04,-1.738151,P46
225302,0,-25849.12,12290.04,-1.738146,P46
225303,0,-25849.12,12290.04,-1.738144,P46
225304,0,-25849.12,12290.04,-1.738144,P46
225305,0,-25849.12,12290.04,-1.738146,P46
225306,0,-25849.12,12290.04,-1.73815,P46
225307,0,-25849.12,12290.04,-1.738155,P46
225308,0,-25849.12,12290.04,-1.738162,P46
225309,0,-25849.12,12290.04,-1.73817,P46
225310,0,-25849.12,12290.04,-1.738179,P46
225311,0,-25849.12,12290.04,-1.738188,P46
225312,0,-25849.12,12290.04,-1.738197,P46
225313,0,-25849.12,12290.04,-1.738207,P46
225314,0,-25849.12,12290.04,-1.738216,P46
225315,0,-25849.12,12290.04,-1.738225,P46
225316,0,-25849.12,12290.04,-1.738234,P46
225317,0,-25849.12,12290.04,-1.738242,P46
