Frame,stream_1,CG_x,CG_y,CG_z,subject
476207,0,-21133.53,11893.24,-1.744217,P11
476208,0,-21133.53,11893.24,-1.744014,P11
476209,0,-21133.53,11893.24,-1.743853,P11
476210,0,-21133.53,11893.24,-1.74372,P11
476211,0,-21133.53,11893.24,-1.743615,P11
476212,0,-21133.53,11893.24,-1.743539,P11
476213,0,-21133.53,11893.24,-1.743489,P11
476214,0,-21133.53,11893.24,-1.743464,P11
476215,0,-21133.53,11893.24,-1.743462,P11
476216,0,-21133.53,11893.24,-1.743481,P11
476217,0,-21133.53,11893.24,-1.74352,P11
476218,0,-21133.53,11893.24,-1.743574,P11
476219,0,-21133.53,11893.24,-1.743642,P11
476220,0,-21133.53,11893.24,-1.743721,P11
476221,0,-21133.53,11893.24,-1.743808,P11
476222,0,-21133.53,11893.24,-1.743902,P11
476223,0,-21133.53,11893.24,-1.743998,P11
476224,0,-21133.53,11893.24,-1.744096,P11
476225,0,-21133.53,11893.24,-1.744193,P11
476226,0,-21133.53,11893.24,-1.744287,P11
476227,0,-21133.53,11893.24,-1.744376,P11
476228,0,-21133.53,11893.24,-1.74446,P11
476229,0,-21133.53,11893.24,-1.744536,P11
476230,0,-21133.53,11893.24,-1.744605,P11
476231,0,-21133.53,11893.24,-1.744665,P11
476232,0,-21133.53,11893.24,-1.744716,P11
476233,0,-21133.53,11893.24,-1.744757,P11
476234,0,-21133.53,11893.24,-1.74479,P11
476235,0,-21133.53,11893.24,-1.744813,P11
476236,0,-21133.53,11893.24,-1.744828,P11
476237,0,-21133.53,11893.24,-1.744835,P11
476238,0,-21133.53,11893.24,-1.744834,P11
476239,0,-21133.53,11893.24,-1.744827,P11
476240,0,-21133.53,11893.24,-1.744813,P11
476241,0,-21133.53,11893.24,-1.744794,P11
476242,0,-21133.53,11893.24,-1.744771,P11
476243,0,-21133.53,11893.24,-1.744745,P11
476244,0,-21133.53,11893.24,-1.744716,P11
476245,0,-21133.53,11893.24,-1.744686,P11
476246,0,-21133.53,11893.24,-1.744654,P11
476247,0,-21133.53,11893.24,-1.744622,P11
476248,0,-21133.53,11893.24,-1.744591,P11
476249,0,-21133.53,11893.24,-1.744561,P11
476250,0,-21133.53,11893.24,-1.744532,P11
476251,0,-21133.53,11893.24,-1.744505,P11
476252,0,-21133.53,11893.24,-1.744481,P11
476253,0,-21133.53,11893.24,-1.744459,P11
476254,0,-21133.53,11893.24,-1.744441,P11
476255,0,-21133.53,11893.24,-1.744425,P11
476256,0,-21133.53,11893.24,-1.744412,P11
476257,0,-21133.53,11893.24,-1.744402,P11
476258,0,-21133.53,11893.24,-1.744395,P11
476259,0,-21133.53,11893.24,-1.74439,P11
476260,0,-21133.53,11893.24,-1.744389,P11
476261,0,-21133.53,11893.24,-1.744389,P11
476262,0,-21133.53,11893.24,-1.744392,P11
476263,0,-21133.53,11893.24,-1.744397,P11
476264,0,-21133.53,11893.24,-1.744403,P11
476265,0,-21133.53,11893.24,-1.744411,P11
476266,0,-21133.53,11893.24,-1.74442,P11
476267,0,-21133.53,11893.24,-1.744429,P11
476268,0,-21133.53,11893.24,-1.744439,P11
476269,0,-21133.53,11893.24,-1.744449,P11
476270,0,-21133.53,11893.24,-1.74446,P11
476271,0,-21133.53,11893.24,-1.74447,P11
476272,0,-21133.53,11893.24,-1.744479,P11
476273,0,-21133.53,11893.24,-1.744489,P11
476274,0,-21133.53,11893.24,-1.744497,P11
476275,0,-21133.53,11893.24,-1.744505,P11
476276,0,-21133.53,11893.24,-1.744512,P11
476277,0,-21133.53,11893.24,-1.744518,P11
476278,0,-21133.53,11893.24,-1.744523,P11
476279,0,-21133.53,11893.24,-1.744527,P11
476280,0,-21133.53,11893.24,-1.74453,P11
476281,0,-21133.53,11893.24,-1.744532,P11
476282,0,-21133.53,11893.24,-1.744533,P11
476283,0,-21133.53,11893.24,-1.744533,P11
476284,0,-21133.53,11893.24,-1.744533,P11
476285,0,-21133.53,11893.24,-1.744532,P11
476286,0,-21133.53,11893.24,-1.74453,P11
476287,0,-21133.53,11893.24,-1.744528,P11
476288,0,-21133.53,11893.24,-1.744526,P11
476289,0,-21133.53,11893.24,-1.744523,P11
476290,0,-21133.53,11893.24,-1.74452,P11
476291,0,-21133.53,11893.24,-1.744516,P11
476292,0,-21133.53,11893.24,-1.744513,P11
476293,0,-21133.53,11893.24,-1.74451,P11
476294,0,-21133.53,11893.24,-1.744507,P11
476295,0,-21133.53,11893.24,-1.744503,P11
476296,0,-21133.53,11893.24,-1.7445,P11
476297,0,-21133.53,11893.24,-1.744498,P11
476298,0,-21133.53,11893.24,-1.744495,P11
476299,0,-21133.53,11893.24,-1.744493,P11
476300,0,-21133.53,11893.24,-1.744491,P11
476301,0,-21133.53,11893.24,-1.74449,P11
476302,0,-21133.53,11893.24,-1.744488,P11
476303,0,-21133.53,11893.24,-1.744488,P11
476304,0,-21133.53,11893.24,-1.744487,P11
476305,0,-21133.53,11893.24,-1.744487,P11
476306,0,-21133.53,11893.24,-1.744486,P11
476307,0,-21133.53,11893.24,-1.744487,P11
476308,0,-21133.53,11893.24,-1.744487,P11
476309,0,-21133.53,11893.24,-1.744488,P11
476310,0,-21133.53,11893.24,-1.744488,P11
476311,0,-21133.53,11893.24,-1.744489,P11
476312,0,-21133.53,11893.24,-1.74449,P11
476313,0,-21133.53,11893.24,-1.744491,P11
476314,0,-21133.53,11893.24,-1.744492,P11
476315,0,-21133.53,11893.24,-1.744493,P11
476316,0,-21133.53,11893.24,-1.744494,P11
476317,0,-21133.53,11893.24,-1.744495,P11
476318,0,-21133.53,11893.24,-1.744496,P11
476319,0,-21133.53,11893.24,-1.744497,P11
476320,0,-21133.53,11893.24,-1.744498,P11
476321,0,-21133.53,11893.24,-1.744499,P11
476322,0,-21133.53,11893.24,-1.7445,P11
476323,0,-21133.53,11893.24,-1.7445,P11
476324,0,-21133.53,11893.24,-1.744501,P11
476325,0,-21133.53,11893.24,-1.744501,P11
476326,0,-21133.53,11893.24,-1.744501,P11
476327,0,-21133.53,11893.24,-1.744502,P11
476328,0,-21133.53,11893.24,-1.744502,P11
476329,0,-21133.53,11893.24,-1.744502,P11
476330,0,-21133.53,11893.24,-1.744502,P11
476331,0,-21133.53,11893.24,-1.744501,P11
476332,0,-21133.53,11893.24,-1.744501,P11
476333,0,-21133.53,11893.24,-1.744501,P11
476334,0,-21133.53,11893.24,-1.744501,P11
476335,0,-21133.53,11893.24,-1.7445,P11
476336,0,-21133.53,11893.24,-1.7445,P11
476337,0,-21133.53,11893.24,-1.7445,P11
476338,0,-21133.53,11893.24,-1.744499,P11
476339,0,-21133.53,11893.24,-1.744499,P11
476340,0,-21133.53,11893.24,-1.744499,P11
476341,0,-21133.53,11893.24,-1.744498,P11
476342,0,-21133.53,11893.24,-1.744498,P11
476343,0,-21133.53,11893.24,-1.744498,P11
476344,0,-21133.53,11893.24,-1.744498,P11
476345,0,-21133.53,11893.24,-1.744497,P11
476346,0,-21133.53,11893.24,-1.744497,P11
476347,0,-21133.53,11893.24,-1.744497,P11
476348,0,-21133.53,11893.24,-1.744497,P11
476349,0,-21133.53,11893.24,-1.744497,P11
476350,0,-21133.53,11893.24,-1.744497,P11
476351,0,-21133.53,11893.24,-1.744497,P11
476352,0,-21133.53,11893.24,-1.744497,P11
476353,0,-21133.53,11893.24,-1.744497,P11
476354,0,-21133.53,11893.24,-1.744497,P11
476355,0,-21133.53,11893.24,-1.744497,P11
476356,0,-21133.53,11893.24,-1.744497,P11
476357,0,-21133.53,11893.24,-1.744497,P11
476358,0,-21133.53,11893.24,-1.744497,P11
476359,0,-21133.53,11893.24,-1.744497,P11
476360,0,-21133.53,11893.24,-1.744497,P11
476361,0,-21133.53,11893.24,-1.744498,P11
476362,0,-21133.53,11893.24,-1.744498,P11
476363,0,-21133.53,11893.24,-1.744498,P11
476364,0,-21133.53,11893.24,-1.744498,P11
476365,0,-21133.53,11893.24,-1.744498,P11
476366,0,-21133.53,11893.24,-1.744498,P11
476367,0,-21133.53,11893.24,-1.744498,P11
476368,0,-21133.53,11893.24,-1.744498,P11
476369,0,-21133.53,11893.24,-1.744498,P11
476370,0,-21133.53,11893.24,-1.744498,P11
476371,0,-21133.53,11893.24,-1.744498,P11
476372,0,-21133.53,11893.24,-1.744498,P11
476373,0,-21133.53,11893.24,-1.744498,P11
476374,0,-21133.53,11893.24,-1.744498,P11
476375,0,-21133.53,11893.24,-1.744498,P11
476376,0,-21133.53,11893.24,-1.744498,P11
476377,0,-21133.53,11893.24,-1.744498,P11
476378,0,-21133.53,11893.24,-1.744498,P11
476379,0,-21133.53,11893.24,-1.744498,P11
476380,0,-21133.53,11893.24,-1.744498,P11
476381,0,-21133.53,11893.24,-1.744498,P11
476382,0,-21133.53,11893.24,-1.744498,P11
476383,0,-21133.53,11893.24,-1.744498,P11
476384,0,-21133.53,11893.24,-1.744498,P11
476385,0,-21133.53,11893.24,-1.744498,P11
476386,0,-21133.53,11893.24,-1.744498,P11
476387,0,-21133.53,11893.24,-1.744498,P11
476388,0,-21133.53,11893.24,-1.744498,P11
476389,0,-21133.53,11893.24,-1.744498,P11
476390,0,-21133.53,11893.24,-1.744498,P11
476391,0,-21133.53,11893.24,-1.744498,P11
476392,0,-21133.53,11893.24,-1.744498,P11
476393,0,-21133.53,11893.24,-1.744498,P11
476394,0,-21133.53,11893.24,-1.744498,P11
476395,0,-21133.53,11893.24,-1.744498,P11
476396,0,-21133.53,11893.24,-1.744498,P11
476397,0,-21133.53,11893.24,-1.744498,P11
476398,0,-21133.53,11893.24,-1.744498,P11
476399,0,-21133.53,11893.24,-1.744498,P11
476400,0,-21133.53,11893.24,-1.744498,P11
476401,0,-21133.53,11893.24,-1.744498,P11
476402,0,-21133.53,11893.24,-1.744498,P11
476403,0,-21133.53,11893.24,-1.744498,P11
476404,0,-21133.53,11893.24,-1.744498,P11
476405,0,-21133.53,11893.24,-1.744498,P11
476406,0,-21133.53,11893.24,-1.744498,P11
476407,0,-21133.53,11893.24,-1.744498,P11
476408,0,-21133.53,11893.24,-1.744498,P11
476409,0,-21133.53,11893.24,-1.744498,P11
476410,0,-21133.53,11893.24,-1.744498,P11
476411,0,-21133.53,11893.24,-1.744498,P11
476412,0,-21133.53,11893.24,-1.744498,P11
476413,0,-21133.53,11893.24,-1.744498,P11
476414,0,-21133.53,11893.24,-1.744498,P11
476415,0,-21133.53,11893.24,-1.744498,P11
476416,0,-21133.53,11893.24,-1.744498,P11
476417,0,-21133.53,11893.24,-1.744498,P11
476418,0,-21133.53,11893.24,-1.744498,P11
476419,0,-21133.53,11893.24,-1.744498,P11
476420,0,-21133.53,11893.24,-1.744498,P11
476421,0,-21133.53,11893.24,-1.744498,P11
476422,0,-21133.53,11893.24,-1.744498,P11
476423,0,-21133.53,11893.24,-1.744498,P11
