"Frame","stream_1","CG_x","CG_y","CG_z","subject"
3752,0,-21133.53,11893.24,-1.744217,"P33"
3753,0,-21133.53,11893.24,-1.744014,"P33"
3754,0,-21133.53,11893.24,-1.743853,"P33"
3755,0,-21133.53,11893.24,-1.74372,"P33"
3756,0,-21133.53,11893.24,-1.743615,"P33"
3757,0,-21133.53,11893.24,-1.743539,"P33"
3758,0,-21133.53,11893.24,-1.743489,"P33"
3759,0,-21133.53,11893.24,-1.743464,"P33"
3760,0,-21133.53,11893.24,-1.743462,"P33"
3761,0,-21133.53,11893.24,-1.743481,"P33"
3762,0,-21133.53,11893.24,-1.743519,"P33"
3763,0,-21133.53,11893.24,-1.743574,"P33"
3764,0,-21133.53,11893.24,-1.743642,"P33"
3765,0,-21133.53,11893.24,-1.743721,"P33"
3766,0,-21133.53,11893.24,-1.743808,"P33"
3767,0,-21133.53,11893.24,-1.743901,"P33"
3768,0,-21133.53,11893.24,-1.743998,"P33"
3769,0,-21133.53,11893.24,-1.744096,"P33"
3770,0,-21133.53,11893.24,-1.744193,"P33"
3771,0,-21133.53,11893.24,-1.744287,"P33"
3772,0,-21133.53,11893.24,-1.744376,"P33"
3773,0,-21133.53,11893.24,-1.744459,"P33"
3774,0,-21133.53,11893.24,-1.744536,"P33"
3775,0,-21133.53,11893.24,-1.744604,"P33"
3776,0,-21133.53,11893.24,-1.744664,"P33"
3777,0,-21133.53,11893.24,-1.744715,"P33"
3778,0,-21133.53,11893.24,-1.744757,"P33"
3779,0,-21133.53,11893.24,-1.744789,"P33"
3780,0,-21133.53,11893.24,-1.744813,"P33"
3781,0,-21133.53,11893.24,-1.744828,"P33"
3782,0,-21133.53,11893.24,-1.744834,"P33"
3783,0,-21133.53,11893.24,-1.744834,"P33"
3784,0,-21133.53,11893.24,-1.744826,"P33"
3785,0,-21133.53,11893.24,-1.744813,"P33"
3786,0,-21133.53,11893.24,-1.744794,"P33"
3787,0,-21133.53,11893.24,-1.744771,"P33"
3788,0,-21133.53,11893.24,-1.744745,"P33"
3789,0,-21133.53,11893.24,-1.744716,"P33"
3790,0,-21133.53,11893.24,-1.744685,"P33"
3791,0,-21133.53,11893.24,-1.744654,"P33"
3792,0,-21133.53,11893.24,-1.744622,"P33"
3793,0,-21133.53,11893.24,-1.744591,"P33"
3794,0,-21133.53,11893.24,-1.744561,"P33"
3795,0,-21133.53,11893.24,-1.744532,"P33"
3796,0,-21133.53,11893.24,-1.744505,"P33"
3797,0,-21133.53,11893.24,-1.744481,"P33"
3798,0,-21133.53,11893.24,-1.744459,"P33"
3799,0,-21133.53,11893.24,-1.744441,"P33"
3800,0,-21133.53,11893.24,-1.744425,"P33"
3801,0,-21133.53,11893.24,-1.744412,"P33"
3802,0,-21133.53,11893.24,-1.744402,"P33"
3803,0,-21133.53,11893.24,-1.744395,"P33"
3804,0,-21133.53,11893.24,-1.74439,"P33"
3805,0,-21133.53,11893.24,-1.744389,"P33"
3806,0,-21133.53,11893.24,-1.744389,"P33"
3807,0,-21133.53,11893.24,-1.744392,"P33"
3808,0,-21133.53,11893.24,-1.744397,"P33"
3809,0,-21133.53,11893.24,-1.744403,"P33"
3810,0,-21133.53,11893.24,-1.744411,"P33"
3811,0,-21133.53,11893.24,-1.744419,"P33"
3812,0,-21133.53,11893.24,-1.744429,"P33"
3813,0,-21133.53,11893.24,-1.744439,"P33"
3814,0,-21133.53,11893.24,-1.744449,"P33"
3815,0,-21133.53,11893.24,-1.744459,"P33"
3816,0,-21133.53,11893.24,-1.744469,"P33"
3817,0,-21133.53,11893.24,-1.744479,"P33"
3818,0,-21133.53,11893.24,-1.744488,"P33"
3819,0,-21133.53,11893.24,-1.744497,"P33"
3820,0,-21133.53,11893.24,-1.744505,"P33"
3821,0,-21133.53,11893.24,-1.744511,"P33"
3822,0,-21133.53,11893.24,-1.744517,"P33"
3823,0,-21133.53,11893.24,-1.744522,"P33"
3824,0,-21133.53,11893.24,-1.744526,"P33"
3825,0,-21133.53,11893.24,-1.744529,"P33"
3826,0,-21133.53,11893.24,-1.744532,"P33"
3827,0,-21133.53,11893.24,-1.744533,"P33"
3828,0,-21133.53,11893.24,-1.744533,"P33"
3829,0,-21133.53,11893.24,-1.744533,"P33"
3830,0,-21133.53,11893.24,-1.744532,"P33"
3831,0,-21133.53,11893.24,-1.74453,"P33"
3832,0,-21133.53,11893.24,-1.744528,"P33"
3833,0,-21133.53,11893.24,-1.744526,"P33"
3834,0,-21133.53,11893.24,-1.744523,"P33"
3835,0,-21133.53,11893.24,-1.74452,"P33"
3836,0,-21133.53,11893.24,-1.744516,"P33"
3837,0,-21133.53,11893.24,-1.744513,"P33"
3838,0,-21133.53,11893.24,-1.74451,"P33"
3839,0,-21133.53,11893.24,-1.744506,"P33"
3840,0,-21133.53,11893.24,-1.744503,"P33"
3841,0,-21133.53,11893.24,-1.7445,"P33"
3842,0,-21133.53,11893.24,-1.744498,"P33"
3843,0,-21133.53,11893.24,-1.744495,"P33"
3844,0,-21133.53,11893.24,-1.744493,"P33"
3845,0,-21133.53,11893.24,-1.744491,"P33"
3846,0,-21133.53,11893.24,-1.74449,"P33"
3847,0,-21133.53,11893.24,-1.744488,"P33"
3848,0,-21133.53,11893.24,-1.744487,"P33"
3849,0,-21133.53,11893.24,-1.744487,"P33"
3850,0,-21133.53,11893.24,-1.744486,"P33"
3851,0,-21133.53,11893.24,-1.744486,"P33"
3852,0,-21133.53,11893.24,-1.744486,"P33"
3853,0,-21133.53,11893.24,-1.744487,"P33"
3854,0,-21133.53,11893.24,-1.744487,"P33"
3855,0,-21133.53,11893.24,-1.744488,"P33"
3856,0,-21133.53,11893.24,-1.744489,"P33"
3857,0,-21133.53,11893.24,-1.74449,"P33"
3858,0,-21133.53,11893.24,-1.744491,"P33"
3859,0,-21133.53,11893.24,-1.744492,"P33"
3860,0,-21133.53,11893.24,-1.744493,"P33"
3861,0,-21133.53,11893.24,-1.744494,"P33"
3862,0,-21133.53,11893.24,-1.744495,"P33"
3863,0,-21133.53,11893.24,-1.744496,"P33"
3864,0,-21133.53,11893.24,-1.744497,"P33"
3865,0,-21133.53,11893.24,-1.744498,"P33"
3866,0,-21133.53,11893.24,-1.744499,"P33"
3867,0,-21133.53,11893.24,-1.744499,"P33"
3868,0,-21133.53,11893.24,-1.744314,"P33"
3869,0,-21133.54,11893.24,-1.74381,"P33"
3870,0,-21133.54,11893.24,-1.742991,"P33"
3871,0,-21133.54,11893.24,-1.741878,"P33"
3872,0,-21133.54,11893.24,-1.740575,"P33"
3873,0,-21133.54,11893.24,-1.739157,"P33"
3874,0,-21133.54,11893.24,-1.73771,"P33"
3875,0,-21133.54,11893.24,-1.736304,"P33"
3876,0,-21133.54,11893.24,-1.735009,"P33"
3877,0,-21133.54,11893.24,-1.733867,"P33"
3878,0,-21133.54,11893.24,-1.732908,"P33"
3879,0,-21133.55,11893.24,-1.732157,"P33"
3880,0,-21133.55,11893.24,-1.731663,"P33"
3881,0,-21133.55,11893.24,-1.731504,"P33"
3882,0,-21133.55,11893.24,-1.73179,"P33"
3883,0,-21133.54,11893.24,-1.732527,"P33"
3884,0,-21133.54,11893.24,-1.733672,"P33"
3885,0,-21133.54,11893.24,-1.735108,"P33"
3886,0,-21133.54,11893.24,-1.736687,"P33"
3887,0,-21133.54,11893.24,-1.738268,"P33"
3888,0,-21133.54,11893.24,-1.739732,"P33"
3889,0,-21133.54,11893.24,-1.741001,"P33"
3890,0,-21133.54,11893.24,-1.742034,"P33"
3891,0,-21133.54,11893.24,-1.742824,"P33"
3892,0,-21133.54,11893.24,-1.743387,"P33"
3893,0,-21133.54,11893.24,-1.743756,"P33"
3894,0,-21133.54,11893.24,-1.743971,"P33"
3895,0,-21133.54,11893.24,-1.744075,"P33"
3896,0,-21133.54,11893.24,-1.744151,"P33"
3897,0,-21133.54,11893.24,-1.744259,"P33"
3898,0,-21133.54,11893.24,-1.74443,"P33"
3899,0,-21133.53,11893.24,-1.744667,"P33"
3900,0,-21133.53,11893.24,-1.744953,"P33"
3901,0,-21133.53,11893.24,-1.745255,"P33"
3902,0,-21133.53,11893.24,-1.745545,"P33"
3903,0,-21133.53,11893.24,-1.745807,"P33"
3904,0,-21133.53,11893.24,-1.746028,"P33"
3905,0,-21133.53,11893.24,-1.746194,"P33"
3906,0,-21133.53,11893.24,-1.746308,"P33"
3907,0,-21133.53,11893.24,-1.746342,"P33"
3908,0,-21133.53,11893.24,-1.746292,"P33"
3909,0,-21133.53,11893.24,-1.746161,"P33"
3910,0,-21133.53,11893.24,-1.745964,"P33"
3911,0,-21133.53,11893.24,-1.745729,"P33"
