"Frame","stream_1","CG_x","CG_y","CG_z","subject"
255622,0,-23007.92,12267.96,-1.685396,"P2"
255623,0,-23007.92,12267.96,-1.685186,"P2"
255624,0,-23007.92,12267.96,-1.685034,"P2"
255625,0,-23007.92,12267.96,-1.684927,"P2"
255626,0,-23007.92,12267.96,-1.684864,"P2"
255627,0,-23007.92,12267.96,-1.684843,"P2"
255628,0,-23007.92,12267.96,-1.68486,"P2"
255629,0,-23007.92,12267.96,-1.684912,"P2"
255630,0,-23007.92,12267.96,-1.684995,"P2"
255631,0,-23007.92,12267.96,-1.685104,"P2"
255632,0,-23007.92,12267.96,-1.685234,"P2"
255633,0,-23007.92,12267.96,-1.68538,"P2"
255634,0,-23007.92,12267.96,-1.685539,"P2"
255635,0,-23007.92,12267.96,-1.685705,"P2"
255636,0,-23007.92,12267.96,-1.685875,"P2"
255637,0,-23007.92,12267.96,-1.686044,"P2"
255638,0,-23007.92,12267.96,-1.686209,"P2"
255639,0,-23007.92,12267.96,-1.686368,"P2"
255640,0,-23007.92,12267.96,-1.686517,"P2"
255641,0,-23007.92,12267.96,-1.686654,"P2"
255642,0,-23007.92,12267.96,-1.686778,"P2"
255643,0,-23007.92,12267.96,-1.686888,"P2"
255644,0,-23007.92,12267.96,-1.686982,"P2"
255645,0,-23007.92,12267.96,-1.687061,"P2"
255646,0,-23007.92,12267.96,-1.687124,"P2"
255647,0,-23007.92,12267.96,-1.687171,"P2"
255648,0,-23007.92,12267.96,-1.687203,"P2"
255649,0,-23007.92,12267.96,-1.687221,"P2"
255650,0,-23007.92,12267.96,-1.687225,"P2"
255651,0,-23007.92,12267.96,-1.687218,"P2"
255652,0,-23007.92,12267.96,-1.687199,"P2"
255653,0,-23007.92,12267.96,-1.687171,"P2"
255654,0,-23007.92,12267.96,-1.687135,"P2"
255655,0,-23007.92,12267.96,-1.687093,"P2"
255656,0,-23007.92,12267.96,-1.687046,"P2"
255657,0,-23007.92,12267.96,-1.686994,"P2"
255658,0,-23007.92,12267.96,-1.686941,"P2"
255659,0,-23007.92,12267.96,-1.686887,"P2"
255660,0,-23007.92,12267.96,-1.686833,"P2"
255661,0,-23007.92,12267.96,-1.68678,"P2"
255662,0,-23007.92,12267.96,-1.68673,"P2"
255663,0,-23007.92,12267.96,-1.686682,"P2"
255664,0,-23007.92,12267.96,-1.686639,"P2"
255665,0,-23007.92,12267.96,-1.686599,"P2"
255666,0,-23007.92,12267.96,-1.686564,"P2"
255667,0,-23007.92,12267.96,-1.686534,"P2"
255668,0,-23007.92,12267.96,-1.68651,"P2"
255669,0,-23007.92,12267.96,-1.68649,"P2"
255670,0,-23007.92,12267.96,-1.686475,"P2"
255671,0,-23007.92,12267.96,-1.686465,"P2"
255672,0,-23007.92,12267.96,-1.68646,"P2"
255673,0,-23007.92,12267.96,-1.686459,"P2"
255674,0,-23007.92,12267.96,-1.686462,"P2"
255675,0,-23007.92,12267.96,-1.686468,"P2"
255676,0,-23007.92,12267.96,-1.686478,"P2"
255677,0,-23007.92,12267.96,-1.68649,"P2"
255678,0,-23007.92,12267.96,-1.686504,"P2"
255679,0,-23007.92,12267.96,-1.686519,"P2"
255680,0,-23007.92,12267.96,-1.686536,"P2"
255681,0,-23007.92,12267.96,-1.686553,"P2"
255682,0,-23007.92,12267.96,-1.686571,"P2"
255683,0,-23007.92,12267.96,-1.686588,"P2"
255684,0,-23007.92,12267.96,-1.686605,"P2"
255685,0,-23007.92,12267.96,-1.686621,"P2"
255686,0,-23007.92,12267.96,-1.686636,"P2"
255687,0,-23007.92,12267.96,-1.68665,"P2"
255688,0,-23007.92,12267.96,-1.686663,"P2"
255689,0,-23007.92,12267.96,-1.686674,"P2"
255690,0,-23007.92,12267.96,-1.686683,"P2"
255691,0,-23007.92,12267.96,-1.686691,"P2"
255692,0,-23007.92,12267.96,-1.686697,"P2"
255693,0,-23007.92,12267.96,-1.686702,"P2"
255694,0,-23007.92,12267.96,-1.686705,"P2"
255695,0,-23007.92,12267.96,-1.686706,"P2"
255696,0,-23007.92,12267.96,-1.686707,"P2"
255697,0,-23007.92,12267.96,-1.686706,"P2"
255698,0,-23007.92,12267.96,-1.686703,"P2"
255699,0,-23007.92,12267.96,-1.6867,"P2"
255700,0,-23007.92,12267.96,-1.686696,"P2"
255701,0,-23007.92,12267.96,-1.686692,"P2"
255702,0,-23007.92,12267.96,-1.686687,"P2"
255703,0,-23007.92,12267.96,-1.686681,"P2"
255704,0,-23007.92,12267.96,-1.686676,"P2"
255705,0,-23007.92,12267.96,-1.68667,"P2"
255706,0,-23007.92,12267.96,-1.686664,"P2"
255707,0,-23007.92,12267.96,-1.686659,"P2"
255708,0,-23007.92,12267.96,-1.686654,"P2"
255709,0,-23007.92,12267.96,-1.686649,"P2"
255710,0,-23007.92,12267.96,-1.686645,"P2"
255711,0,-23007.92,12267.96,-1.686641,"P2"
255712,0,-23007.92,12267.96,-1.686637,"P2"
255713,0,-23007.92,12267.96,-1.686634,"P2"
255714,0,-23007.92,12267.96,-1.686632,"P2"
255715,0,-23007.92,12267.96,-1.68663,"P2"
255716,0,-23007.92,12267.96,-1.686628,"P2"
255717,0,-23007.92,12267.96,-1.686627,"P2"
255718,0,-23007.92,12267.96,-1.686627,"P2"
255719,0,-23007.92,12267.96,-1.686627,"P2"
255720,0,-23007.92,12267.96,-1.686627,"P2"
255721,0,-23007.92,12267.96,-1.686628,"P2"
255722,0,-23007.92,12267.96,-1.686629,"P2"
255723,0,-23007.92,12267.96,-1.686631,"P2"
255724,0,-23007.92,12267.96,-1.686632,"P2"
255725,0,-23007.92,12267.96,-1.686634,"P2"
255726,0,-23007.92,12267.96,-1.686636,"P2"
255727,0,-23007.92,12267.96,-1.686638,"P2"
255728,0,-23007.92,12267.96,-1.686639,"P2"
255729,0,-23007.92,12267.96,-1.686641,"P2"
255730,0,-23007.92,12267.96,-1.686643,"P2"
255731,0,-23007.92,12267.96,-1.686645,"P2"
255732,0,-23007.92,12267.96,-1.686646,"P2"
255733,0,-23007.92,12267.96,-1.686648,"P2"
255734,0,-23007.92,12267.96,-1.686649,"P2"
255735,0,-23007.92,12267.96,-1.68665,"P2"
255736,0,-23007.92,12267.96,-1.686651,"P2"
255737,0,-23007.92,12267.96,-1.686652,"P2"
255738,0,-23007.92,12267.96,-1.686652,"P2"
255739,0,-23007.92,12267.96,-1.686653,"P2"
255740,0,-23007.92,12267.96,-1.686653,"P2"
255741,0,-23007.92,12267.96,-1.686653,"P2"
255742,0,-23007.92,12267.96,-1.686653,"P2"
255743,0,-23007.92,12267.96,-1.686653,"P2"
255744,0,-23007.92,12267.96,-1.686653,"P2"
255745,0,-23007.92,12267.96,-1.686652,"P2"
255746,0,-23007.92,12267.96,-1.686652,"P2"
255747,0,-23007.92,12267.96,-1.686651,"P2"
255748,0,-23007.92,12267.96,-1.686651,"P2"
255749,0,-23007.92,12267.96,-1.68665,"P2"
255750,0,-23007.92,12267.96,-1.68665,"P2"
255751,0,-23007.92,12267.96,-1.686649,"P2"
255752,0,-23007.92,12267.96,-1.686648,"P2"
255753,0,-23007.92,12267.96,-1.686648,"P2"
255754,0,-23007.92,12267.96,-1.686647,"P2"
255755,0,-23007.92,12267.96,-1.686647,"P2"
255756,0,-23007.92,12267.96,-1.686646,"P2"
255757,0,-23007.92,12267.96,-1.686646,"P2"
255758,0,-23007.92,12267.96,-1.686646,"P2"
255759,0,-23007.92,12267.96,-1.686645,"P2"
255760,0,-23007.92,12267.96,-1.686645,"P2"
255761,0,-23007.92,12267.96,-1.686645,"P2"
255762,0,-23007.92,12267.96,-1.686645,"P2"
255763,0,-23007.92,12267.96,-1.686645,"P2"
255764,0,-23007.92,12267.96,-1.686645,"P2"
255765,0,-23007.92,12267.96,-1.686645,"P2"
255766,0,-23007.92,12267.96,-1.686645,"P2"
255767,0,-23007.92,12267.96,-1.686645,"P2"
255768,0,-23007.92,12267.96,-1.686645,"P2"
255769,0,-23007.92,12267.96,-1.686645,"P2"
255770,0,-23007.92,12267.96,-1.686645,"P2"
255771,0,-23007.92,12267.96,-1.686645,"P2"
255772,0,-23007.92,12267.96,-1.686646,"P2"
255773,0,-23007.92,12267.96,-1.686646,"P2"
255774,0,-23007.92,12267.96,-1.686646,"P2"
255775,0,-23007.92,12267.96,-1.686646,"P2"
255776,0,-23007.92,12267.96,-1.686646,"P2"
255777,0,-23007.92,12267.96,-1.686646,"P2"
255778,0,-23007.92,12267.96,-1.686647,"P2"
255779,0,-23007.92,12267.96,-1.686647,"P2"
255780,0,-23007.92,12267.96,-1.686647,"P2"
255781,0,-23007.92,12267.96,-1.686647,"P2"
255782,0,-23007.92,12267.96,-1.686647,"P2"
255783,0,-23007.92,12267.96,-1.686647,"P2"
255784,0,-23007.92,12267.96,-1.686647,"P2"
255785,0,-23007.92,12267.96,-1.686647,"P2"
255786,0,-23007.92,12267.96,-1.686647,"P2"
255787,0,-23007.92,12267.96,-1.686647,"P2"
255788,0,-23007.92,12267.96,-1.686647,"P2"
255789,0,-23007.92,12267.96,-1.686647,"P2"
255790,0,-23007.92,12267.96,-1.686647,"P2"
255791,0,-23007.92,12267.96,-1.686647,"P2"
255792,0,-23007.92,12267.96,-1.686647,"P2"
255793,0,-23007.92,12267.96,-1.686647,"P2"
255794,0,-23007.92,12267.96,-1.686647,"P2"
255795,0,-23007.92,12267.96,-1.686647,"P2"
255796,0,-23007.92,12267.96,-1.686647,"P2"
255797,0,-23007.92,12267.96,-1.686647,"P2"
255798,0,-23007.92,12267.96,-1.686647,"P2"
255799,0,-23007.92,12267.96,-1.686647,"P2"
255800,0,-23007.92,12267.96,-1.686647,"P2"
255801,0,-23007.92,12267.96,-1.686647,"P2"
255802,0,-23007.92,12267.96,-1.686647,"P2"
255803,0,-23007.92,12267.96,-1.686647,"P2"
255804,0,-23007.92,12267.96,-1.686647,"P2"
255805,0,-23007.92,12267.96,-1.686647,"P2"
255806,0,-23007.92,12267.96,-1.686646,"P2"
255807,0,-23007.92,12267.96,-1.686646,"P2"
255808,0,-23007.92,12267.96,-1.686646,"P2"
255809,0,-23007.92,12267.96,-1.686646,"P2"
255810,0,-23007.92,12267.96,-1.686646,"P2"
255811,0,-23007.92,12267.96,-1.686646,"P2"
255812,0,-23007.92,12267.96,-1.686646,"P2"
255813,0,-23007.92,12267.96,-1.686646,"P2"
255814,0,-23007.92,12267.96,-1.686646,"P2"
255815,0,-23007.92,12267.96,-1.686646,"P2"
255816,0,-23007.92,12267.96,-1.686647,"P2"
255817,0,-23007.92,12267.96,-1.686647,"P2"
255818,0,-23007.92,12267.96,-1.686647,"P2"
255819,0,-23007.92,12267.96,-1.686647,"P2"
255820,0,-23007.92,12267.96,-1.686647,"P2"
255821,0,-23007.92,12267.96,-1.686647,"P2"
255822,0,-23007.92,12267.96,-1.686647,"P2"
255823,0,-23007.92,12267.96,-1.686647,"P2"
255824,0,-23007.92,12267.96,-1.686647,"P2"
255825,0,-23007.92,12267.96,-1.686647,"P2"
255826,0,-23007.92,12267.96,-1.686647,"P2"
255827,0,-23007.92,12267.96,-1.686647,"P2"
255828,0,-23007.92,12267.96,-1.686647,"P2"
255829,0,-23007.92,12267.96,-1.686647,"P2"
255830,0,-23007.92,12267.96,-1.686647,"P2"
255831,0,-23007.92,12267.96,-1.686647,"P2"
255832,0,-23007.92,12267.96,-1.686647,"P2"
255833,0,-23007.92,12267.96,-1.686647,"P2"
255834,0,-23007.92,12267.96,-1.686647,"P2"
255835,0,-23007.92,12267.96,-1.686647,"P2"
255836,0,-23007.92,12267.96,-1.686647,"P2"
255837,0,-23007.92,12267.96,-1.686647,"P2"
255838,0,-23007.92,12267.96,-1.686647,"P2"
255839,0,-23007.92,12267.96,-1.686647,"P2"
255840,0,-23007.92,12267.96,-1.686647,"P2"
255841,0,-23007.92,12267.96,-1.686647,"P2"
255842,0,-23007.92,12267.96,-1.686647,"P2"
255843,0,-23007.92,12267.96,-1.686647,"P2"
255844,0,-23007.92,12267.96,-1.686647,"P2"
255845,0,-23007.92,12267.96,-1.686647,"P2"
255846,0,-23007.92,12267.96,-1.686647,"P2"
255847,0,-23007.92,12267.96,-1.686647,"P2"
255848,0,-23007.92,12267.96,-1.686647,"P2"
255849,0,-23007.92,12267.96,-1.686647,"P2"
255850,0,-23007.92,12267.96,-1.686647,"P2"
255851,0,-23007.92,12267.96,-1.686647,"P2"
255852,0,-23007.92,12267.96,-1.686647,"P2"
255853,0,-23007.92,12267.96,-1.686647,"P2"
255854,0,-23007.92,12267.96,-1.686647,"P2"
255855,0,-23007.92,12267.96,-1.686647,"P2"
255856,0,-23007.92,12267.96,-1.686647,"P2"
255857,0,-23007.92,12267.96,-1.686647,"P2"
255858,0,-23007.92,12267.96,-1.686647,"P2"
255859,0,-23007.92,12267.96,-1.686647,"P2"
255860,0,-23007.92,12267.96,-1.686647,"P2"
255861,0,-23007.92,12267.96,-1.686647,"P2"
255862,0,-23007.92,12267.96,-1.686647,"P2"
255863,0,-23007.92,12267.96,-1.686647,"P2"
255864,0,-23007.92,12267.96,-1.686647,"P2"
255865,0,-23007.92,12267.96,-1.686647,"P2"
255866,0,-23007.92,12267.96,-1.686647,"P2"
255867,0,-23007.92,12267.96,-1.686647,"P2"
255868,0,-23007.92,12267.96,-1.686647,"P2"
255869,0,-23007.92,12267.96,-1.686647,"P2"
255870,0,-23007.92,12267.96,-1.686647,"P2"
255871,0,-23007.92,12267.96,-1.686647,"P2"
255872,0,-23007.92,12267.96,-1.686647,"P2"
255873,0,-23007.92,12267.96,-1.686647,"P2"
255874,0,-23007.92,12267.96,-1.686647,"P2"
255875,0,-23007.92,12267.96,-1.686647,"P2"
255876,0,-23007.92,12267.96,-1.686647,"P2"
255877,0,-23007.92,12267.96,-1.686647,"P2"
255878,0,-23007.92,12267.96,-1.686647,"P2"
255879,0,-23007.92,12267.96,-1.686647,"P2"
255880,0,-23007.92,12267.96,-1.686647,"P2"
