Frame,stream_1,CG_x,CG_y,CG_z,subject
549879,0,-23007.93,12267.96,-1.685816,P11
549880,0,-23007.93,12267.96,-1.685631,P11
549881,0,-23007.93,12267.96,-1.685511,P11
549882,0,-23007.93,12267.96,-1.685442,P11
549883,0,-23007.93,12267.96,-1.685412,P11
549884,0,-23007.93,12267.96,-1.685422,P11
549885,0,-23007.93,12267.96,-1.68547,P11
549886,0,-23007.93,12267.96,-1.685559,P11
549887,0,-23007.93,12267.96,-1.685684,P11
549888,0,-23007.93,12267.96,-1.685839,P11
549889,0,-23007.93,12267.96,-1.686016,P11
549890,0,-23007.93,12267.96,-1.686209,P11
549891,0,-23007.93,12267.96,-1.686411,P11
549892,0,-23007.93,12267.96,-1.686617,P11
549893,0,-23007.93,12267.96,-1.686825,P11
549894,0,-23007.93,12267.96,-1.68703,P11
549895,0,-23007.93,12267.96,-1.687226,P11
549896,0,-23007.93,12267.96,-1.687414,P11
549897,0,-23007.93,12267.96,-1.68759,P11
549898,0,-23007.93,12267.96,-1.687754,P11
549899,0,-23007.93,12267.96,-1.687907,P11
549900,0,-23007.93,12267.96,-1.688048,P11
549901,0,-23007.93,12267.96,-1.68818,P11
549902,0,-23007.93,12267.96,-1.688302,P11
549903,0,-23007.93,12267.96,-1.688413,P11
549904,0,-23007.93,12267.96,-1.688515,P11
549905,0,-23007.93,12267.96,-1.688607,P11
549906,0,-23007.93,12267.96,-1.688691,P11
549907,0,-23007.93,12267.96,-1.688766,P11
549908,0,-23007.93,12267.96,-1.68883,P11
549909,0,-23007.93,12267.96,-1.688883,P11
549910,0,-23007.93,12267.96,-1.688931,P11
549911,0,-23007.93,12267.96,-1.688976,P11
549912,0,-23007.93,12267.96,-1.689016,P11
549913,0,-23007.93,12267.96,-1.689048,P11
549914,0,-23007.93,12267.96,-1.689071,P11
549915,0,-23007.93,12267.96,-1.689094,P11
549916,0,-23007.93,12267.96,-1.689119,P11
549917,0,-23007.93,12267.96,-1.689138,P11
549918,0,-23007.93,12267.96,-1.68915,P11
549919,0,-23007.93,12267.96,-1.689167,P11
549920,0,-23007.93,12267.96,-1.689189,P11
549921,0,-23007.93,12267.96,-1.689207,P11
549922,0,-23007.93,12267.96,-1.689229,P11
549923,0,-23007.93,12267.96,-1.689265,P11
549924,0,-23007.93,12267.96,-1.689297,P11
549925,0,-23007.93,12267.96,-1.689364,P11
549926,0,-23007.93,12267.96,-1.689425,P11
549927,0,-23007.93,12267.96,-1.689524,P11
549928,0,-23007.93,12267.96,-1.689655,P11
549929,0,-23007.93,12267.96,-1.68982,P11
549930,0,-23007.93,12267.96,-1.690016,P11
549931,0,-23007.93,12267.96,-1.69023,P11
549932,0,-23007.93,12267.96,-1.69045,P11
549933,0,-23007.93,12267.96,-1.690661,P11
549934,0,-23007.93,12267.96,-1.690856,P11
549935,0,-23007.93,12267.96,-1.691027,P11
549936,0,-23007.93,12267.96,-1.691171,P11
549937,0,-23007.93,12267.95,-1.691287,P11
549938,0,-23007.93,12267.95,-1.691377,P11
