"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
576121,0.003545427,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"P09"
576122,0.003107284,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01889263,12,0,0,"P09"
576123,0.002685615,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01893095,12,0,0,"P09"
576124,0.002228496,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01889972,12,0,1,"P09"
576125,0.001761548,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01896544,12,0,1,"P09"
576126,0.001302711,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01895168,12,0,1,"P09"
576127,0.0008632119,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01896787,12,0,1,"P09"
576128,0.0004571049,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01897098,12,0,0,"P09"
576129,0.000171625,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01896087,12,0,0,"P09"
576130,0.0003623624,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01897319,12,0,0,"P09"
576131,0.0006546733,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01896119,12,0,0,"P09"
576132,0.00091414,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01897727,12,0,0,"P09"
576133,0.001130083,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01896971,12,0,0,"P09"
576134,0.001301385,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01898624,12,0,0,"P09"
576135,0.001429214,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01898074,12,0,0,"P09"
576136,0.001515709,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01899564,12,0,0,"P09"
576137,0.00156352,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01899013,12,0,0,"P09"
576138,0.001575705,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.0190017,12,0,0,"P09"
576139,0.001555682,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01899663,12,0,0,"P09"
576140,0.001507181,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.0190037,12,0,0,"P09"
576141,0.001434147,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01900014,12,0,0,"P09"
576142,0.001340628,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01900244,12,0,0,"P09"
576143,0.001230643,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01900078,12,0,0,"P09"
576144,0.00110809,0,0,0,4.154266,0,-1,0,0,0,0,0,0,0,0,1,0.01899884,12,0,0,"P09"
