"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
212524,0.003550266,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P32"
212525,0.003114775,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2488566,12,0,0,"P32"
212526,0.002699151,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2488444,12,0,0,"P32"
212527,0.002229356,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2488741,12,0,1,"P32"
212528,0.001755395,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2489953,12,0,1,"P32"
212529,0.001297095,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2489759,12,0,1,"P32"
212530,0.0008636636,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490075,12,0,1,"P32"
212531,0.0004772142,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490142,12,0,1,"P32"
212532,0.0002666491,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2489991,12,0,1,"P32"
212533,0.0004487806,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490187,12,0,0,"P32"
212534,0.000724162,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2489977,12,0,0,"P32"
212535,0.0009778306,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490215,12,0,0,"P32"
212536,0.001188795,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490062,12,0,0,"P32"
212537,0.001354128,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490292,12,0,0,"P32"
212538,0.001475322,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490188,12,0,0,"P32"
212539,0.001552427,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490381,12,0,0,"P32"
212540,0.001592766,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490294,12,0,0,"P32"
212541,0.001598954,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249044,12,0,0,"P32"
212542,0.001573897,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490364,12,0,0,"P32"
212543,0.001521275,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490445,12,0,0,"P32"
212544,0.001444447,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490401,12,0,0,"P32"
212545,0.001348881,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490421,12,0,0,"P32"
212546,0.001238534,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490397,12,0,0,"P32"
212547,0.001117041,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490364,12,0,0,"P32"
212548,0.000987798,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490364,12,0,0,"P32"
212549,0.000853993,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490291,12,0,0,"P32"
212550,0.0007187393,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490311,12,0,0,"P32"
212551,0.0005875098,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490218,12,0,0,"P32"
212552,0.0004601555,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490243,12,0,0,"P32"
212553,0.0003424468,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490153,12,0,0,"P32"
212554,0.0002445788,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490177,12,0,0,"P32"
212555,0.0001867039,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490098,12,0,0,"P32"
212556,0.0001908371,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490129,12,0,0,"P32"
212557,0.0002404579,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490071,12,0,0,"P32"
212558,0.0003035925,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490099,12,0,0,"P32"
212559,0.0003644942,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490069,12,0,0,"P32"
212560,0.000417374,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490086,12,0,0,"P32"
212561,0.0004590025,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490086,12,0,0,"P32"
212562,0.0004893388,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490082,12,0,0,"P32"
212563,0.0005080392,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490104,12,0,0,"P32"
212564,0.0005152065,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490094,12,0,0,"P32"
212565,0.0005113886,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490129,12,0,0,"P32"
212566,0.000497425,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490117,12,0,0,"P32"
212567,0.0004743781,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490158,12,0,0,"P32"
212568,0.0004434761,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490144,12,0,0,"P32"
212569,0.0004060504,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490184,12,0,0,"P32"
212570,0.0003634778,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490168,12,0,0,"P32"
212571,0.0003171389,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490202,12,0,0,"P32"
212572,0.000268388,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490186,12,0,0,"P32"
212573,0.0002185278,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490209,12,0,0,"P32"
212574,0.0001687917,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490198,12,0,0,"P32"
212575,0.000120345,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490209,12,0,0,"P32"
212576,7.438003e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490202,12,0,0,"P32"
212577,3.302309e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490202,12,0,0,"P32"
212578,1.917182e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490199,12,0,0,"P32"
212579,4.941365e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249019,12,0,0,"P32"
212580,7.975417e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212581,0.000105955,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490177,12,0,0,"P32"
212582,0.0001275068,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490182,12,0,0,"P32"
212583,0.0001443299,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490164,12,0,0,"P32"
212584,0.0001565265,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490171,12,0,0,"P32"
212585,0.0001643112,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490154,12,0,0,"P32"
212586,0.0001679792,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212587,0.0001678858,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490148,12,0,0,"P32"
212588,0.0001644294,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490155,12,0,0,"P32"
212589,0.0001580369,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490145,12,0,0,"P32"
212590,0.0001491499,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490151,12,0,0,"P32"
212591,0.0001382134,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490146,12,0,0,"P32"
212592,0.0001256658,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490149,12,0,0,"P32"
212593,0.0001119313,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490149,12,0,0,"P32"
212594,9.741689e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490151,12,0,0,"P32"
212595,8.250998e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490154,12,0,0,"P32"
212596,6.758331e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490154,12,0,0,"P32"
212597,5.301294e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249016,12,0,0,"P32"
212598,3.923287e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490157,12,0,0,"P32"
212599,2.692081e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490164,12,0,0,"P32"
212600,1.76994e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212601,1.531898e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490168,12,0,0,"P32"
212602,2.024387e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490165,12,0,0,"P32"
212603,2.752237e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249017,12,0,0,"P32"
212604,3.464325e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490168,12,0,0,"P32"
212605,4.084826e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490171,12,0,0,"P32"
212606,4.588244e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490169,12,0,0,"P32"
212607,4.966034e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490171,12,0,0,"P32"
212608,5.217331e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490169,12,0,0,"P32"
212609,5.345746e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490169,12,0,0,"P32"
212610,5.357896e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490169,12,0,0,"P32"
212611,5.26268e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490167,12,0,0,"P32"
212612,5.07071e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490167,12,0,0,"P32"
212613,4.793865e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490165,12,0,0,"P32"
212614,4.444914e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490166,12,0,0,"P32"
212615,4.037141e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490163,12,0,0,"P32"
212616,3.58402e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490164,12,0,0,"P32"
212617,3.098889e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212618,2.594665e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490163,12,0,0,"P32"
212619,2.083591e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212620,1.577001e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212621,1.085148e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490161,12,0,0,"P32"
212622,6.170724e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212623,1.807798e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212624,2.194974e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212625,5.757074e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212626,8.861875e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490162,12,0,0,"P32"
212627,1.148613e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490163,12,0,0,"P32"
212628,1.362053e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490163,12,0,0,"P32"
212629,1.526821e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490164,12,0,0,"P32"
212630,1.805494e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490165,12,0,0,"P32"
212631,1.90173e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490163,12,0,0,"P32"
212632,1.889482e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490173,12,0,0,"P32"
212633,1.843501e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490171,12,0,0,"P32"
212634,1.774648e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212635,1.684375e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212636,1.575274e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212637,1.449888e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490179,12,0,0,"P32"
212638,1.310743e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490177,12,0,0,"P32"
212639,1.160422e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490179,12,0,0,"P32"
212640,1.00163e-05,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490177,12,0,0,"P32"
212641,8.374301e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490179,12,0,0,"P32"
212642,6.712289e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212643,5.065551e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490179,12,0,0,"P32"
212644,3.468571e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212645,1.956203e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490179,12,0,0,"P32"
212646,6.095102e-07,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212647,5.755194e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490178,12,0,0,"P32"
212648,6.331252e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490183,12,0,0,"P32"
212649,5.353539e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249018,12,0,0,"P32"
212650,4.690614e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.249019,12,0,0,"P32"
212651,4.620967e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490189,12,0,0,"P32"
212652,4.876591e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212653,5.200199e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212654,5.458564e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490191,12,0,0,"P32"
212655,5.610862e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490193,12,0,0,"P32"
212656,5.64969e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490191,12,0,0,"P32"
212657,5.5762e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212658,5.395613e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490191,12,0,0,"P32"
212659,5.117693e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212660,4.754915e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490191,12,0,0,"P32"
212661,4.320603e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212662,3.828337e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212663,3.291798e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212664,2.725503e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
212665,6.527801e-06,0,0,0,9.743652,0,-1,0,0,0,0,0,0,0,0,1,0.2490192,12,0,0,"P32"
