"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
36401,0.003545427,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P41"
36402,0.003104733,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03618224,0,2,0,"P41"
36403,0.002684047,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03618224,0,2,0,"P41"
36404,0.00222126,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03618224,0,2,0,"P41"
36405,0.001751259,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03607877,0,2,0,"P41"
36406,0.00129315,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03609521,0,2,1,"P41"
36407,0.0008573692,0,0,0,6.722382,0,-1,0,0,0,0,0,0,0,0,-2,-0.03607211,0,2,1,"P41"
36408,0.0004612053,0,0,0,6.818512,5.80857,-1,0,0,0,0,0,0,0,0,-2,-0.03606721,0,2,1,"P41"
36409,0.0002980034,0,0,0,6.900909,4.899436,-1,0,0,0,0,0,0,0,0,-2,-0.03607827,0,2,1,"P41"
36410,0.0005358705,0,0,0,6.900909,0,-1,0,0,0,0,0,0,0,0,-2,-0.03606433,0,2,0,"P41"
36411,0.000786395,0,0,0,6.900909,0,-1,0,0,0,0,0,0,0,0,-2,-0.03606749,0,2,0,"P41"
36412,0.001011907,0,0,0,6.900909,0,-1,0,0,0,0,0,0,0,0,-2,-0.03604909,0,2,0,"P41"
36413,0.001200442,0,0,0,6.900909,0,-1,0,0,0,0,0,0,0,0,-2,-0.03605016,0,2,0,"P41"
36414,0.00135057,0,0,0,6.900909,0,-1,0,0,0,0,0,0,0,0,-2,-0.03602917,0,2,0,"P41"
