"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
130623,0.00370267,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P5"
130624,0.003240157,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P5"
130625,0.002793348,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941297,12,0,0,"P5"
130626,0.002331671,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941297,12,0,0,"P5"
130627,0.001879012,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5940907,12,0,0,"P5"
130628,0.001449349,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941225,12,0,0,"P5"
130629,0.001053732,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941073,12,0,0,"P5"
130630,0.000717078,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941312,12,0,0,"P5"
130631,0.0005143346,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941294,12,0,0,"P5"
130632,0.0005534546,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941457,12,0,0,"P5"
130633,0.0007560528,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941431,12,0,0,"P5"
130634,0.0009912685,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941516,12,0,0,"P5"
130635,0.001208447,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941465,12,0,0,"P5"
130636,0.00139072,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941474,12,0,0,"P5"
130637,0.001532245,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941436,12,0,0,"P5"
130638,0.00163153,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941378,12,0,0,"P5"
130639,0.001689216,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941375,12,0,0,"P5"
130640,0.001707225,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941274,12,0,0,"P5"
130641,0.001688325,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.59413,12,0,0,"P5"
130642,0.001635939,0,0,1.906157,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941179,12,0,0,"P5"
130643,0.001554018,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941222,12,0,0,"P5"
130644,0.001446919,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941107,12,0,0,"P5"
130645,0.001319273,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941153,12,0,0,"P5"
130646,0.001175836,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594106,12,0,0,"P5"
130647,0.001021344,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941101,12,0,0,"P5"
130648,0.0008603957,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941042,12,0,0,"P5"
130649,0.0006973681,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941074,12,0,0,"P5"
130650,0.0005364233,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941051,12,0,0,"P5"
130651,0.0003817315,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594107,12,0,0,"P5"
130652,0.0002386263,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941079,12,0,0,"P5"
130653,0.0001216374,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941086,12,0,0,"P5"
130654,0.0001024066,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941119,12,0,0,"P5"
130655,0.0001848924,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941114,12,0,0,"P5"
130656,0.0002756995,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941161,12,0,0,"P5"
130657,0.0003561248,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941148,12,0,0,"P5"
130658,0.0004228264,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941198,12,0,0,"P5"
130659,0.0004750837,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941181,12,0,0,"P5"
130660,0.0005130522,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941225,12,0,0,"P5"
130661,0.0005373212,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941208,12,0,0,"P5"
130662,0.0005487522,0,0,1.906157,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941241,12,0,0,"P5"
130663,0.0005483949,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941226,12,0,0,"P5"
130664,0.0005374287,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941244,12,0,0,"P5"
130665,0.0005171199,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941234,12,0,0,"P5"
130666,0.0004887745,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941236,12,0,0,"P5"
130667,0.0004537223,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941232,12,0,0,"P5"
130668,0.0004132827,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941221,12,0,0,"P5"
130669,0.000368747,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941223,12,0,0,"P5"
130670,0.0003213664,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941203,12,0,0,"P5"
130671,0.0002723454,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594121,12,0,0,"P5"
130672,0.0002228485,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941186,12,0,0,"P5"
130673,0.0001740336,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941194,12,0,0,"P5"
130674,0.0001271708,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941171,12,0,0,"P5"
130675,8.411235e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594118,12,0,0,"P5"
130676,4.963555e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941161,12,0,0,"P5"
130677,3.999182e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941169,12,0,0,"P5"
130678,6.014846e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941156,12,0,0,"P5"
130679,8.723784e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941162,12,0,0,"P5"
130680,0.0001126787,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941156,12,0,0,"P5"
130681,0.0001344489,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594116,12,0,0,"P5"
130682,0.0001519335,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941161,12,0,0,"P5"
130683,0.0001649556,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941162,12,0,0,"P5"
130684,0.0001735436,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941167,12,0,0,"P5"
130685,0.0001778595,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941166,12,0,0,"P5"
130686,0.0001781606,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941176,12,0,0,"P5"
130687,0.0001747786,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941172,12,0,0,"P5"
130688,0.000168102,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941184,12,0,0,"P5"
130689,0.0001585611,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941179,12,0,0,"P5"
130690,0.0001466136,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594119,12,0,0,"P5"
130691,0.0001327314,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941185,12,0,0,"P5"
130692,0.0001173885,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941194,12,0,0,"P5"
130693,0.0001010499,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594119,12,0,0,"P5"
130694,8.416236e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941195,12,0,0,"P5"
130695,6.714767e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941193,12,0,0,"P5"
130696,5.040102e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941195,12,0,0,"P5"
130697,3.430501e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941193,12,0,0,"P5"
130698,1.932839e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941193,12,0,0,"P5"
130699,7.271845e-06,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941193,12,0,0,"P5"
130700,1.07897e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594119,12,0,0,"P5"
130701,2.137266e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941191,12,0,0,"P5"
130702,3.110659e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941187,12,0,0,"P5"
130703,3.939155e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941188,12,0,0,"P5"
130704,4.61158e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941184,12,0,0,"P5"
130705,5.127048e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941185,12,0,0,"P5"
130706,5.489626e-05,0,0,1.906157,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941181,12,0,0,"P5"
130707,5.706681e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941183,12,0,0,"P5"
130708,5.788067e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941179,12,0,0,"P5"
130709,5.745529e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941181,12,0,0,"P5"
130710,5.592196e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941178,12,0,0,"P5"
130711,5.342135e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594118,12,0,0,"P5"
130712,5.009923e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941179,12,0,0,"P5"
130713,4.610312e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594118,12,0,0,"P5"
130714,4.157951e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941179,12,0,0,"P5"
130715,3.667111e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.594118,12,0,0,"P5"
130716,3.151519e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941181,12,0,0,"P5"
130717,2.624276e-05,0,0,1.906157,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941181,12,0,0,"P5"
130718,2.097936e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941182,12,0,0,"P5"
130719,1.585018e-05,0,0,1.996796,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941182,12,0,0,"P5"
130720,1.099998e-05,0,0,1.996796,1.407623,-4.869613,-1,0,0,0,0,0,0,0,0,1,-0.5941184,12,0,0,"P5"
130721,7.58814e-05,0,0,1.996796,1.490021,4.975167,-1,0,0,0,0,0,0,0,0,1,-0.5941197,12,0,0,"P5"
130722,4.805667e-06,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941192,12,0,0,"P5"
130723,8.681392e-06,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941209,12,0,0,"P5"
130724,1.377839e-05,0,0,1.95285,1.490021,0,-1,0,0,0,0,0,0,0,0,1,-0.5941216,12,0,0,"P5"
