"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
25795,0.005074971,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P26"
25796,0.003894301,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P26"
25797,0.00295103,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,1,0.198138,12,0,0,"P26"
25798,0.002195666,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,1,0.198138,12,0,0,"P26"
25799,0.001628445,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,1,0.1982549,12,0,0,"P26"
25800,0.001311304,0,0,0,11.69373,0,-1,0,0,0,0,0,0,0,0,1,0.1982716,12,0,1,"P26"
25801,0.001297977,0,0,0,11.77612,4.507096,-1,0,0,0,0,0,0,0,0,1,0.1982997,12,0,1,"P26"
25802,0.001584617,0,0,0,11.95465,11.84439,-1,0,0,0,0,0,0,0,0,1,0.1983502,12,0,1,"P26"
25803,0.002047183,0,0,0,11.95465,0,-1,0,0,0,0,0,0,0,0,1,0.1983376,12,0,1,"P26"
25804,0.002339887,0,0,0,11.95465,0,-1,0,0,0,0,0,0,0,0,1,0.1983974,12,0,0,"P26"
25805,0.002570489,0,0,0,11.87225,-4.902643,-1,0,0,0,0,0,0,0,0,1,0.1983853,12,0,0,"P26"
25806,0.002695306,0,0,0,11.69373,-10.61292,-1,0,0,0,0,0,0,0,0,1,0.1984466,12,0,0,"P26"
25807,0.002734006,0,0,0,11.5152,-10.79974,-1,0,0,0,0,0,0,0,0,1,0.1984158,12,0,0,"P26"
25808,0.002749191,0,0,0,11.5152,0,-1,0,0,0,0,0,0,0,0,1,0.1984725,12,0,0,"P26"
25809,0.002774218,0,0,0,11.4328,-4.959894,-1,0,0,0,0,0,0,0,0,1,0.1984143,12,0,0,"P26"
25810,0.002751048,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1984526,12,0,0,"P26"
25811,0.002692025,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1984061,12,0,0,"P26"
25812,0.002589674,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1984192,12,0,0,"P26"
25813,0.002446869,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1984018,12,0,0,"P26"
25814,0.00227111,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1983931,12,0,0,"P26"
25815,0.00207163,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1983987,12,0,0,"P26"
25816,0.001857464,0,0,0,11.4328,0,-1,0,0,0,0,0,0,0,0,1,0.1983762,12,0,0,"P26"
