id,task,Frame,min_headway,veh_speed,min_TTC
2,D,40859,397.76800000000003,62.9796,4.306242887307233
2,J,92928,206.40200000000004,64.11887,2.1948084294629084
2,M,17071,159.4349999999995,64.09188,1.6960913272973341
2,P,59152,261.4299999999994,63.4931,2.8073558744607974
2,W,269590,241.3809999999994,63.47718,2.592710554335498
3,D,230388,196.97099999999955,62.5192,2.148114644635709
3,J,279033,158.93099999999959,63.08644,1.717675707403131
3,M,203096,120.51299999999992,63.19108,1.3003093877403977
3,P,249916,216.99099999999999,62.6287,2.362310076544924
3,W,166872,66.6269999999995,63.84023,0.711581082962885
4,D,1148670,500.9979999999996,61.80178,5.527179726126743
4,J,1195547,379.1759999999995,61.86995,4.178588974277344
4,M,1114223,319.6779999999999,62.44573,3.490427171357796
4,P,1167593,503.1149999999998,62.3409,5.502534524613126
4,W,1222051,480.0059999999994,62.16739,5.264445204822301
5,D,122198,197.97999999999956,62.8992,2.146074411699407
5,J,176857,157.2609999999995,50.04445,2.142563442917422
5,M,30189,172.77299999999923,56.98113,2.067347080117088
5,P,143337,100.00799999999981,63.83915,1.0681105987042843
5,W,203492,22.64599999999973,62.10977,0.24859944812956744
6,D,92300,206.03899999999976,62.12782,2.261163136959195
6,J,14761,216.59499999999935,63.16034,2.338150951861701
6,M,65135,205.62099999999919,62.8693,2.229961783631054
6,P,176340,0,63.89194,0
6,W,40540,70.17799999999988,63.37548,0.7550023504932236
7,D,331493,155.04899999999998,62.88766,1.6810170273902267
7,J,239263,94.72499999999945,63.37259,1.0191350436005047
7,M,307395,64.34699999999975,62.97977,0.696619796252898
7,P,348884,87.47199999999975,63.81314,0.934603750888921
7,W,271299,83.71099999999933,63.89611,0.8932575366196998
8,D,361584,346.0799999999999,62.37801,3.7828016053034768
8,J,415571,241.8189999999995,61.61912,2.675737513114283
8,M,333479,193.0009999999993,62.55008,2.1037797379170486
8,P,389194,236.83399999999983,62.14625,2.5983502990562934
8,W,294138,278.9919999999993,62.28358,3.054124669484601
9,D,591106,148.57499999999982,62.31198,1.6257088342183357
9,J,648175,100.6239999999998,63.22622,1.0851079303376447
9,M,552639,0,63.01279,0
9,P,618591,188.9989999999998,62.26036,2.0697431647593176
9,W,24983,426.78699999999935,62.04972,4.689644632782161
10,D,170907,69.15399999999954,63.48462,0.7427067303144327
10,J,224571,0,63.83659,0
10,M,285555,157.9479999999994,63.05074,1.708018306871859
10,P,194390,27.865999999999985,63.31153,0.3000961350096175
10,W,249796,221.02399999999943,63.8323,2.360845243210435
11,D,634089,305.96299999999974,61.47733,3.393301829530271
11,J,524672,204.86599999999999,64.04412,2.181017767694577
11,M,597758,183.9459999999999,62.8753,1.9947058268147781
11,P,490160,0,63.69623,0
11,W,563715,143.84999999999945,63.62396,1.5415504702087877
12,D,73910,309.3639999999996,59.31017,3.5563883900518194
12,J,357798,19.622999999999593,63.77831,0.20977849964694747
12,M,47473,186.28699999999935,62.16418,2.0432001779218067
12,P,96971,80.85099999999966,62.5827,0.8808453744913783
12,W,21244,120.98599999999988,62.03972,1.3296393753139837
13,D,46785,134.66299999999956,62.64176,1.4657264070834142
13,J,100314,172.3199999999997,62.7597,1.872075696520361
13,M,22732,110.70899999999983,63.08191,1.196593589048096
13,P,66012,134.34099999999944,62.69168,1.4610572944230555
13,W,297067,34.20499999999993,63.50162,0.36725977871258814
14,D,21409,318.6889999999994,60.50589,3.59118681743966
14,J,72139,80.35099999999966,63.37442,0.8644619189772861
14,M,186006,208.54799999999977,62.60999,2.271072366914897
14,P,40314,243.2509999999993,61.88914,2.6798393796626367
14,W,99464,217.99199999999928,62.58781,2.374758105306906
15,D,121353,164.36099999999988,62.77383,1.7852075965703877
15,J,170884,306.875,62.11906,3.368256933467032
15,M,229439,291.8919999999998,62.64737,3.1767857569643008
15,P,140453,260.96999999999935,62.35545,2.8535451337307403
15,W,198921,277.5119999999997,61.93499,3.0550215197052117
16,D,73386,472.1349999999993,61.57076,5.228297121437624
16,J,1297007,346.3809999999994,62.02983,3.8073433964975116
16,M,47744,387.84299999999985,62.75938,4.2135280668946855
16,P,1268375,245.5039999999999,63.3393,2.6427366723202
16,W,21481,448.09199999999964,63.06922,4.844158096885811
17,D,71079,442.85300000000007,61.79132,4.8865314298630835
17,J,194067,264.5540000000001,62.92389,2.8666016559485965
17,M,47743,317.9939999999997,62.85326,3.4495281694074538
17,P,93860,358.3189999999995,62.83527,3.888077652740392
17,W,20087,231.42000000000007,62.84756,2.5106203587913947
18,D,265354,335.64899999999943,63.17693,3.6223917640361845
18,J,319562,159.6790000000001,61.11939,1.7813012442458196
18,M,233514,115.58099999999922,63.35415,1.2438842170990654
18,P,290264,206.9939999999997,62.61441,2.253990299154341
18,W,198045,96.49099999999999,64.1358,1.025781516435722
