Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	FixationPointX	FixationPointY	Average_pupil_diameter	Average_velocity	Peak_velocity	Saccade_amplitude	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording 221	P23-J1	C	1	scenevideo	Saccade	Partial	1	37	67	30				111.84	131.7					
Recording 221	P23-J1	C	1	scenevideo	Saccade	Partial	2	108	158	50				73.67	101.51				0.5153	1.08705
Recording 221	P23-J1	C	1	scenevideo	Fixation	Whole	1	158	588	431	0.5153	1.08705	5.94333							
Recording 221	P23-J1	C	1	scenevideo	Saccade	Partial	3	588	598	10				31.69	31.69		0.5153	1.08705		
Recording 221	P23-J1	C	1	scenevideo	Saccade	Partial	4	609	629	20				36.95	43.1					
Recording 221	P23-J1	C	1	scenevideo	Saccade	Partial	5	649	679	30				33.79	36.68					
Recording 335	P43-P1	C	1	scenevideo	Fixation	Partial	1	0	140	140	0.54772	0.37651	4.63764							
Recording 335	P43-P1	C	1	scenevideo	Saccade	Whole	1	140	160	20				47.28	49.21	2.62	0.54772	0.37651	0.56993	0.36634
Recording 335	P43-P1	C	1	scenevideo	Fixation	Whole	2	160	341	180	0.56993	0.36634	4.61076							
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	2	341	361	20				57.88	62.48		0.56993	0.36634		
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	3	401	441	40				372.19	525.3					
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	4	501	611	110				76.22	155.04					
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	5	631	661	30				40.84	48.1					
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	6	671	701	30				77.56	110.23				0.46415	0.85407
Recording 335	P43-P1	C	1	scenevideo	Fixation	Whole	3	701	842	140	0.46415	0.85407	4.61974							
Recording 335	P43-P1	C	1	scenevideo	Saccade	Partial	7	842	854	12				179.46	341.57		0.46415	0.85407		
Recording 291	P40-P1	C	1	scenevideo	Fixation	Partial	1	0	767	767	0.49337	0.40959	3.20636							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	1	767	777	10				33.01	33.01		0.49337	0.40959		
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	2	807	847	40				41.15	57.31				0.49786	0.4051
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	2	847	967	120	0.49786	0.4051	3.18612							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	3	967	1008	40				95.53	149.86	4.01	0.49786	0.4051	0.46307	0.41644
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	3	1008	1288	281	0.46307	0.41644	3.1569							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	4	1288	1328	40				97.37	159.71	3.87	0.46307	0.41644	0.49713	0.42003
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	4	1328	1699	371	0.49713	0.42003	3.085							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	5	1699	1729	30				42.7	54.99	1.4	0.49713	0.42003	0.50728	0.43265
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	5	1729	2951	1222	0.50728	0.43265	3.17047							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	6	2951	2981	30				47.6	60.2	1.79	0.50728	0.43265	0.49405	0.41713
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	6	2981	4103	1122	0.49405	0.41713	3.28							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	7	4103	4273	170				211.16	517.52		0.49405	0.41713		
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	8	4283	4384	100				54.98	89.11				0.54062	0.76039
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	7	4384	4444	60	0.54062	0.76039	3.12243							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	9	4444	4464	20				35.17	37.16	1.72	0.54062	0.76039	0.5329	0.7361
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	8	4464	4564	100	0.5329	0.7361	3.09474							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Whole	10	4564	4584	20				50.66	51.99	0.93	0.5329	0.7361	0.53887	0.72377
Recording 291	P40-P1	C	1	scenevideo	Fixation	Whole	9	4584	4754	170	0.53887	0.72377	3.141							
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	11	4754	4854	100				297.43	510.4		0.53887	0.72377		
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	12	4875	4905	30				44.41	52.63					
Recording 291	P40-P1	C	1	scenevideo	Saccade	Partial	13	4945	4975	30				32.79	36.49				0.47403	0.33286
