Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 221	P23-J1	A	1	scenevideo	30000	153828	24144	302	80	260	6.46582	62	130.76	31	367.58	81.29	3.85	0.69	10.27	238.86	722	287.77	146.49	106.42	2.67
Recording 221	P23-J1	B	1	scenevideo	10116	183828	5520	221	25	130	6.15027	13	108.02	32.19	381.63	102.2	3.97	0.63	24.89	51.66	436	266.99	75.62	54.02	2.02
Recording 221	P23-J1	C	1	scenevideo	724	193944	431	431	1	431	5.94333	0													
Recording 335	P43-P1	A	1	scenevideo	30000	174518	22591	248	91	120	4.13871	63	165.38	30.45	577.47	133.53	4.24	0.58	16.61	267.24	271	284.77	81.16	61	2.83
Recording 335	P43-P1	B	1	scenevideo	10033	204518	7223	361	20	110	4.54982	16	154.14	30.38	556.55	151.34	5.95	0.59	28.99	95.21	486	76.16	163.38	118.99	3.51
Recording 335	P43-P1	C	1	scenevideo	854	214551	321	160	2	180	4.61469	1	49.21	49.21	49.21		2.62	2.62	2.62	2.62	140	24.62	49.21	47.28	2.62
Recording 12 (2)	P05-B0	A	1	scenevideo	30000	303745	23933	509	47	852	2.76487	33	117.04	30.05	278.43	77.41	3.79	0.67	10	125.21	1454	162.72	197.83	121.8	4.53
Recording 246	P16-M0	A	1	scenevideo	30000	85071	20587	261	79	130	5.6763	49	69.05	30.37	354.69	62.79	1.91	0.61	9.76	93.74	370	84.51	47.38	43.09	0.98
Recording 263	P24-B0	A	1	scenevideo	30000	261630	24084	963	25	1122	3.81209	9	160.82	39.84	272.59	83.97	4.58	1.04	8.91	41.2	11305	69.22	39.84	39.84	1.04
Recording 291	P40-P1	A	1	scenevideo	30000	187034	27320	434	63	771	3.15389	59	136.8	32.5	440.99	114.23	3.83	0.52	15.81	225.97	796	261.73	55.16	46.92	0.9
Recording 291	P40-P1	B	1	scenevideo	13217	217034	7644	478	16	230	3.31334	7	126.82	40.63	443.84	146.13	4.53	1.21	16.73	31.74	5950	52.54	40.63	39.94	2.17
Recording 291	P40-P1	C	1	scenevideo	15411	230251	12152	419	29	120	3.1114	22	135.54	31.16	477.48	117.08	5.07	0.93	20.5	111.47	967	198.05	149.86	95.53	4.01
Recording 410	P47-M0	A	1	scenevideo	30000	94794	23112	472	49	801	3.13029	48	147.81	32.03	371.71	105.96	4.41	0.53	12.18	211.48	455	7.21	33.41	33.41	1
Recording 13	P02-J2	A	1	scenevideo	30000	137912	13294	134	99	90	5.10659	47	113.82	30.13	433.3	111.33	3.03	0.54	12.52	142.26	155	84.46	34.42	34.42	1.04
Recording 13	P02-J2	B	1	scenevideo	11000	167912	6111	244	25	110	4.52636	11	76.02	31.53	280.42	73.85	2.93	0.99	9.5	32.27	3254	87.16	280.42	169.97	9.5
Recording 13	P02-J2	C	1	scenevideo	1917	178912	761	190	4	190	4.26009	4	138.27	31.04	223.65	99.36	4.69	0.85	8.42	18.75	940	148.8	223.65	131.74	6.63
