Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 221	P23-J1	main_driving	1	main_driving	7273	186398	862	144	6	200	6.19518	3	40.76	33.61	53.28	10.88	1.35	0.66	2.37	4.06	4188	277.98	53.28	44.15	0.66
Recording 335	P43-P1	main_driving	1	main_driving	40	179928	0		0			0													
Recording 335	P43-P1	main_driving	2	main_driving	9036	205956	4869	609	8	150	4.67762	7	57.89	36.35	82.86	15.93	1.69	0.82	2.62	11.81	3146	250.1	47.75	43.69	0.82
Recording 291	P40-P1	main_driving	1	main_driving	26047	218556	12503	625	20	561	3.22622	18	103.47	31.16	289.05	67.4	3.51	0.88	10.14	63.1	4428	51.45	40.63	39.94	2.01
Recording 167	P18-D1	main_driving	1	main_driving	8175	211781	2595	259	10	571	3.10008	9	92.07	34.22	178.61	53.52	3.47	1.78	5.43	31.24	3516	286.54	34.22	34.22	2.68
Recording 167	P18-D1	main_driving	2	main_driving	49189	225766	30114	463	65	301	3.66555	49	122.89	33.11	454.71	95.27	4.18	0.69	20.93	204.68	2054	356.09	323.63	183.71	13.85
Recording 51	P10-J1	main_driving	1	main_driving	481	163415	130	65	2	70	4.54862	1	66.72	66.72	66.72		1.44	1.44	1.44	1.44	371	233.02	66.72	57.75	1.44
Recording 51	P10-J1	main_driving	2	main_driving	17612	177220	8586	330	26	80	4.36764	19	96.97	30.07	597.85	128.01	3.67	0.54	29.96	69.66	4228	226.96	35.04	35.04	1.92
Recording 135	P20-P1	main_driving	1	main_driving	14045	207395	8385	280	30	70	5.15808	21	100.87	31.32	300.14	73.93	3.22	1.2	9.4	67.57	260	254.82	42.05	35.75	2.7
Recording 415	P47-D1	main_driving	1	main_driving	68033	229012	29874	729	41	601	2.67342	36	115.6	35.65	310.7	75.16	3.57	0.64	14.63	128.65	15177	184.95	297.57	161.95	13.15
Recording 19	P03-W1	main_driving	1	main_driving	15668	190132	1903	100	19	150	3.7183	7	46.45	34.99	60.5	8.48	1.12	0.66	2.01	7.87	7183	121.52	45.2	39.16	2.01
Recording 19	P03-W1	main_driving	2	main_driving	29834	215368	11541	192	60	90	4.59298	29	90.17	30.86	231.67	57.37	2.43	0.66	6.49	70.35	150	106.02	51.17	49.71	2.37
Recording 312	P41-J1	main_driving	1	main_driving	13675	176667	351	88	4	130	5.056	0													
Recording 43	P04-W1	main_driving	1	main_driving	1573	200163	0		0			1	33.89	33.89	33.89		0.9	0.9	0.9	0.9	1473	294.32	33.89	33.05	0.9
Recording 43	P04-W1	main_driving	2	main_driving	841	207576	461	461	1	461	3.84392	0													
Recording 43	P04-W1	main_driving	3	main_driving	23402	213507	5430	362	15	190	3.84969	12	107.59	30.55	441.55	115.83	4.55	1.27	15.24	54.56	5199	14.9	441.55	214.22	15.24
Recording 62	P06-W1	main_driving	1	main_driving	8566	195452	1042	174	6	180	3.45976	3	51.87	44.74	56.16	6.22	1.54	1.41	1.71	4.63	250	226.66	44.74	44.74	1.41
Recording 62	P06-W1	main_driving	2	main_driving	35494	211141	8345	288	29	170	3.96429	15	115.05	30.87	507.26	133.31	4.53	0.96	22.44	67.92	3977	170.74	104	73.5	2.94
Recording 394	P48-D1	main_driving	1	main_driving	57594	207335	10519	144	73	100	4.14051	22	74.86	31.28	252.5	62.99	1.44	0.57	3.63	31.71	2314	222.74	37.76	36.51	0.99
Recording 402	P33-W1	main_driving	1	main_driving	8375	233818	681	85	8	60	5.93286	1	57.44	57.44	57.44		1.98	1.98	1.98	1.98	7343	266.2	57.44	56.12	1.98
