"id","task","drv_percentage","pupil_raw","pupil_z","pupil_change","fix_count","fix_dur","switch_count","grid_transition","entropy_log2","spatial_density","drv_scanpath_len","drv_saccade_len","drv_convex_hull","drv_fix_count","drv_fix_dur","drv_grid_transition","drv_entropy_log2","drv_spatial_density","drv_NNI"
"02","D",0.095554777738887,3.13384634231712,-0.309978331929058,-0.0174802938689989,41,23.863009,9,24,5.94995665211139,0.0107542438271605,1649.95849147638,49.9987421659508,51220.5,34,21.939531,39.0479876160991,6.53321437085799,0.0346137152777778,704.539189120665
"02","J",1,5.12057853223594,10.7355248999937,0.605397573830399,100,12.442591,0,56.5666666666667,8.99694938703445,0.0398341049382716,0,0,0,0,0,0,0,0,0
"02","M",0.945039751123401,3.85532803318355,3.70119558908336,0.208717771210623,35,24.544459,5,24.1333333333333,7.20436854983961,0.0183256172839506,317.830400241512,105.943466747171,10023.5,4,1.051882,61.6352201257862,5.44960763916108,0.00792100694444444,88.2651108644754
"02","P",1,3.74389308600337,3.08165810160849,0.173780821661516,113,19.515329,0,42.1333333333333,8.27285113856107,0.0248360339506173,0,0,0,0,0,0,0,0,0
"02","W",0.962447844228095,4.15026495132128,5.34093681793856,0.301186036237813,46,25.205796,2,20.9333333333333,6.97065317478981,0.0139371141975309,0,0,0,1,0.851546999999999,58.3333333333333,4.96435802333767,0.00531684027777778,60.1253022707319
"03","D",0.015818431911967,3.5013280605227,-1.56266154617184,-0.0896657608262619,24,27.409946,3,14.1,4.21619305245188,0.00597993827160494,1940.21067357572,88.1913942534419,27968,23,27.289728,30.5730258560447,5.7585966713976,0.0266927083333333,579.547936065162
"03","J",0.920422535211268,4.32470985915493,2.16818703232029,0.124410906726987,72,7.79406,2,63.3666666666667,8.64354360511324,0.0314911265432099,21.1896201004171,21.1896201004171,0,2,0.180349999999999,87.6106194690266,6.94427078994527,0.0159505208333333,138.523905978611
"03","M",0.577615571776156,4.54252652068126,3.15514227395589,0.181042550898124,32,5.099232,5,50.0333333333333,9.43205298557915,0.0478395061728395,2011.78526700461,74.510565444615,68275,28,4.758596,65.7834101382489,7.68550761496312,0.0352647569444444,416.5411915258
"03","P",0.985634477254589,3.65895690343176,-0.84842503344644,-0.0486827594333444,52,4.60906999999998,0,60.3666666666667,9.21149034821951,0.0403645833333333,0,0,0,0,0,91.6666666666667,4.92673368193777,0.00347222222222222,41.1484491987943
"03","W",0.647893030794165,3.82153808752026,-0.111748827397517,-0.00641216497237536,79,7.72421799999999,6,53.9333333333333,8.88676554835008,0.0360243055555556,3622.53218881664,120.751072960555,83866.5,31,3.12569299999999,79.5166858457998,8.53476977502431,0.0529513888888889,453.435606710912
"04","D",0.0821174075330845,3.15913403461147,0.670078576579409,0.0529216640836893,39,26.217651,9,15.7333333333333,5.2202592023567,0.0100790895061728,3585.97422317882,108.665885550873,62206,34,24.854992,24.4731977818854,6.28114624970682,0.0317925347222222,510.665639909539
"04","J",0.891280947255113,4.93158127018299,8.1499402392234,0.643668391614681,74,21.689056,6,27,7.98121169627637,0.027440200617284,237.783952656946,59.4459881642366,1402.5,5,2.324209,39.2739273927393,4.99597288826018,0.0115017361111111,134.060063307445
"04","M",0.645235892691952,4.16528677150786,4.9161193796214,0.388266730943317,38,18.092788,8,18,7.18469067760947,0.0150462962962963,717.127484915771,71.7127484915771,11099.5,11,6.85239,40.6779661016949,6.10052292818144,0.0171440972222222,319.382360554751
"04","P",0.904070796460177,4.79271044247788,7.56389482169863,0.597383523230508,73,23.452716,5,21,7.37799797291622,0.0190489969135802,132.640907494416,44.2136358314721,482,4,1.582852,45.3874538745387,5.46821838295651,0.0110677083333333,160.312351949194
"04","W",0.791304347826087,4.29348405797101,5.45712164418896,0.430994167865884,51,18.213197,6,27.8,7.88738849820918,0.0250771604938272,1086.75047654209,155.250068077442,37967,8,2.454377,57.3412698412698,7.01752611690165,0.0230034722222222,220.971745368037
"05","D",0.116467276565799,2.77370478536242,0.0536807135500729,0.00297665176736291,42,23.723233,8,24.4333333333333,6.76724351969655,0.0186631944444444,4395.82874983598,146.527624994533,66940,31,19.81607,33.1342094782955,7.03698560467366,0.0394965277777778,847.468966338961
"05","J",0.807065217391304,3.18517934782609,2.7369473409266,0.151766595500803,90,19.845813,5,37.1,8.78537920290456,0.039014274691358,425.022343966233,47.224704885137,3973,10,3.957116,49.6478873239437,6.57169123778163,0.0171440972222222,233.609864870015
"05","M",1,3.13138162782844,2.38612704760315,0.132313242944788,73,21.539147,0,28.6333333333333,7.66512187842356,0.0231963734567901,0,0,0,0,0,0,0,0,0
"05","P",0.984100135317997,2.83054736129905,0.424356815887137,0.0235310297212178,97,23.472302,0,26.9666666666667,8.1907555699651,0.0243055555555556,0,0,0,0,0,78.7234042553192,4.51992522437784,0.0029296875,53.9268947058065
"05","W",1,3.13959878213802,2.43971192973755,0.135284580759821,68,24.203996,0,21.6333333333333,7.32968581185565,0.0166859567901235,0,0,0,0,0,0,0,0,0
"06","D",0.0401785714285714,2.98211847527473,0.426006345707487,0.027311421604164,26,25.996987,3,16.6,5.11940028142331,0.00896990740740741,888.034078092679,38.6101773083773,6363.5,24,18.924209,29.1234347048301,6.34221816780933,0.0237630208333333,632.09316777338
"06","J",0.879113498992612,4.23652820685024,7.16644871240912,0.45944363073788,100,20.466553,12,32.7333333333333,8.41196254849947,0.0299479166666667,831.312236791227,69.2760197326022,11271.5,13,1.92359,60.8333333333333,6.83265371289787,0.0170355902777778,216.247321509958
"06","M",0.81472602739726,3.5173154109589,3.3018323290436,0.211681670269504,74,20.106362,14,35.5666666666667,8.33553024560509,0.03515625,1129.26300140141,94.1052501167843,23231,13,4.007322,47.6894639556377,6.34136545292969,0.0200737847222222,182.976956644678
"06","P",0.979919678714859,3.55783668005355,3.51956922320418,0.22564086166447,105,19.765946,2,33.5,8.38148105137824,0.0303819444444444,0,0,0,1,0.0600509999999995,63.3333333333333,5.02323142879762,0.00401475694444444,36.2128577868064
"06","W",0.849879766403298,3.65354998282377,4.03387486418407,0.258613183170325,87,19.304394,15,34.4666666666667,8.28512405585651,0.0320216049382716,503.296421241599,38.7151093262768,3815,14,2.855249,56.7505720823799,5.95179693862026,0.0121527777777778,181.108182042516
"07","D",0.0280800280800281,3.12185679185679,0.283992878902286,0.031409204932145,49,22.841619,3,22.0666666666667,5.99168582593709,0.0128279320987654,3563.25792683724,75.8139984433456,97885.5,48,22.521038,39.4005055976887,6.70686636048168,0.0499131944444444,851.226919956882
"07","J",1,3.77293674242424,2.22891786235795,0.246515117513941,88,13.674704,0,41.6333333333333,8.79025552345356,0.0356385030864198,0,0,0,0,0,0,0,0,0
"07","M",1,3.79461851585014,2.29368628716494,0.253678412367523,61,21.158337,0,28.2666666666667,7.23953223718222,0.0171199845679012,0,0,0,0,0,0,0,0,0
"07","P",1,3.5085518701482,1.43913967476479,0.159166783143955,99,17.882425,0,39.9333333333333,8.57755753360825,0.0308641975308642,0,0,0,0,0,0,0,0,0
"07","W",1,3.60058254545455,1.71405638736146,0.18957217710523,74,11.290317,0,57.4666666666667,8.43014378680802,0.0269579475308642,0,0,0,0,0,0,0,0,0
"08","D",0.0303239145416954,4.04770468642316,-0.275352231747816,-0.0221828277005666,28,25.446016,1,17.2,5.46431101637858,0.0132137345679012,1751.21085706768,64.8596613728772,26903.5,28,25.446016,31.9118692253021,5.6450689470634,0.0282118055555556,675.19144466551
"08","J",0.971621621621622,5.60049932432432,4.38087919739207,0.352930818086662,85,22.791119,2,29.8333333333333,8.21778939393833,0.0247878086419753,203.887738515243,67.9625795050809,2194,4,0.511036,61.9047619047619,4.8136363537329,0.00423177083333333,47.5712805804392
"08","M",0.944291609353508,4.92766850068776,2.36331940484592,0.190392889958912,44,23.482625,2,24.3666666666667,7.39383912453824,0.0211709104938272,0,0,0,1,0.180384000000002,61.1111111111111,6.17025664277719,0.00998263888888889,102.394364340287
"08","P",1,4.61057080828323,1.41246588858355,0.11379057013808,84,25.947286,0,18.4666666666667,7.3851773587119,0.0135513117283951,0,0,0,0,0,0,0,0,0
"08","W",0.920812182741117,5.33303384094755,3.57885350802444,0.288318312258256,53,25.365962,4,17.9333333333333,6.29656337264397,0.0133101851851852,330.585926143306,55.0976543572176,4070,7,1.492754,60.2564102564103,6.13424815936492,0.0104166666666667,112.118113228903
"09","D",0.0846579129232896,3.59381237042156,-0.0518195724046289,-0.00345409609179607,73,22.951445,13,25.5,6.45663774416518,0.0168788580246914,9548.73419277883,144.677790799679,338831.5,67,21.098051,48.4711211778029,7.61930014715001,0.05859375,858.822391708802
"09","J",1,5.91593789649416,9.60840030049479,0.640459509530547,79,23.432424,0,31.2666666666667,7.68049845805774,0.0201099537037037,0,0,0,0,0,0,0,0,0
"09","M",1,5.58898039215686,8.24823206431221,0.54979585541742,49,26.458086,0,21.7,6.73605661986351,0.01171875,0,0,0,0,0,0,0,0,0
"09","P",0.98806275579809,5.41125784447476,7.50889266697797,0.500514296262468,70,24.795133,2,24.0333333333333,7.4168638621306,0.0161554783950617,0,0,0,1,0.110148999999999,80,4.65057194545458,0.0029296875,14.5120939885861
"09","W",1,5.23557547169811,6.77804055336056,0.451798467239121,49,23.723043,0,25.2,6.46183721096932,0.0146604938271605,0,0,0,0,0,0,0,0,0
"10","D",0.0261306532663317,3.2993567839196,1.06847444870635,0.0636524602664999,42,25.145756,3,24.3333333333333,6.0915756743976,0.0137924382716049,4687.50131154385,117.187532788596,49267.5,41,25.065611,45.9236326109391,7.09776243360853,0.0508897569444444,1062.93265194465
"10","J",0.988474576271186,4.95035423728814,10.0028831923531,0.595903931743604,87,23.111344,2,28.8333333333333,7.66327806297643,0.0218942901234568,40,40,0,2,0.110109,85.2941176470588,4.74894004700543,0.00314670138888889,33.0608614538286
"10","M",0.971819645732689,4.26930032206119,6.31734506951494,0.376344569132117,63,16.599604,0,34.2,7.64560317696814,0.0219425154320988,0,0,0,0,0,88.5714285714286,5.56283323902492,0.00596788194444444,54.4993911141643
"10","P",1,4.36081350153427,6.81257063704986,0.405846749365474,81,22.811261,0,27.6,7.68744154330269,0.0213638117283951,0,0,0,0,0,0,0,0,0
"10","W",1,4.40782513850415,7.06697513630573,0.421002443823221,51,23.842677,0,23.9333333333333,7.28716040645365,0.0205922067901235,0,0,0,0,0,0,0,0,0
"11","D",0.9957805907173,3.16615682137834,-1.46729886920552,-0.0894826795914044,69,23.011174,0,32.4,6.88718038158239,0.0138406635802469,0,0,0,0,0,25,1.18872187554087,0.000325520833333333,16.1739178892419
"11","J",1,4.55107721216262,5.06340815913482,0.308790076414148,85,22.210271,0,35.0333333333333,8.00612824355695,0.0230034722222222,0,0,0,0,0,0,0,0,0
"11","M",1,3.6396625,0.765556451512481,0.0466871774370793,50,7.833899,0,41.4333333333333,8.77318336823162,0.0319733796296296,0,0,0,0,0,0,0,0,0
"11","P",1,4.06137622424856,2.75418251350442,0.167962803328274,81,24.594522,0,28.3,7.58962544244179,0.0169270833333333,0,0,0,0,0,0,0,0,0
"11","W",1,4.35628263139575,4.1448381487847,0.25277142360694,68,15.358183,0,49.8666666666667,8.17670067818636,0.0245949074074074,0,0,0,0,0,0,0,0,0
"12","D",0.152010906612134,3.90809100204499,1.62338097115467,0.109948324401875,40,25.947289,13,20.1333333333333,5.82895054221484,0.0158179012345679,3518.35155975013,125.655412848219,52803,29,21.559209,42.604501607717,6.93074509653877,0.0445963541666667,715.668430217605
"12","J",1,4.88254326762446,5.70968332153263,0.386705354579415,90,25.686441,0,23.6333333333333,7.51662151978358,0.0158661265432099,0,0,0,0,0,0,0,0,0
"12","M",0.905582356995176,4.5098883528601,4.14697911541539,0.28086654529724,42,25.886839,4,19.8,7.44545808204553,0.017602237654321,660.293963802633,110.048993967105,23209.5,7,2.003505,49.2700729927007,5.97244682159007,0.0109592013888889,112.46888722458
"12","P",0.974657534246575,4.48547157534247,4.04458894312756,0.273931865096905,69,24.534536,2,22.1666666666667,7.58127542943758,0.0184220679012346,0,0,0,1,0.190368999999999,68.9189189189189,4.85217550214588,0.00520833333333333,63.8870619071382
"12","W",0.963881019830028,4.43097273371105,3.81605158679137,0.258453490125856,44,24.253992,2,20.9,7.2048391470322,0.0171199845679012,0,0,0,1,0.420818999999999,58.8235294117647,5.13431967692953,0.00531684027777778,52.4619896949812
"13","D",0.0880612600069614,3.53801218238775,0.876649757465609,0.0510067309443076,56,24.694898,7,19.0666666666667,6.02434107686592,0.011766975308642,4018.52484037295,85.5005285185734,60223,48,21.980032,27.7862595419847,6.34732274522638,0.0310329861111111,631.49912688664
"13","J",1,5.95449966599866,13.2142118163023,0.768851803146324,88,23.77267,0,28.6666666666667,7.73992469117283,0.0201581790123457,0,0,0,0,0,0,0,0,0
"13","M",0.912328767123288,4.3962,5.25819343594036,0.305941176115201,75,18.423134,6,35.4333333333333,7.13242925759034,0.0112364969135802,715.119487952938,119.18658132549,20566,7,1.071965,66.9642857142857,6.61884479760712,0.0135633680555556,116.030403546963
"13","P",0.967320261437909,4.5549828001376,6.06887119192285,0.353109411581868,93,22.450592,4,32.4,7.99233417565269,0.0221354166666667,81.1541742610939,81.1541742610939,0,2,0.320579999999997,71.5789473684211,5.7814992610722,0.0068359375,72.1965107065017
"13","W",1,4.44553714057508,5.51008798858295,0.320597334476691,75,17.351734,0,34.6666666666667,7.87175112783278,0.0202064043209877,0,0,0,0,0,0,0,0,0
"14","D",0.0648777173913043,4.2330886548913,1.64064896616741,0.0851704612004983,34,24.193618,3,25.3666666666667,6.06667171631333,0.0163483796296296,1950.10945977725,67.2451537854223,53127.5,30,22.700945,42.3537958590628,6.72376109422921,0.0386284722222222,924.514002066678
"14","J",0.959946146078761,5.28914877145742,6.85566815680106,0.35589600870948,61,23.191956,6,30.1,7.73515974709355,0.0223283179012346,275.122088036436,137.561044018218,5370.5,3,0.380714999999999,78.9915966386555,6.13482984820082,0.00965711805555556,87.1883336024126
"14","M",0.712491277041172,4.60191102581996,3.46196170410331,0.17971966037667,44,22.109694,18,31.3,6.66353268267919,0.0122010030864198,1075.45339727475,89.6211164395626,12060,13,5.53979100000001,47.2087378640777,6.58303988257,0.0244140625,354.329147042204
"14","P",0.748782185107864,4.58384446764092,3.37274571522689,0.17508822057708,50,22.821742,11,29.9333333333333,7.93365918474561,0.0226658950617284,786.458240115505,52.4305493410336,8073,16,6.231447,44.3213296398892,6.51659904362102,0.0186631944444444,316.230165417711
"14","W",0.809326424870466,4.80302970639033,4.45512275839991,0.231277298107313,50,21.930042,20,33.5666666666667,7.20389185715994,0.0151909722222222,886.048760649961,73.8373967208301,6318,13,3.736893,55.4347826086957,6.8217689320774,0.021484375,267.908930196004
"15","D",0.068241469816273,4.14109786276715,-0.489123328878734,-0.0429777065466581,49,21.348348,5,24.5333333333333,5.85000964654088,0.0113329475308642,3799.70518554323,82.6022866422442,33786,47,20.566991,50.9054325955734,7.35288330728997,0.0532769097222222,829.522695855341
"15","J",0.961629081117469,5.94454594412656,4.25422857627192,0.373805493499066,99,20.186178,2,41.6333333333333,8.65550838360115,0.0339506172839506,225.328762180255,45.0657524360509,4333.5,6,0.480863000000001,73.6842105263158,5.92906929100985,0.0078125,77.4542322741576
"15","M",0.966689798750867,5.14991707147814,2.16422974795886,0.190163963801416,72,20.106945,4,38.5666666666667,8.25598120757303,0.0278260030864198,507.151882541912,169.050627513971,9185.5,4,0.781438,66.6666666666667,5.37545068886225,0.00564236111111111,43.9617290113964
"15","P",0.858153638814016,4.95696630727763,1.65673891169321,0.145572362975214,93,22.110123,5,33.5333333333333,8.09226040803507,0.027295524691358,335.722062883724,37.3024514315249,2979,10,3.45603,49.6437054631829,5.57360748550984,0.00944010416666667,186.558364650895
"15","W",0.968707482993197,4.62340646258503,0.779424093951546,0.0684855086794467,78,23.122176,4,32.6,7.79898427998336,0.0220389660493827,75,75,0,2,0.480868999999999,45.6521739130435,4.5416024603154,0.00412326388888889,56.5212769058421
"16","D",0.0935810810810811,4.06633614864865,-0.023153992034863,-0.00165307461709336,41,25.275844,7,18.9666666666667,6.33834263762233,0.0160108024691358,3890.16237463468,114.416540430432,38557.5,35,24.354143,34.5881475959747,6.34203408252078,0.0376519097222222,628.360657463808
"16","J",1,5.6496110738255,5.42147088871182,0.387064826659086,85,11.951792,0,55.5,8.87585771286713,0.038966049382716,0,0,0,0,0,0,0,0,0
"16","M",1,5.52765873015873,5.00209661957197,0.357123684832082,68,21.629513,0,34.9666666666667,7.39157033271977,0.0177469135802469,0,0,0,0,0,0,0,0,0
"16","P",1,5.41260047765268,4.60643000831701,0.328875146484479,103,18.513077,0,37.0666666666667,8.11484029112176,0.0223765432098765,0,0,0,0,0,0,0,0,0
"16","W",1,5.22160915350344,3.94964191742147,0.281983892473773,80,15.969108,0,35.6333333333333,7.50415659314987,0.0190489969135802,0,0,0,0,0,0,0,0,0
"17","D",0.18295994568907,3.52184249830278,-0.58926755446578,-0.0661855165642032,89,10.609636,23,55.1333333333333,8.12220095860903,0.0296103395061728,5012.86950606186,71.6124215151695,48729.5,71,7.77426599999999,71.9983381803074,8.54256475864063,0.0729166666666667,980.822691328233
"17","J",0.977219430485762,5.52662244556114,4.14341038706042,0.465380716665616,103,19.304569,2,48.6,8.26728292303496,0.0277777777777778,65.1229606206597,65.1229606206597,0,2,0.520941999999999,67.6470588235294,5.14605089373558,0.00466579861111111,36.9325134074135
"17","M",0.967775467775468,4.63416735966736,2.03659437237088,0.228746771386925,80,22.571248,4,34.2666666666667,6.45405651208683,0.011766975308642,142.965009319823,47.6550031066077,1669.5,4,0.290618000000002,68.8172043010753,5.50960390829239,0.00661892361111111,67.4154096841743
"17","P",0.897781011276828,4.71160094579847,2.21939160431504,0.249278241567222,82,20.357031,9,33.7333333333333,7.54072917976201,0.0182773919753086,213.343179944743,53.3357949861856,1098,5,1.662919,66.5480427046263,6.51948658568116,0.0151909722222222,173.177663903222
"17","W",0.863244795405599,4.68751507537688,2.16253216305686,0.242891887079003,62,19.756141,8,34.3333333333333,7.61370453442444,0.0210744598765432,239.482080632647,29.9352600790809,1642,9,1.923435,65.6167979002625,6.74215309557975,0.0184461805555556,197.990671793866
"18","D",0.300840336134454,3.42090487394958,-0.592551915002693,-0.0363503333365215,54,23.021688,11,29.5,7.91592836342562,0.0297067901234568,3288.00626879768,109.600208959923,64916.5,31,18.223042,35.2403846153846,7.19551336293392,0.0438368055555556,538.433955858432
"18","J",0.977926421404682,5.21810668896321,7.66009063022211,0.469911311982298,89,22.260484,2,31.2,8.10022019111216,0.0275848765432099,0,0,0,1,0.100124,71.2121212121212,5.35485207383835,0.00531684027777778,45.4167007472014
"18","M",0.827325780981806,4.20030930312393,2.98642630458701,0.183203511638639,75,21.06761,11,32.6333333333333,7.99785575056998,0.0283082561728395,578.487712098346,64.2764124553717,8211,10,3.466094,53.6779324055666,6.2339535939269,0.0171440972222222,247.649622100539
"18","P",0.956858779912369,4.28547084597236,3.37748298272789,0.207193039381249,99,21.489089,4,33.8666666666667,8.58182821753092,0.0318769290123457,73.0273921210391,73.0273921210391,0,2,0.961695,56.25,5.52993557510339,0.00661892361111111,86.2200579088163
"18","W",0.96551724137931,4.38417275520656,3.83071620819891,0.234996812194951,49,24.784805,2,22.1666666666667,7.09779701723933,0.0167341820987654,52.9528091794949,52.9528091794949,0,2,0.370635999999995,69.3069306930693,5.39921627982039,0.00564236111111111,46.2629706566399
"19","D",0.332623358182464,3.00628824991125,0.47835112117841,0.0303355930448996,38,21.408557,11,28.0333333333333,7.37288363034136,0.0257040895061728,1790.82271326733,89.5411356633663,43689,21,15.057032,40.7978723404255,6.98965371790801,0.0434027777777778,522.050357469498
"19","J",0.969241773962804,3.35485157367668,2.36210464727069,0.149797590382033,95,15.728241,2,53.1666666666667,8.1931793197299,0.0220871913580247,37.0540146272978,37.0540146272978,0,2,0.320616000000002,75.5813953488372,5.66452318488434,0.00618489583333333,52.5144328597244
"19","M",0.884169884169884,3.09404401544402,0.952612816216976,0.0604118469523474,74,17.631506,4,37.7,8.2096356940264,0.027391975308642,1924.64798720471,192.464798720471,81900.5,11,1.442602,66.3333333333333,6.73907255957369,0.0173611111111111,155.351309155431
"19","P",0.920987654320988,3.18668683127572,1.4532857760248,0.0921630240372882,80,13.674649,8,41,8.95729693762254,0.0383873456790123,358.163387883647,89.5408469709119,4941.5,5,0.641159999999999,72.9166666666667,6.67130011529115,0.0133463541666667,122.165013888142
"19","W",0.978838174273859,3.01514605809129,0.526221698071967,0.0333714014190706,82,16.990146,2,35.3333333333333,7.97551513473157,0.0227141203703704,0,0,0,1,0.130286,86.2745098039216,5.43713122432444,0.0048828125,32.6059756261221
"20","D",0.168014059753954,3.92237820738137,-0.976029884451028,-0.0984513162652374,55,22.330369,7,27.0333333333333,7.1770930773958,0.023485725308642,4839.33647220364,118.032596883016,99098.5,42,18.002499,40.8956485002112,7.38782608636226,0.048828125,653.567190680249
"20","J",1,6.19190535117057,4.19547198490498,0.423193742167173,88,21.33829,0,35.0666666666667,8.53466848419663,0.0322627314814815,0,0,0,0,0,0,0,0,0
