id,task,T_gas
2,D,NA
2,J,NA
2,M,NA
2,P,NA
2,W,NA
3,D,230247
3,J,NA
3,M,202984
3,P,250118
3,W,166796
4,D,1148837
4,J,1195530
4,M,1114167
4,P,1167817
4,W,1222053
5,D,122074
5,J,176905
5,M,30220
5,P,143255
5,W,NA
6,D,92225
6,J,14648
6,M,65104
6,P,NA
6,W,40553
7,D,331377
7,J,239158
7,M,307281
7,P,348801
7,W,271222
8,D,361440
8,J,415393
8,M,333340
8,P,389039
8,W,293987
9,D,591262
9,J,NA
9,M,552960
9,P,NA
9,W,NA
10,D,170811
10,J,224478
10,M,285775
10,P,194292
10,W,249704
11,D,NA
11,J,NA
11,M,NA
11,P,490521
11,W,NA
12,D,73637
12,J,357721
12,M,NA
12,P,NA
12,W,NA
13,D,46894
13,J,100473
13,M,22964
13,P,66196
13,W,297303
14,D,21353
14,J,72169
14,M,186096
14,P,40258
14,W,99441
15,D,121223
15,J,170744
15,M,229310
15,P,140421
15,W,198948
16,D,73209
16,J,1296847
16,M,47609
16,P,1268272
16,W,21361
17,D,70908
17,J,193943
17,M,47614
17,P,93730
17,W,20150
18,D,265189
18,J,319661
18,M,233688
18,P,290403
18,W,197979
19,D,48697
19,J,18409
19,M,241472
19,P,66582
19,W,45224
20,D,149479
20,J,20514
20,M,85329
20,P,168455
20,W,57124
21,D,360084
21,J,274282
21,M,332553
21,P,244837
21,W,302128
22,D,54584
22,J,288265
22,M,23886
22,P,74445
22,W,319973
23,D,245932
23,J,42602
23,M,213825
23,P,17444
23,W,180324
24,D,262227
24,J,NA
24,M,NA
24,P,NA
24,W,NA
25,D,181939
25,J,238263
25,M,292814
25,P,204320
25,W,264600
26,D,NA
26,J,NA
26,M,NA
26,P,104644
26,W,NA
27,D,NA
27,J,390706
27,M,NA
27,P,NA
27,W,NA
28,D,238602
28,J,283444
28,M,213149
28,P,258328
28,W,NA
29,D,673544
29,J,NA
29,M,645384
29,P,NA
29,W,NA
31,D,281123
31,J,197208
31,M,255313
31,P,166300
31,W,225267
32,D,63784
32,J,224787
32,M,32117
32,P,NA
32,W,257659
33,D,NA
33,J,NA
33,M,NA
33,P,NA
33,W,NA
34,D,57922
34,J,100147
34,M,22258
34,P,76487
34,W,127569
35,D,NA
35,J,NA
35,M,NA
35,P,NA
35,W,NA
37,D,NA
37,J,108094
37,M,168590
37,P,NA
37,W,140418
38,D,322242
38,J,365564
38,M,295594
38,P,340149
38,W,263548
39,D,277674
39,J,NA
39,M,NA
39,P,NA
39,W,349680
40,D,19333
40,J,79161
40,M,131972
40,P,52629
40,W,107877
41,D,77742
41,J,NA
41,M,51632
41,P,199879
41,W,NA
42,D,NA
42,J,NA
42,M,NA
42,P,NA
42,W,NA
43,D,NA
43,J,308645
43,M,238270
43,P,NA
43,W,NA
44,D,239028
44,J,290252
44,M,208808
44,P,256997
44,W,315804
45,D,218263
45,J,NA
45,M,NA
45,P,NA
45,W,NA
46,D,NA
46,J,NA
46,M,NA
46,P,NA
46,W,NA
47,D,27920
47,J,133930
47,M,198411
47,P,48010
47,W,168187
48,D,267694
48,J,NA
48,M,NA
48,P,NA
48,W,212129
50,D,214199
50,J,269496
50,M,327946
50,P,242706
50,W,298445
