id,task,Frame,stream_1,AD_State
06,D,77925,0,1
06,D,77927,0,0
06,D,77930,0,1
06,D,77934,0,0
06,D,78315,0,1
06,D,91827,7,1
06,D,92138,7,0
06,D,92140,7,1
06,D,92192,7,0
06,D,92378,8,0
06,D,93226,8,1
06,D,93657,8,1
06,J,3991,0,0
06,J,4635,0,1
06,J,14297,7,1
06,J,14650,7,0
06,J,14652,7,1
06,J,14656,7,0
06,J,14845,8,0
06,J,15283,8,1
06,J,17488,8,1
06,M,49798,0,1
06,M,49800,0,0
06,M,49803,0,1
06,M,49807,0,0
06,M,50252,0,1
06,M,64663,7,1
06,M,65012,7,0
06,M,65014,7,1
06,M,65028,7,0
06,M,65213,8,0
06,M,65481,8,1
06,M,67352,8,1
06,P,163812,0,0
06,P,163817,0,1
06,P,163821,0,0
06,P,164329,0,1
06,P,175733,7,1
06,P,176268,7,0
06,P,176276,8,0
06,P,176850,8,0
06,W,26641,0,1
06,W,26643,0,0
06,W,26646,0,1
06,W,26650,0,0
06,W,27095,0,1
06,W,27480,0,0
06,W,27676,0,1
06,W,39984,7,1
06,W,40442,7,0
06,W,40444,7,1
06,W,40452,7,0
06,W,40528,8,0
06,W,40970,8,1
06,W,43166,8,1
09,D,576121,0,0
09,D,576124,0,1
09,D,576128,0,0
09,D,577086,0,1
09,D,590597,7,1
09,D,590962,7,0
09,D,590964,7,1
09,D,591023,7,0
09,D,591144,8,0
09,D,591541,8,1
09,D,592270,8,1
09,J,637392,0,1
09,J,637394,0,0
09,J,637396,0,1
09,J,637402,0,0
09,J,637973,0,1
09,J,647639,7,1
09,J,648068,7,0
09,J,648070,7,1
09,J,648104,7,0
09,J,648181,8,0
09,J,648493,8,1
09,J,649246,8,1
09,M,536961,0,1
09,M,536963,0,0
09,M,536965,0,1
09,M,536971,0,0
09,M,537607,0,1
09,M,552020,7,1
09,M,552522,7,0
09,M,552524,7,1
09,M,552565,8,1
09,M,552577,8,0
09,M,553155,8,0
09,P,605355,0,1
09,P,605357,0,0
09,P,605360,0,1
09,P,605366,0,0
09,P,606705,0,1
09,P,618109,7,1
09,P,618458,7,0
09,P,618460,7,1
09,P,618512,7,0
09,P,618662,8,0
09,P,618837,8,1
09,P,621375,8,1
09,W,11451,0,1
09,W,11453,0,0
09,W,12032,0,1
09,W,24652,7,1
09,W,24874,7,0
09,W,25232,8,0
09,W,25263,8,1
09,W,27439,8,1
10,D,156128,0,1
10,D,156130,0,0
10,D,156133,0,1
10,D,156139,0,0
10,D,156839,0,1
10,D,170350,7,1
10,D,170814,7,0
10,D,170816,7,1
10,D,170847,7,0
10,D,170895,8,0
10,D,171816,8,1
10,D,172316,8,1
10,J,213608,0,1
10,J,213610,0,0
10,J,213612,0,1
10,J,213618,0,0
10,J,214253,0,1
10,J,223917,7,1
10,J,224460,8,1
10,J,224480,8,0
10,J,224482,8,1
10,J,224512,8,0
10,J,225159,8,1
10,J,225833,8,1
10,M,270122,0,1
10,M,270124,0,0
10,M,270127,0,1
10,M,270133,0,0
10,M,270640,0,1
10,M,285053,7,1
10,M,285442,7,0
10,M,285444,7,1
