id,task,1,2,3,4,5,6,7,8,9,10
06,D,77925,91827,92192,92378,93226,93657,NA,NA,NA,NA
06,J,3991,14297,14656,14845,15283,17488,NA,NA,NA,NA
06,M,49798,64663,65028,65213,65481,67352,NA,NA,NA,NA
06,P,163812,175733,176850,NA,NA,NA,NA,NA,NA,NA
06,W,26641,39984,40452,40528,40970,43166,NA,NA,NA,NA
09,D,576121,590597,591023,591144,591541,592270,NA,NA,NA,NA
09,J,637392,647639,648104,648181,648493,649246,NA,NA,NA,NA
09,M,536961,552020,553155,NA,NA,NA,NA,NA,NA,NA
09,P,605355,618109,618512,618662,618837,621375,NA,NA,NA,NA
09,W,11451,24652,24874,25232,25263,27439,NA,NA,NA,NA
10,D,156128,170350,170847,170895,171816,172316,NA,NA,NA,NA
10,J,213608,223917,225833,NA,NA,NA,NA,NA,NA,NA
10,M,270122,285053,285485,285601,286003,287910,NA,NA,NA,NA
10,P,181630,193807,194341,194349,195763,197733,NA,NA,NA,NA
10,W,236005,249335,249712,249881,250206,251607,NA,NA,NA,NA
12,D,59528,73496,73662,74065,74438,75082,NA,NA,NA,NA
12,J,347092,357210,357739,357755,358708,359530,NA,NA,NA,NA
12,M,32249,46989,47356,47538,47810,49511,NA,NA,NA,NA
12,P,84753,96420,96890,96966,97343,98332,NA,NA,NA,NA
12,W,7712,20718,21135,21265,21589,22588,NA,NA,NA,NA
13,D,32238,46269,46694,46815,47212,48205,NA,NA,NA,NA
13,J,89577,99821,100222,100367,100675,101434,NA,NA,NA,NA
13,M,7338,22201,22633,22746,23151,24047,NA,NA,NA,NA
13,P,53512,65495,65900,66041,66354,68201,NA,NA,NA,NA
13,W,283161,296488,296974,297030,297556,299167,NA,NA,NA,NA
14,D,7042,21003,21237,21564,22142,23267,NA,NA,NA,NA
14,J,61408,71590,72056,72132,72638,74747,NA,NA,NA,NA
14,M,170542,185537,185902,186084,186678,188220,NA,NA,NA,NA
14,P,28007,39864,40204,40418,40916,42020,NA,NA,NA,NA
14,W,85927,99001,99350,99551,99932,100721,NA,NA,NA,NA
15,D,106890,120856,121282,121403,121865,123126,NA,NA,NA,NA
15,J,160357,170476,170746,171033,172039,172648,NA,NA,NA,NA
15,M,214218,229022,229312,229576,229969,230676,NA,NA,NA,NA
15,P,128095,140015,140358,140568,141715,142679,NA,NA,NA,NA
15,W,185546,198494,198778,199048,199296,201679,NA,NA,NA,NA
16,D,59243,73081,73246,73649,74345,76175,NA,NA,NA,NA
16,J,1286569,1296622,1296894,1297180,1297541,1298252,NA,NA,NA,NA
16,M,32585,47387,47623,47942,48141,48630,NA,NA,NA,NA
16,P,1255755,1267930,1268273,1268479,1268985,1270282,NA,NA,NA,NA
16,W,8221,21163,21387,21717,22098,23001,NA,NA,NA,NA
17,D,56726,70756,70923,71323,71764,72515,NA,NA,NA,NA
17,J,183579,193632,193969,194183,194616,196380,NA,NA,NA,NA
