Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[326.3684387207031, 134.6454315185547]","[327.273193359375, 123.20377349853516]","[322.6164855957031, 117.04053497314453]","[291.94390869140625, 110.95612335205078]","[288.3620910644531, 101.87242126464844]","[265.98492431640625, 164.7217254638672]","[241.56381225585938, 175.92031860351562]","[292.0396728515625, 286.3070373535156]","[271.4989013671875, 321.4355163574219]","[357.64569091796875, 259.0849914550781]","[349.191650390625, 278.93115234375]","[306.5225830078125, 345.93585205078125]","[294.5794372558594, 366.0079650878906]","[468.9336853027344, 347.1533203125]","[463.6351318359375, 363.9737548828125]","[477.4648132324219, 481.30914306640625]","[506.63671875, 507.54583740234375]"
2,"[326.2209777832031, 135.15121459960938]","[327.135986328125, 123.78373718261719]","[322.5607604980469, 117.55247497558594]","[291.9083557128906, 111.26140594482422]","[288.5357666015625, 101.99727630615234]","[266.3832092285156, 164.36160278320312]","[241.4014892578125, 175.45936584472656]","[292.3863525390625, 285.6646728515625]","[270.9939880371094, 321.1405029296875]","[357.9463195800781, 258.1717834472656]","[349.9533996582031, 279.00640869140625]","[307.30517578125, 345.5536193847656]","[294.98760986328125, 365.6103515625]","[469.3154296875, 347.048828125]","[463.5035705566406, 363.8695983886719]","[477.6085510253906, 481.26690673828125]","[506.4687194824219, 507.5808410644531]"
3,"[326.3480224609375, 134.98544311523438]","[327.1874084472656, 123.60795593261719]","[322.6214294433594, 117.47639465332031]","[291.97076416015625, 111.19216918945312]","[288.4974060058594, 102.16603088378906]","[266.5597229003906, 164.08099365234375]","[241.58460998535156, 175.45162963867188]","[292.5237121582031, 284.9678649902344]","[271.33355712890625, 320.8570861816406]","[357.86114501953125, 258.1991271972656]","[350.13592529296875, 279.24127197265625]","[307.6436767578125, 344.70489501953125]","[295.28240966796875, 364.82574462890625]","[469.4424133300781, 346.69012451171875]","[463.6142578125, 363.4571228027344]","[477.82635498046875, 481.4487609863281]","[506.526123046875, 507.46429443359375]"
4,"[326.3777160644531, 134.95069885253906]","[327.2138977050781, 123.57810974121094]","[322.67938232421875, 117.4526138305664]","[291.9456481933594, 111.24748992919922]","[288.6114196777344, 102.22471618652344]","[266.50653076171875, 164.22024536132812]","[241.60537719726562, 175.46534729003906]","[292.50347900390625, 285.26385498046875]","[271.31927490234375, 320.7812194824219]","[358.06201171875, 258.3889465332031]","[350.50225830078125, 279.1513366699219]","[307.51202392578125, 344.5483703613281]","[295.20819091796875, 364.64166259765625]","[469.5323486328125, 346.4383239746094]","[463.7334899902344, 363.1233215332031]","[478.3265075683594, 481.54425048828125]","[506.88787841796875, 507.4514465332031]"
5,"[326.36663818359375, 134.9947052001953]","[327.194580078125, 123.5862808227539]","[322.6944580078125, 117.45414733886719]","[291.7325439453125, 111.198486328125]","[288.6470031738281, 102.21473693847656]","[266.0852355957031, 164.22547912597656]","[241.65948486328125, 175.67312622070312]","[291.9974670410156, 286.0454406738281]","[271.4136657714844, 321.8301086425781]","[358.01318359375, 258.2632141113281]","[350.2371826171875, 278.72509765625]","[307.1558837890625, 345.1617126464844]","[295.1378479003906, 365.37689208984375]","[469.7412414550781, 346.154541015625]","[464.0929870605469, 363.056396484375]","[478.3338317871094, 481.41943359375]","[507.126708984375, 507.66796875]"
6,"[326.31695556640625, 135.09820556640625]","[327.191650390625, 123.71086120605469]","[322.6279602050781, 117.55506134033203]","[291.8682861328125, 111.24128723144531]","[288.5739440917969, 102.21045684814453]","[266.2200622558594, 164.04052734375]","[241.58111572265625, 175.5666046142578]","[292.1005554199219, 285.4740905761719]","[271.3688659667969, 321.6301574707031]","[358.03466796875, 257.9971008300781]","[350.2917175292969, 278.7527160644531]","[307.255615234375, 344.9275207519531]","[295.0974426269531, 365.172119140625]","[469.9485168457031, 346.16729736328125]","[464.1691589355469, 363.0908203125]","[478.2077941894531, 481.4070739746094]","[507.157958984375, 507.6891174316406]"
7,"[326.3155822753906, 135.09365844726562]","[327.17205810546875, 123.68975830078125]","[322.6400451660156, 117.58392333984375]","[291.8075866699219, 111.19244384765625]","[288.6001892089844, 102.22727966308594]","[266.15313720703125, 164.06918334960938]","[241.66854858398438, 175.4949188232422]","[292.1712341308594, 285.7064208984375]","[271.4699401855469, 321.47552490234375]","[357.9902648925781, 257.9529724121094]","[350.2432556152344, 278.815185546875]","[306.9723815917969, 345.30926513671875]","[294.8791809082031, 365.5036926269531]","[468.88092041015625, 346.7315368652344]","[463.2403564453125, 363.8408203125]","[477.7001953125, 481.6311340332031]","[506.34356689453125, 508.2183837890625]"
8,"[326.2735290527344, 135.1193389892578]","[327.15020751953125, 123.74862670898438]","[322.62799072265625, 117.59724426269531]","[291.8078308105469, 111.2340087890625]","[288.6203918457031, 102.13197326660156]","[266.2051696777344, 164.1123504638672]","[241.60565185546875, 175.2521209716797]","[292.19842529296875, 286.1907653808594]","[271.28338623046875, 321.4003601074219]","[358.0300598144531, 257.9195251464844]","[350.1382141113281, 278.6396484375]","[307.2432861328125, 345.4958801269531]","[295.06005859375, 365.60552978515625]","[468.9096984863281, 346.923095703125]","[463.16217041015625, 363.99127197265625]","[477.9710998535156, 481.5362854003906]","[506.5052795410156, 508.1678771972656]"
9,"[326.25634765625, 135.15866088867188]","[327.1062927246094, 123.7774658203125]","[322.605712890625, 117.62969970703125]","[291.6898498535156, 111.240966796875]","[288.6004333496094, 102.20494079589844]","[266.05035400390625, 164.05531311035156]","[241.7332000732422, 175.4035186767578]","[291.998291015625, 285.80364990234375]","[271.4208068847656, 321.44036865234375]","[357.8870544433594, 257.9842834472656]","[350.21246337890625, 278.70556640625]","[306.96759033203125, 345.22662353515625]","[294.97869873046875, 365.36822509765625]","[468.7851867675781, 346.9558410644531]","[463.21343994140625, 364.03253173828125]","[477.10986328125, 481.5808410644531]","[505.8175964355469, 508.1835021972656]"
10,"[326.3418884277344, 135.11228942871094]","[327.1938781738281, 123.71166229248047]","[322.629638671875, 117.58415222167969]","[291.8318176269531, 111.16424560546875]","[288.5270080566406, 102.19834899902344]","[266.0638732910156, 163.96554565429688]","[241.66856384277344, 175.3249053955078]","[291.894287109375, 285.4374694824219]","[271.5091857910156, 321.0306701660156]","[357.8955078125, 257.9078369140625]","[350.3954772949219, 278.4674987792969]","[306.6043701171875, 345.21331787109375]","[294.5452880859375, 365.35772705078125]","[468.9256286621094, 346.84075927734375]","[463.30438232421875, 363.8858642578125]","[476.88262939453125, 481.718017578125]","[505.5797424316406, 508.26190185546875]"
