Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[280.41558837890625, 141.77084350585938]","[276.8682556152344, 127.70855712890625]","[276.79541015625, 126.92832946777344]","[233.72044372558594, 117.90188598632812]","[241.32518005371094, 120.03472900390625]","[203.46209716796875, 172.76048278808594]","[202.57827758789062, 201.39378356933594]","[232.62290954589844, 269.5939636230469]","[244.39413452148438, 324.89697265625]","[288.0168151855469, 255.00848388671875]","[296.1131896972656, 268.91046142578125]","[242.19529724121094, 350.107177734375]","[244.44964599609375, 375.9542541503906]","[396.20648193359375, 305.38494873046875]","[401.63580322265625, 326.4709777832031]","[432.18658447265625, 381.4263916015625]","[460.5917663574219, 403.4808654785156]"
2,"[280.3183898925781, 142.0205535888672]","[276.7401123046875, 127.9944839477539]","[276.9891357421875, 127.18920135498047]","[233.4270782470703, 118.0315933227539]","[242.4639129638672, 120.23121643066406]","[203.47787475585938, 172.12139892578125]","[203.23333740234375, 201.4724578857422]","[232.95864868164062, 268.15936279296875]","[244.574951171875, 325.2737731933594]","[288.8415832519531, 254.03741455078125]","[296.2967224121094, 268.3419189453125]","[240.72103881835938, 349.36798095703125]","[243.46363830566406, 375.3706359863281]","[396.468017578125, 304.8985290527344]","[401.84619140625, 326.02679443359375]","[430.4358215332031, 382.1040344238281]","[458.6734313964844, 404.4566345214844]"
3,"[281.05023193359375, 142.0286407470703]","[277.8536682128906, 128.19723510742188]","[277.50640869140625, 127.24381256103516]","[235.71139526367188, 118.84186553955078]","[242.636962890625, 120.56383514404297]","[205.91839599609375, 172.91171264648438]","[203.00189208984375, 201.81231689453125]","[235.08651733398438, 268.2200622558594]","[244.38967895507812, 325.3668212890625]","[290.138916015625, 252.2801971435547]","[296.73626708984375, 267.3140563964844]","[242.85476684570312, 348.9178466796875]","[243.79396057128906, 374.7725830078125]","[398.1519775390625, 304.6977233886719]","[402.046630859375, 325.5575866699219]","[431.3577880859375, 381.9538269042969]","[459.7616271972656, 404.0235900878906]"
4,"[281.2225341796875, 142.2534942626953]","[278.0676574707031, 128.3008575439453]","[277.8053894042969, 127.42689514160156]","[235.4967498779297, 118.37318420410156]","[243.31539916992188, 120.41031646728516]","[203.8480682373047, 171.8118896484375]","[204.99546813964844, 201.3209991455078]","[234.41683959960938, 267.6246643066406]","[245.2375030517578, 325.07611083984375]","[291.34344482421875, 251.47247314453125]","[296.69952392578125, 266.7829284667969]","[240.88613891601562, 347.18011474609375]","[244.35874938964844, 373.7237548828125]","[398.76177978515625, 302.0037841796875]","[404.3829345703125, 325.7704772949219]","[431.4444885253906, 379.8907775878906]","[459.2258605957031, 406.5522766113281]"
5,"[282.01336669921875, 142.60943603515625]","[278.5632019042969, 128.6334991455078]","[278.8435363769531, 127.95561218261719]","[235.09938049316406, 118.74348449707031]","[244.5987091064453, 121.26599884033203]","[203.43484497070312, 171.39108276367188]","[205.51235961914062, 201.91233825683594]","[234.26739501953125, 266.18072509765625]","[245.4600372314453, 325.3268127441406]","[291.31317138671875, 249.76832580566406]","[296.94244384765625, 266.39617919921875]","[239.9736328125, 346.84429931640625]","[244.10011291503906, 373.814208984375]","[398.6341552734375, 301.6062927246094]","[404.83697509765625, 325.9228210449219]","[431.8917236328125, 381.35357666015625]","[459.7689514160156, 408.6482849121094]"
6,"[282.6809997558594, 142.0192108154297]","[279.32635498046875, 128.0714569091797]","[279.18255615234375, 127.40465545654297]","[236.65948486328125, 118.43110656738281]","[244.3180389404297, 120.86495208740234]","[205.51112365722656, 171.4713592529297]","[205.2295684814453, 201.56053161621094]","[235.63427734375, 266.23406982421875]","[244.74075317382812, 324.7962951660156]","[291.01690673828125, 249.309814453125]","[296.304443359375, 266.5093078613281]","[242.6194610595703, 346.37744140625]","[245.1650390625, 373.17364501953125]","[399.3089904785156, 301.67657470703125]","[404.5770263671875, 325.7978820800781]","[432.1901550292969, 380.5024108886719]","[459.8899230957031, 407.2978820800781]"
7,"[282.3712463378906, 143.39016723632812]","[278.67523193359375, 129.2725372314453]","[279.101806640625, 128.70620727539062]","[234.9895477294922, 118.81665802001953]","[244.4241180419922, 121.57469177246094]","[203.52626037597656, 171.474853515625]","[205.77081298828125, 202.1732940673828]","[235.0391387939453, 265.6529846191406]","[245.1614227294922, 324.79534912109375]","[291.5607604980469, 250.12913513183594]","[296.1143493652344, 267.29827880859375]","[241.17544555664062, 347.05755615234375]","[245.47769165039062, 374.1548767089844]","[397.9711608886719, 300.9743347167969]","[404.4992980957031, 325.97381591796875]","[431.5389404296875, 380.0743103027344]","[458.7849426269531, 408.0520324707031]"
8,"[282.4361877441406, 143.79478454589844]","[278.5926818847656, 129.7071533203125]","[279.4748229980469, 129.03695678710938]","[234.0983428955078, 119.20507049560547]","[245.1162109375, 121.81016540527344]","[202.57838439941406, 171.7991180419922]","[206.1216583251953, 202.55104064941406]","[234.71401977539062, 265.70086669921875]","[245.47706604003906, 324.9158020019531]","[292.50604248046875, 249.96624755859375]","[297.10711669921875, 266.60235595703125]","[240.3123779296875, 347.6627197265625]","[245.54132080078125, 374.7340393066406]","[397.738525390625, 300.9998779296875]","[404.6151123046875, 325.7794189453125]","[431.4430236816406, 380.75811767578125]","[458.3725891113281, 408.53521728515625]"
9,"[283.3248291015625, 143.00978088378906]","[279.9126892089844, 129.03048706054688]","[279.98638916015625, 128.2750701904297]","[236.85218811035156, 118.94666290283203]","[245.21058654785156, 121.28372955322266]","[205.47926330566406, 171.4115753173828]","[205.81243896484375, 202.07594299316406]","[236.3034210205078, 265.09246826171875]","[244.57383728027344, 325.0035095214844]","[292.2631530761719, 249.23080444335938]","[297.41156005859375, 265.9596862792969]","[242.33914184570312, 346.7689514160156]","[245.3432159423828, 373.8294372558594]","[399.97412109375, 301.08355712890625]","[405.2099304199219, 325.9306945800781]","[430.7946472167969, 382.3210144042969]","[458.0556335449219, 410.090087890625]"
10,"[282.1127014160156, 143.63235473632812]","[278.77276611328125, 129.41351318359375]","[278.8086853027344, 129.0584716796875]","[235.73048400878906, 118.95999145507812]","[244.94422912597656, 122.25627136230469]","[203.80929565429688, 171.4092254638672]","[206.7586212158203, 202.84707641601562]","[234.35299682617188, 264.78643798828125]","[244.69125366210938, 325.0181579589844]","[291.6841125488281, 250.62460327148438]","[297.5541687011719, 267.2688903808594]","[240.0482940673828, 346.0812683105469]","[244.7409210205078, 373.5158386230469]","[397.01416015625, 300.50750732421875]","[403.9056701660156, 326.58453369140625]","[429.39801025390625, 380.0212097167969]","[456.82684326171875, 409.5286560058594]"
