Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[264.9508972167969, 97.33415222167969]","[266.72900390625, 83.39678192138672]","[250.35374450683594, 84.24871063232422]","[252.87278747558594, 88.11454010009766]","[213.07545471191406, 93.90447235107422]","[244.12083435058594, 160.44378662109375]","[181.0999755859375, 184.48294067382812]","[275.121826171875, 257.6000061035156]","[202.0211944580078, 315.8765563964844]","[321.3803405761719, 293.97100830078125]","[308.20843505859375, 320.7669982910156]","[269.5284118652344, 335.9356689453125]","[230.05038452148438, 360.69378662109375]","[418.8266906738281, 315.3692626953125]","[395.7351379394531, 340.0582580566406]","[389.4950866699219, 397.4743957519531]","[407.8211975097656, 414.69281005859375]"
2,"[264.8740539550781, 97.4380874633789]","[266.7008972167969, 83.57593536376953]","[250.36167907714844, 84.3618392944336]","[252.93280029296875, 88.2283935546875]","[212.9515380859375, 93.73184967041016]","[244.3226776123047, 160.22740173339844]","[180.28042602539062, 183.82374572753906]","[275.8724365234375, 257.13482666015625]","[201.52835083007812, 314.779541015625]","[321.706298828125, 294.5333251953125]","[308.0707702636719, 321.37042236328125]","[269.224365234375, 335.7804260253906]","[229.07598876953125, 360.3680419921875]","[417.9950256347656, 315.9198303222656]","[394.28631591796875, 340.4191589355469]","[389.77691650390625, 398.4679870605469]","[407.90185546875, 415.5908203125]"
3,"[264.77777099609375, 97.46942138671875]","[266.54693603515625, 83.58289337158203]","[250.17901611328125, 84.37007904052734]","[252.8377227783203, 88.19353485107422]","[212.70274353027344, 93.7422866821289]","[244.4245147705078, 160.26512145996094]","[180.242431640625, 183.83602905273438]","[276.1234130859375, 257.46075439453125]","[201.46925354003906, 315.17169189453125]","[322.0051574707031, 294.6773681640625]","[308.2669372558594, 321.5078125]","[269.3446350097656, 335.98577880859375]","[229.08184814453125, 360.5169372558594]","[418.1653747558594, 316.0513000488281]","[394.4607238769531, 340.37249755859375]","[389.0125427246094, 398.4112243652344]","[407.1166076660156, 415.1362609863281]"
4,"[264.7926330566406, 97.52465057373047]","[266.5355529785156, 83.6272964477539]","[250.2482452392578, 84.37692260742188]","[252.67068481445312, 88.2165298461914]","[212.84825134277344, 93.72041320800781]","[244.1541748046875, 160.3878173828125]","[180.27223205566406, 183.91796875]","[275.77239990234375, 257.5616455078125]","[201.39605712890625, 315.181640625]","[321.8597717285156, 294.6806335449219]","[308.4659118652344, 321.1094055175781]","[269.0159606933594, 336.18414306640625]","[228.96859741210938, 360.716552734375]","[418.58477783203125, 316.23846435546875]","[394.9834899902344, 340.5430603027344]","[389.1041564941406, 398.83056640625]","[407.17071533203125, 415.6116027832031]"
5,"[264.82904052734375, 97.5915756225586]","[266.53375244140625, 83.72893524169922]","[250.4029998779297, 84.42620086669922]","[252.24208068847656, 88.3393325805664]","[212.9150390625, 93.75688934326172]","[243.34144592285156, 160.2620391845703]","[180.25035095214844, 184.24832153320312]","[274.9792785644531, 256.5683898925781]","[201.3379364013672, 315.4822998046875]","[321.3799743652344, 292.9986877441406]","[308.3065185546875, 321.1531677246094]","[268.5953369140625, 336.24365234375]","[229.05740356445312, 360.9684143066406]","[417.83660888671875, 315.7605895996094]","[394.46356201171875, 340.42254638671875]","[388.1258239746094, 398.7518310546875]","[406.4303283691406, 416.07403564453125]"
6,"[264.895751953125, 97.65135955810547]","[266.4870300292969, 83.78384399414062]","[250.5287628173828, 84.48335266113281]","[251.94735717773438, 88.32467651367188]","[212.97830200195312, 93.7459487915039]","[243.0731658935547, 160.23770141601562]","[180.0944366455078, 184.238525390625]","[274.953125, 256.5523681640625]","[201.39781188964844, 315.47528076171875]","[321.0799255371094, 292.7567138671875]","[308.199951171875, 321.2578125]","[268.3582763671875, 336.1083984375]","[228.94300842285156, 360.86053466796875]","[418.0674133300781, 315.24078369140625]","[394.8951416015625, 339.8703308105469]","[388.81158447265625, 398.2456359863281]","[407.15728759765625, 415.5504455566406]"
7,"[264.98248291015625, 97.77200317382812]","[266.532470703125, 83.92284393310547]","[250.74212646484375, 84.56930541992188]","[251.6901397705078, 88.47267150878906]","[213.1625213623047, 93.75987243652344]","[242.72767639160156, 160.322509765625]","[179.92250061035156, 184.42796325683594]","[274.7548828125, 256.3365173339844]","[201.3309783935547, 315.6120300292969]","[320.8664245605469, 292.38372802734375]","[308.38824462890625, 320.968994140625]","[268.0899963378906, 336.1738586425781]","[228.82420349121094, 360.9678039550781]","[417.54412841796875, 315.26556396484375]","[394.43426513671875, 339.97723388671875]","[388.4068908691406, 398.3471374511719]","[406.9496154785156, 415.8226623535156]"
8,"[264.4874572753906, 97.84037780761719]","[266.34014892578125, 84.02238464355469]","[250.10403442382812, 84.64952087402344]","[252.414794921875, 88.72879028320312]","[212.6907501220703, 93.85977935791016]","[243.92276000976562, 160.7451629638672]","[179.5260009765625, 184.48219299316406]","[275.2854919433594, 257.0572509765625]","[200.96461486816406, 315.70660400390625]","[320.6603698730469, 292.8493957519531]","[307.6446228027344, 320.64892578125]","[269.2910461425781, 336.1635437011719]","[228.9846954345703, 360.7624816894531]","[417.914794921875, 316.3420104980469]","[393.70660400390625, 340.6405944824219]","[389.1446228027344, 399.8981628417969]","[407.2818603515625, 416.9934997558594]"
9,"[264.1988525390625, 97.67628479003906]","[265.9545593261719, 83.7451171875]","[249.58982849121094, 84.53506469726562]","[252.0352020263672, 88.42886352539062]","[212.16815185546875, 94.06652069091797]","[243.52716064453125, 160.67958068847656]","[179.88113403320312, 184.75914001464844]","[274.4495849609375, 257.25775146484375]","[201.35838317871094, 316.2227783203125]","[320.7657470703125, 293.14117431640625]","[309.377197265625, 320.1377868652344]","[269.069091796875, 336.3273010253906]","[229.14944458007812, 361.0389099121094]","[417.7967224121094, 315.7510986328125]","[394.1495361328125, 340.13739013671875]","[387.58258056640625, 398.3936462402344]","[406.01129150390625, 415.15283203125]"
10,"[263.89910888671875, 97.7428970336914]","[265.7261657714844, 83.79010009765625]","[249.3914031982422, 84.64917755126953]","[251.78970336914062, 88.18194580078125]","[212.20016479492188, 93.96600341796875]","[242.9537811279297, 159.80548095703125]","[180.10997009277344, 184.28477478027344]","[273.5687255859375, 256.0986633300781]","[201.67947387695312, 315.725830078125]","[320.08392333984375, 292.1663818359375]","[309.2548828125, 319.9947509765625]","[268.6988525390625, 335.5742492675781]","[229.243896484375, 360.4744567871094]","[417.38189697265625, 315.59295654296875]","[394.23907470703125, 340.21624755859375]","[388.2533874511719, 397.5660095214844]","[407.2644958496094, 414.6470031738281]"
