Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[406.3876953125, 142.2152862548828]","[406.56280517578125, 127.76893615722656]","[394.8665771484375, 127.50314331054688]","[379.42095947265625, 122.2811508178711]","[353.156494140625, 127.61027526855469]","[350.0779113769531, 182.80645751953125]","[331.14239501953125, 204.377197265625]","[368.33203125, 286.6056213378906]","[361.0068664550781, 324.59600830078125]","[439.4837951660156, 257.1846923828125]","[425.1852722167969, 259.62847900390625]","[393.6156311035156, 346.8160400390625]","[381.9617004394531, 370.27093505859375]","[554.993408203125, 326.14031982421875]","[550.3958129882812, 349.0589294433594]","[545.3187866210938, 474.3048095703125]","[563.7536010742188, 501.0427551269531]"
2,"[406.46356201171875, 142.0801544189453]","[406.5487976074219, 127.58395385742188]","[394.8397521972656, 127.41144561767578]","[379.4646911621094, 122.12288665771484]","[353.0005187988281, 127.6508560180664]","[350.2546691894531, 182.7820587158203]","[331.0745849609375, 204.27017211914062]","[368.36151123046875, 286.3753662109375]","[360.9311828613281, 324.1964416503906]","[439.10205078125, 257.23883056640625]","[425.2242126464844, 260.209716796875]","[393.654052734375, 346.609130859375]","[381.8330078125, 369.9921875]","[554.748046875, 325.890869140625]","[550.2501220703125, 348.53955078125]","[545.4924926757812, 474.96533203125]","[563.6957397460938, 501.12322998046875]"
3,"[406.34765625, 142.0447540283203]","[406.5008544921875, 127.65696716308594]","[394.77960205078125, 127.33763122558594]","[379.5546569824219, 122.39390563964844]","[353.0422668457031, 127.57866668701172]","[350.5752868652344, 183.16685485839844]","[330.8916320800781, 204.25108337402344]","[369.23114013671875, 286.8541259765625]","[360.9476623535156, 324.2248840332031]","[440.4320983886719, 257.1485595703125]","[425.394775390625, 259.5710144042969]","[393.7032165527344, 346.7615966796875]","[381.60174560546875, 369.93414306640625]","[555.050048828125, 326.5119323730469]","[550.2636108398438, 348.7195129394531]","[545.1121826171875, 475.5141906738281]","[563.5462646484375, 501.2933349609375]"
4,"[406.5978088378906, 141.4210662841797]","[406.76397705078125, 126.89610290527344]","[394.74957275390625, 126.80486297607422]","[380.26422119140625, 121.7030029296875]","[352.8926696777344, 127.39622497558594]","[351.50244140625, 182.67601013183594]","[331.1890563964844, 204.39797973632812]","[370.16351318359375, 286.011474609375]","[361.3123779296875, 324.37884521484375]","[441.3102722167969, 256.8103332519531]","[425.6642761230469, 259.3399658203125]","[394.5732727050781, 346.77032470703125]","[382.0293273925781, 370.24176025390625]","[555.5817260742188, 325.5703125]","[550.5706176757812, 348.32696533203125]","[545.2327880859375, 474.8419494628906]","[563.44140625, 501.00457763671875]"
5,"[406.4556884765625, 141.97076416015625]","[406.7442932128906, 127.4675064086914]","[394.7054748535156, 127.1718978881836]","[380.4115905761719, 121.80290222167969]","[352.9664306640625, 127.03020477294922]","[351.85693359375, 182.61727905273438]","[331.1656799316406, 203.72398376464844]","[371.2411193847656, 285.2286376953125]","[360.6780700683594, 323.2781066894531]","[443.7416687011719, 256.8783874511719]","[426.0546875, 260.9739990234375]","[395.139404296875, 345.62054443359375]","[382.5536804199219, 368.8023681640625]","[555.284912109375, 325.0867004394531]","[550.1476440429688, 347.5028076171875]","[544.3934326171875, 474.39678955078125]","[562.64599609375, 500.4811706542969]"
6,"[406.37982177734375, 141.8729248046875]","[406.4971923828125, 127.33016967773438]","[394.6070251464844, 127.09850311279297]","[379.9652099609375, 121.456787109375]","[352.9759216308594, 126.91439056396484]","[351.6693420410156, 182.2008056640625]","[331.4560241699219, 203.05471801757812]","[370.6474914550781, 285.32745361328125]","[360.39697265625, 322.7542724609375]","[443.5623779296875, 257.1206359863281]","[426.0575256347656, 262.0196533203125]","[395.2546081542969, 344.75274658203125]","[382.95611572265625, 367.7837219238281]","[555.5927124023438, 324.78900146484375]","[550.64208984375, 346.825927734375]","[544.6227416992188, 474.5190124511719]","[562.158935546875, 500.0643310546875]"
7,"[405.87744140625, 142.06527709960938]","[406.07110595703125, 127.4549560546875]","[394.08087158203125, 127.38127899169922]","[379.8365783691406, 121.29641723632812]","[352.8009338378906, 127.08158874511719]","[351.8636169433594, 181.5597381591797]","[331.2339782714844, 202.83348083496094]","[370.5720520019531, 284.52703857421875]","[360.1949157714844, 322.48956298828125]","[443.6510009765625, 256.7270202636719]","[426.3129577636719, 261.1319274902344]","[395.2063293457031, 344.5989074707031]","[382.6695251464844, 367.79638671875]","[554.9298095703125, 325.37457275390625]","[550.1246337890625, 347.3711242675781]","[544.92626953125, 475.19696044921875]","[563.13232421875, 500.4179992675781]"
8,"[405.771728515625, 142.3942108154297]","[406.03741455078125, 127.76459503173828]","[393.8851318359375, 127.69691467285156]","[379.8344421386719, 121.4342269897461]","[352.44708251953125, 127.2648696899414]","[351.44635009765625, 181.6343536376953]","[331.327880859375, 202.7486572265625]","[370.23883056640625, 285.0266418457031]","[360.66143798828125, 322.47174072265625]","[444.5508117675781, 256.6068115234375]","[427.0966491699219, 260.946533203125]","[394.91290283203125, 345.0299377441406]","[382.654052734375, 368.2139587402344]","[554.8033447265625, 325.7084655761719]","[550.3667602539062, 347.7768249511719]","[545.0048217773438, 475.1146545410156]","[563.4807739257812, 500.4600524902344]"
9,"[405.7864685058594, 142.2520751953125]","[406.07861328125, 127.62428283691406]","[393.8105163574219, 127.59584045410156]","[380.06982421875, 121.25677490234375]","[352.4725646972656, 127.21177673339844]","[351.7485046386719, 181.42909240722656]","[331.74749755859375, 202.25665283203125]","[369.7465515136719, 285.4729309082031]","[360.7741394042969, 322.0799560546875]","[443.98150634765625, 257.01043701171875]","[427.2425842285156, 260.98455810546875]","[395.3096008300781, 344.77886962890625]","[383.0591125488281, 367.8018798828125]","[554.9701538085938, 326.42742919921875]","[550.7943115234375, 348.13494873046875]","[545.1366577148438, 475.927490234375]","[563.6707763671875, 500.7059326171875]"
10,"[405.40185546875, 142.12710571289062]","[405.7958068847656, 127.4596939086914]","[393.2223205566406, 127.5389404296875]","[380.4958190917969, 121.34024810791016]","[352.1317138671875, 127.51667022705078]","[352.7375793457031, 181.78138732910156]","[331.9892272949219, 202.73277282714844]","[370.6445007324219, 285.1883850097656]","[360.73553466796875, 322.17974853515625]","[444.5189208984375, 256.7940979003906]","[427.1341552734375, 261.1265563964844]","[396.40740966796875, 344.67626953125]","[383.6755065917969, 367.6930847167969]","[555.2984619140625, 326.36334228515625]","[550.972412109375, 347.9357604980469]","[545.0260620117188, 476.33489990234375]","[563.4523315429688, 500.6867980957031]"
