Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[447.21807861328125, 214.1417236328125]","[454.1038818359375, 198.5537567138672]","[441.1819152832031, 194.85531616210938]","[443.0076599121094, 183.09091186523438]","[401.6126403808594, 171.23776245117188]","[398.6179504394531, 222.4704132080078]","[322.5154724121094, 231.76516723632812]","[419.9707946777344, 321.1178894042969]","[308.0052185058594, 373.720458984375]","[486.2228698730469, 322.805908203125]","[427.888916015625, 376.29083251953125]","[390.0738830566406, 420.0910949707031]","[336.4310302734375, 439.5927429199219]","[495.2276916503906, 429.20892333984375]","[469.0584411621094, 454.57867431640625]","[476.70166015625, 477.53662109375]","[454.8868408203125, 510.5469665527344]"
2,"[447.4265441894531, 214.93345642089844]","[454.3429870605469, 199.22190856933594]","[441.1770935058594, 195.44839477539062]","[442.99053955078125, 183.5437774658203]","[401.0455017089844, 171.50889587402344]","[399.2236633300781, 222.87396240234375]","[321.5429992675781, 232.32679748535156]","[421.879150390625, 321.580078125]","[308.82861328125, 375.0384826660156]","[486.843017578125, 323.30511474609375]","[428.03485107421875, 377.5064697265625]","[390.3385009765625, 419.833740234375]","[335.7599792480469, 439.4241027832031]","[495.607177734375, 425.02197265625]","[468.8865966796875, 450.5208435058594]","[475.3465576171875, 472.20257568359375]","[454.3028259277344, 505.4372863769531]"
3,"[447.5072021484375, 213.99476623535156]","[454.573974609375, 198.38882446289062]","[441.47528076171875, 194.5476531982422]","[443.3052978515625, 183.2928009033203]","[401.62353515625, 171.07835388183594]","[398.6495666503906, 223.17459106445312]","[321.3560791015625, 232.5472412109375]","[421.0558776855469, 323.1334228515625]","[309.2761535644531, 377.1534118652344]","[487.12261962890625, 322.41741943359375]","[430.1303405761719, 377.7412109375]","[386.9601745605469, 421.34307861328125]","[332.602294921875, 440.7810974121094]","[490.0274353027344, 431.58892822265625]","[465.30853271484375, 457.09039306640625]","[469.8381042480469, 481.28668212890625]","[451.03143310546875, 514.6224365234375]"
4,"[447.3893127441406, 214.14144897460938]","[454.5070495605469, 198.3457489013672]","[440.9447021484375, 194.6812286376953]","[445.1693115234375, 182.89944458007812]","[400.7641296386719, 170.8417510986328]","[401.5254821777344, 222.5332489013672]","[319.93597412109375, 231.95123291015625]","[421.25537109375, 322.2668762207031]","[306.57220458984375, 376.77008056640625]","[485.0288391113281, 321.7696838378906]","[429.1285400390625, 378.383056640625]","[392.2325134277344, 420.704345703125]","[334.8911437988281, 440.2607116699219]","[493.1421203613281, 431.1277160644531]","[463.4820861816406, 456.7971496582031]","[474.5887145996094, 479.19140625]","[451.4533996582031, 512.6868286132812]"
5,"[448.5476989746094, 213.72035217285156]","[454.9374694824219, 198.50953674316406]","[443.26678466796875, 194.6036376953125]","[444.47381591796875, 183.38351440429688]","[404.0646057128906, 170.69863891601562]","[401.93115234375, 222.561767578125]","[320.1004333496094, 231.46629333496094]","[424.0359191894531, 321.2406005859375]","[306.6914367675781, 375.3529357910156]","[487.8167724609375, 321.8635559082031]","[429.10870361328125, 378.6349182128906]","[391.42364501953125, 421.005615234375]","[333.66412353515625, 440.5220031738281]","[495.8277282714844, 433.5726013183594]","[463.7443542480469, 459.3593444824219]","[479.8056335449219, 482.2535705566406]","[452.19451904296875, 515.9727783203125]"
6,"[448.6434631347656, 214.29977416992188]","[454.8565979003906, 199.0406494140625]","[443.2248229980469, 195.29978942871094]","[445.6410827636719, 183.42210388183594]","[404.3680114746094, 170.99453735351562]","[405.12469482421875, 222.5404510498047]","[320.01593017578125, 231.36109924316406]","[426.57049560546875, 321.0389709472656]","[305.6774597167969, 374.9212646484375]","[488.3961181640625, 322.69659423828125]","[429.64923095703125, 379.3731994628906]","[395.909912109375, 421.0030822753906]","[335.9285888671875, 440.4853820800781]","[500.6357116699219, 429.8310546875]","[463.6336975097656, 455.5390319824219]","[484.314453125, 476.659423828125]","[452.0422058105469, 510.1742248535156]"
7,"[450.43939208984375, 215.26658630371094]","[456.3052673339844, 199.40130615234375]","[445.6804504394531, 196.1231689453125]","[433.5242614746094, 183.13336181640625]","[404.0654602050781, 173.9193115234375]","[391.8797912597656, 219.08070373535156]","[321.7982482910156, 233.15127563476562]","[414.5863037109375, 316.1253967285156]","[307.11407470703125, 371.9255676269531]","[482.11627197265625, 330.2652282714844]","[428.6874694824219, 384.96112060546875]","[388.7331848144531, 415.90411376953125]","[337.4559631347656, 437.0965881347656]","[504.52325439453125, 415.23114013671875]","[462.26129150390625, 440.5505676269531]","[506.583984375, 468.5947570800781]","[458.9618225097656, 501.54052734375]"
8,"[449.936279296875, 216.08360290527344]","[455.5946350097656, 200.06881713867188]","[445.1722717285156, 196.85646057128906]","[433.1843566894531, 183.1746368408203]","[403.7141418457031, 173.9327850341797]","[392.7006530761719, 219.59893798828125]","[320.7672119140625, 233.4847412109375]","[415.2195129394531, 318.44049072265625]","[306.05621337890625, 374.3101501464844]","[482.8363952636719, 330.8096923828125]","[431.4716491699219, 384.87982177734375]","[390.3404846191406, 420.3732604980469]","[337.9847106933594, 441.4918518066406]","[502.75445556640625, 422.10736083984375]","[459.5611267089844, 447.41961669921875]","[504.4572448730469, 475.4682312011719]","[456.43597412109375, 508.3237609863281]"
9,"[449.1732177734375, 215.74119567871094]","[455.1758728027344, 199.8895721435547]","[444.4704895019531, 196.56935119628906]","[433.875, 183.48953247070312]","[403.5920104980469, 173.87185668945312]","[393.3774108886719, 220.46145629882812]","[320.5697021484375, 233.3914031982422]","[414.61541748046875, 319.6578369140625]","[304.3000793457031, 373.51239013671875]","[481.461669921875, 331.49176025390625]","[430.58331298828125, 383.66632080078125]","[389.7405700683594, 421.171875]","[336.84613037109375, 441.64813232421875]","[497.29541015625, 424.87939453125]","[453.876708984375, 449.57958984375]","[497.9071044921875, 478.0770263671875]","[450.0810546875, 510.16241455078125]"
10,"[448.3156433105469, 216.0904998779297]","[454.7671813964844, 200.45376586914062]","[443.56512451171875, 196.7709503173828]","[434.7695617675781, 184.75918579101562]","[402.5862121582031, 174.21189880371094]","[394.5066833496094, 221.68853759765625]","[319.6159362792969, 233.7750244140625]","[415.71234130859375, 320.753662109375]","[304.45172119140625, 374.2950439453125]","[480.7845458984375, 331.5546569824219]","[426.1477966308594, 386.2206115722656]","[391.3369445800781, 418.9819641113281]","[337.0267639160156, 439.23980712890625]","[502.2268981933594, 420.4164733886719]","[457.8047790527344, 444.9287414550781]","[506.3273620605469, 475.2351379394531]","[457.09130859375, 506.7685546875]"
11,"[448.1719970703125, 215.30690002441406]","[454.08984375, 199.91397094726562]","[443.21258544921875, 196.25662231445312]","[443.4859313964844, 183.5562744140625]","[404.87799072265625, 171.46633911132812]","[402.3793029785156, 222.62042236328125]","[320.813720703125, 232.43258666992188]","[423.4532165527344, 322.54974365234375]","[306.78985595703125, 378.7429504394531]","[489.307373046875, 321.8619689941406]","[431.9940490722656, 380.691650390625]","[394.46722412109375, 422.5609436035156]","[337.4403381347656, 442.5764465332031]","[495.8277282714844, 429.1685485839844]","[465.0875549316406, 455.3995361328125]","[477.7972717285156, 474.2980041503906]","[452.3274841308594, 508.33056640625]"
12,"[448.8898620605469, 216.55467224121094]","[455.017578125, 200.4099578857422]","[444.07171630859375, 197.08352661132812]","[431.4273681640625, 183.58346557617188]","[402.44970703125, 174.38914489746094]","[388.140380859375, 218.99606323242188]","[321.0055847167969, 233.5737762451172]","[411.2821960449219, 318.63330078125]","[309.3640441894531, 375.0465087890625]","[481.82861328125, 331.4233093261719]","[435.3098449707031, 382.2367858886719]","[384.4139099121094, 413.195068359375]","[334.9816589355469, 434.8424377441406]","[502.7655334472656, 408.1075134277344]","[463.152587890625, 434.0257873535156]","[502.0797119140625, 463.2142028808594]","[456.5757751464844, 496.78436279296875]"
13,"[448.5025939941406, 216.17799377441406]","[454.6897277832031, 200.2699737548828]","[443.9744873046875, 196.73036193847656]","[431.7151184082031, 183.66815185546875]","[402.6581115722656, 173.8729248046875]","[389.2885437011719, 219.04843139648438]","[321.3525085449219, 232.90390014648438]","[411.8540954589844, 319.4783020019531]","[312.8381042480469, 374.6321716308594]","[479.9609375, 331.7601318359375]","[438.03271484375, 381.58135986328125]","[387.63848876953125, 415.0080871582031]","[337.5678405761719, 436.4046325683594]","[505.2691345214844, 412.76531982421875]","[464.6886291503906, 438.3006591796875]","[509.9811706542969, 471.4388122558594]","[463.1501159667969, 504.3809509277344]"
14,"[449.215576171875, 216.2158966064453]","[455.2237243652344, 200.1171112060547]","[444.52423095703125, 196.62782287597656]","[430.02960205078125, 183.80223083496094]","[402.02337646484375, 174.46405029296875]","[387.10968017578125, 219.10781860351562]","[322.2372131347656, 234.5558319091797]","[412.29913330078125, 318.541748046875]","[319.8524475097656, 375.96435546875]","[478.72833251953125, 331.5376281738281]","[442.1606140136719, 381.06756591796875]","[387.5893249511719, 414.1504211425781]","[339.31103515625, 436.4599914550781]","[509.6917724609375, 409.025390625]","[471.12799072265625, 435.37115478515625]","[515.4061889648438, 467.8125]","[470.3739929199219, 501.9708251953125]"
15,"[449.1409912109375, 216.85305786132812]","[455.17230224609375, 200.6920623779297]","[444.5745849609375, 197.16812133789062]","[429.247314453125, 184.11048889160156]","[402.10601806640625, 174.7227325439453]","[385.1619873046875, 219.3434600830078]","[322.3922424316406, 234.6985626220703]","[409.8578796386719, 319.0116882324219]","[319.1810607910156, 375.6621398925781]","[477.65423583984375, 332.8211364746094]","[442.33148193359375, 379.9599609375]","[385.408447265625, 415.5011901855469]","[338.6724548339844, 437.8740539550781]","[507.9069519042969, 409.1593322753906]","[472.291748046875, 435.5876770019531]","[512.5638427734375, 467.568603515625]","[471.1747741699219, 501.77984619140625]"
