Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[438.0403137207031, 113.38529205322266]","[444.8641662597656, 98.7268295288086]","[426.6555480957031, 96.873046875]","[429.2724609375, 90.38422393798828]","[386.1171875, 87.93880462646484]","[404.60430908203125, 147.97366333007812]","[345.58660888671875, 166.6138916015625]","[421.7986755371094, 257.03094482421875]","[379.6674499511719, 298.0372314453125]","[472.03741455078125, 198.21424865722656]","[445.53863525390625, 199.79342651367188]","[449.42169189453125, 317.935546875]","[413.9632263183594, 343.9706115722656]","[620.6128540039062, 302.4761657714844]","[599.1560668945312, 324.1643371582031]","[654.6351928710938, 419.3702087402344]","[689.5650634765625, 449.01611328125]"
2,"[438.1168518066406, 113.07305145263672]","[444.734619140625, 98.3452377319336]","[426.6247863769531, 96.65389251708984]","[428.98480224609375, 89.9814682006836]","[386.158447265625, 87.9894790649414]","[404.5235900878906, 147.71543884277344]","[346.0172424316406, 166.42935180664062]","[420.9894104003906, 257.30902099609375]","[379.5168151855469, 298.31048583984375]","[471.76275634765625, 197.58993530273438]","[445.9190673828125, 199.861328125]","[449.33636474609375, 317.71044921875]","[414.1320495605469, 343.7214660644531]","[620.2139282226562, 300.0745544433594]","[599.0811767578125, 321.6331481933594]","[653.3735961914062, 418.4769287109375]","[688.055419921875, 447.83221435546875]"
3,"[438.15069580078125, 112.89456939697266]","[444.5318603515625, 98.12910461425781]","[426.7420349121094, 96.6441879272461]","[428.07989501953125, 89.72566223144531]","[386.3225402832031, 88.28204345703125]","[403.1113586425781, 147.2230987548828]","[346.3358459472656, 166.41403198242188]","[419.0390625, 256.8519592285156]","[379.2933044433594, 298.1198425292969]","[470.0032653808594, 197.0513916015625]","[445.28558349609375, 200.14939880371094]","[447.8800354003906, 317.1978759765625]","[413.6865234375, 343.4605407714844]","[619.320068359375, 299.4725036621094]","[599.0171508789062, 321.6487731933594]","[653.3677368164062, 417.69720458984375]","[687.6422119140625, 447.87744140625]"
4,"[438.1932678222656, 112.78379821777344]","[444.65972900390625, 98.01912689208984]","[426.7413024902344, 96.62747955322266]","[428.3177795410156, 89.63981628417969]","[386.34759521484375, 88.41332244873047]","[402.9862976074219, 146.65013122558594]","[346.2644348144531, 166.26161193847656]","[418.3968200683594, 255.52328491210938]","[378.9256591796875, 297.8788146972656]","[469.1558532714844, 197.20977783203125]","[444.4454345703125, 201.55931091308594]","[446.9776611328125, 316.3980407714844]","[412.74920654296875, 342.7798156738281]","[618.9078369140625, 299.30010986328125]","[598.5115966796875, 321.3861083984375]","[653.3002319335938, 417.4707946777344]","[687.7515869140625, 447.38726806640625]"
5,"[438.03143310546875, 113.11063385009766]","[444.6326599121094, 98.42463684082031]","[426.7076416015625, 96.7598876953125]","[428.34735107421875, 89.98626708984375]","[386.3296813964844, 88.12616729736328]","[402.958740234375, 147.2938232421875]","[346.0543212890625, 166.27537536621094]","[418.9287414550781, 256.5758972167969]","[379.51226806640625, 297.9560241699219]","[469.94842529296875, 197.39259338378906]","[444.6879577636719, 200.75601196289062]","[446.980224609375, 317.6573486328125]","[412.7124938964844, 343.77423095703125]","[619.4402465820312, 300.9803771972656]","[598.924072265625, 322.6316223144531]","[653.7152709960938, 418.482177734375]","[688.3941650390625, 448.1668395996094]"
6,"[437.8353271484375, 113.35780334472656]","[444.48095703125, 98.72655487060547]","[426.5955810546875, 96.87440490722656]","[428.2016906738281, 90.14266204833984]","[386.2815246582031, 87.90554809570312]","[403.01031494140625, 147.4485321044922]","[346.0512390136719, 166.1106719970703]","[419.26849365234375, 256.8523864746094]","[380.053466796875, 297.9007568359375]","[470.79217529296875, 197.87599182128906]","[445.22882080078125, 200.7638397216797]","[447.30816650390625, 317.9850769042969]","[413.0514221191406, 343.87530517578125]","[619.8896484375, 302.11102294921875]","[599.1473388671875, 323.13427734375]","[653.5792846679688, 419.409423828125]","[688.22119140625, 448.34820556640625]"
7,"[437.9531555175781, 113.30593872070312]","[444.3955993652344, 98.71603393554688]","[426.64801025390625, 96.8880386352539]","[428.14776611328125, 90.22160339355469]","[386.2799377441406, 88.06798553466797]","[403.5754699707031, 147.7373809814453]","[346.097412109375, 166.0311737060547]","[420.75982666015625, 257.2655944824219]","[380.7630615234375, 297.4009094238281]","[472.30462646484375, 198.61239624023438]","[445.8304138183594, 200.52481079101562]","[447.3170471191406, 317.94940185546875]","[412.77410888671875, 343.566650390625]","[620.3295288085938, 302.6763610839844]","[599.6427612304688, 322.9390563964844]","[653.6451416015625, 419.71673583984375]","[688.0643920898438, 447.43505859375]"
8,"[437.991943359375, 113.16279602050781]","[444.5937194824219, 98.55919647216797]","[426.7151184082031, 96.70758819580078]","[428.4244079589844, 90.16120147705078]","[386.3841247558594, 87.93193817138672]","[403.3815612792969, 147.63351440429688]","[345.99755859375, 166.19381713867188]","[420.1802673339844, 256.35430908203125]","[380.55560302734375, 297.37286376953125]","[471.2857360839844, 198.11866760253906]","[445.0130310058594, 201.03968811035156]","[446.5402526855469, 318.1202697753906]","[412.03179931640625, 343.8426208496094]","[620.0227661132812, 302.97882080078125]","[599.19580078125, 323.3960266113281]","[653.5446166992188, 419.78741455078125]","[688.0770874023438, 447.8121032714844]"
9,"[437.8121643066406, 113.59847259521484]","[444.15765380859375, 99.04989624023438]","[426.7758483886719, 97.17015838623047]","[427.27874755859375, 90.28433990478516]","[386.589599609375, 88.06219482421875]","[402.3629150390625, 147.52308654785156]","[346.0461120605469, 165.92796325683594]","[419.2735290527344, 256.6539306640625]","[381.0350341796875, 297.15380859375]","[471.123046875, 198.29275512695312]","[445.68017578125, 201.09056091308594]","[445.77374267578125, 317.66693115234375]","[412.0296936035156, 343.2440185546875]","[619.1810302734375, 302.7145080566406]","[598.8407592773438, 322.65838623046875]","[653.561279296875, 419.2884521484375]","[687.9492797851562, 446.8722839355469]"
10,"[437.8080139160156, 113.62779235839844]","[444.3307800292969, 99.07921600341797]","[426.7412109375, 97.05535888671875]","[427.88287353515625, 90.38433837890625]","[386.53582763671875, 87.78419494628906]","[403.143310546875, 147.8481903076172]","[345.7901916503906, 166.0351104736328]","[420.6803283691406, 256.6929931640625]","[381.1493225097656, 297.1465759277344]","[472.31170654296875, 198.19029235839844]","[445.7377624511719, 200.3712615966797]","[446.3577575683594, 318.1282958984375]","[412.02154541015625, 343.62255859375]","[620.01708984375, 303.3323974609375]","[599.12841796875, 323.1208190917969]","[653.8894653320312, 419.8355712890625]","[688.3692626953125, 447.24365234375]"
11,"[438.3955078125, 113.68217468261719]","[444.6026306152344, 99.23723602294922]","[427.4875793457031, 97.11199951171875]","[427.265380859375, 90.59232330322266]","[386.8758544921875, 87.8122329711914]","[402.447265625, 147.98291015625]","[346.50982666015625, 165.91294860839844]","[419.97381591796875, 257.1110534667969]","[381.91766357421875, 296.85552978515625]","[471.77655029296875, 197.01380920410156]","[446.14337158203125, 199.36172485351562]","[447.86090087890625, 317.4394226074219]","[414.46319580078125, 342.80029296875]","[619.8739013671875, 302.52642822265625]","[599.701904296875, 322.1480712890625]","[654.3453369140625, 421.0306091308594]","[688.6966552734375, 448.2027587890625]"
12,"[438.18438720703125, 113.78964233398438]","[444.5386047363281, 99.33805847167969]","[427.2776184082031, 97.08463287353516]","[427.5527648925781, 90.96137237548828]","[386.7989501953125, 87.87458038330078]","[403.1685791015625, 149.01119995117188]","[346.1647644042969, 166.55397033691406]","[421.32562255859375, 257.813720703125]","[381.93304443359375, 296.91143798828125]","[473.74786376953125, 198.1750030517578]","[446.126708984375, 198.6969451904297]","[448.0790710449219, 318.3987121582031]","[414.15106201171875, 343.4878234863281]","[620.3871459960938, 303.4067687988281]","[599.5588989257812, 322.068359375]","[654.8585815429688, 422.23809814453125]","[689.0330810546875, 447.9884948730469]"
13,"[438.4984130859375, 113.57027435302734]","[444.79248046875, 99.07544708251953]","[427.45367431640625, 96.88453674316406]","[427.80755615234375, 90.8379135131836]","[386.7623291015625, 87.8946762084961]","[403.510986328125, 149.1916046142578]","[346.0878601074219, 166.59373474121094]","[421.1153869628906, 258.4513854980469]","[381.1851501464844, 297.1034851074219]","[473.38311767578125, 198.697998046875]","[446.2071838378906, 199.06930541992188]","[448.6892395019531, 318.61212158203125]","[414.4816589355469, 343.71209716796875]","[620.7007446289062, 303.1941833496094]","[599.8289794921875, 321.9927062988281]","[654.719970703125, 422.1376647949219]","[688.8325805664062, 447.8980407714844]"
14,"[438.54486083984375, 113.67020416259766]","[444.9532775878906, 99.18773651123047]","[427.51605224609375, 96.91165924072266]","[428.022216796875, 91.09346008300781]","[386.7745361328125, 87.95759582519531]","[403.4078063964844, 149.75344848632812]","[345.9935607910156, 166.85951232910156]","[420.9344787597656, 259.0143737792969]","[381.4303283691406, 297.14166259765625]","[473.2186279296875, 199.06605529785156]","[445.49755859375, 199.13722229003906]","[447.9168395996094, 319.0670471191406]","[413.7365417480469, 343.9866027832031]","[620.5541381835938, 304.22772216796875]","[599.691650390625, 322.5738220214844]","[655.0435180664062, 422.67132568359375]","[689.1491088867188, 447.9954528808594]"
