Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[414.400634765625, 148.19361877441406]","[419.7711486816406, 131.3539276123047]","[406.0074462890625, 131.70501708984375]","[395.69708251953125, 114.9972915649414]","[369.9954833984375, 116.06351470947266]","[366.2034606933594, 154.51527404785156]","[322.38958740234375, 171.21473693847656]","[378.2227783203125, 267.4360656738281]","[335.6956787109375, 305.7254333496094]","[434.4824523925781, 234.7246551513672]","[415.9903564453125, 241.56948852539062]","[351.4600524902344, 313.28826904296875]","[323.1654357910156, 328.714599609375]","[391.7322692871094, 310.7197265625]","[377.8614501953125, 327.96337890625]","[379.7851867675781, 390.0290222167969]","[366.31622314453125, 414.7086181640625]"
2,"[413.93475341796875, 147.99952697753906]","[419.2909240722656, 130.9885711669922]","[405.5339660644531, 131.4624481201172]","[394.7868347167969, 114.54618835449219]","[369.28802490234375, 115.96765899658203]","[364.73150634765625, 154.05548095703125]","[321.3033752441406, 171.5561065673828]","[377.2214660644531, 267.5591125488281]","[335.03997802734375, 307.2350769042969]","[435.7156677246094, 234.6368865966797]","[416.11395263671875, 241.57168579101562]","[349.84735107421875, 312.7355651855469]","[321.80621337890625, 328.6474914550781]","[390.89501953125, 308.77008056640625]","[377.551025390625, 326.5760803222656]","[379.0535583496094, 389.1227722167969]","[366.0798034667969, 414.6017761230469]"
3,"[413.39813232421875, 147.41648864746094]","[418.83251953125, 130.64471435546875]","[405.7885437011719, 130.90911865234375]","[393.0970458984375, 114.14481353759766]","[370.8514709472656, 115.14430236816406]","[362.27691650390625, 153.23910522460938]","[321.86077880859375, 170.09315490722656]","[372.6767272949219, 267.864990234375]","[333.59747314453125, 306.1625061035156]","[432.8242492675781, 234.77760314941406]","[415.9187927246094, 241.8419189453125]","[346.5960693359375, 311.57061767578125]","[320.5489196777344, 327.1423034667969]","[389.4573669433594, 309.1991271972656]","[377.47906494140625, 326.3975830078125]","[378.1932678222656, 389.84722900390625]","[366.0981140136719, 414.29052734375]"
4,"[413.8825378417969, 147.22586059570312]","[419.3599548339844, 130.4898223876953]","[406.2623291015625, 130.67173767089844]","[393.2743835449219, 113.98546600341797]","[371.1347351074219, 114.7856216430664]","[361.7214660644531, 152.87637329101562]","[322.374755859375, 169.51593017578125]","[371.54058837890625, 267.32867431640625]","[334.3536071777344, 305.3871765136719]","[431.214111328125, 233.78395080566406]","[417.9832763671875, 241.39004516601562]","[346.6069641113281, 310.9874267578125]","[321.0698547363281, 326.48272705078125]","[390.2243347167969, 308.8268737792969]","[378.1738586425781, 325.87261962890625]","[378.7619323730469, 388.8276062011719]","[365.9857177734375, 413.06378173828125]"
5,"[414.966552734375, 147.02928161621094]","[420.331787109375, 130.35739135742188]","[407.4049072265625, 130.5569305419922]","[394.373291015625, 114.13630676269531]","[372.14068603515625, 114.92234802246094]","[362.941650390625, 153.10470581054688]","[322.5218505859375, 169.7060546875]","[374.0542907714844, 266.8755798339844]","[333.640869140625, 305.1492919921875]","[436.0670471191406, 234.08175659179688]","[418.1849060058594, 241.46774291992188]","[346.701416015625, 311.7618408203125]","[320.5276794433594, 327.25762939453125]","[390.81732177734375, 307.4178466796875]","[378.0235290527344, 324.5603942871094]","[379.0001220703125, 389.1770324707031]","[365.88519287109375, 413.6269226074219]"
6,"[416.6572265625, 146.4805145263672]","[421.5694274902344, 129.79296875]","[408.6616516113281, 130.27145385742188]","[396.2704772949219, 114.29290008544922]","[372.4012756347656, 115.6656494140625]","[364.8267517089844, 153.74818420410156]","[322.83209228515625, 171.26788330078125]","[377.6472473144531, 264.8252868652344]","[333.5624084472656, 305.2941589355469]","[440.00830078125, 232.83627319335938]","[417.3966979980469, 241.43247985839844]","[348.4001770019531, 311.9563903808594]","[320.97442626953125, 328.006103515625]","[394.2627258300781, 304.93963623046875]","[380.0135803222656, 323.0425720214844]","[380.27130126953125, 386.71282958984375]","[365.2668762207031, 412.7243957519531]"
7,"[415.9085998535156, 146.57626342773438]","[420.7452392578125, 129.63748168945312]","[407.2574462890625, 130.40638732910156]","[397.809814453125, 114.15990447998047]","[370.7399597167969, 116.00164794921875]","[369.94451904296875, 155.02113342285156]","[321.2712707519531, 172.658203125]","[383.4365234375, 267.5902404785156]","[332.8193664550781, 308.1266174316406]","[443.05096435546875, 232.15811157226562]","[416.6829833984375, 239.2450714111328]","[354.3972473144531, 312.86383056640625]","[323.0135192871094, 328.87005615234375]","[395.0938415527344, 305.2733154296875]","[377.6423034667969, 323.54388427734375]","[380.2438659667969, 386.0558166503906]","[364.6346740722656, 412.25714111328125]"
8,"[416.3633728027344, 146.74069213867188]","[421.45074462890625, 129.73562622070312]","[407.7422180175781, 130.42172241210938]","[398.52227783203125, 113.75931549072266]","[371.0902404785156, 115.32925415039062]","[368.2371520996094, 153.71731567382812]","[320.59521484375, 171.29940795898438]","[381.7487487792969, 265.4502258300781]","[329.9271545410156, 306.62286376953125]","[446.6402893066406, 232.93067932128906]","[414.97705078125, 240.63711547851562]","[351.0270690917969, 311.1907653808594]","[320.2221984863281, 327.4200439453125]","[394.8939514160156, 304.1766357421875]","[378.6843566894531, 322.8177185058594]","[379.19085693359375, 385.3634948730469]","[363.91217041015625, 412.0771179199219]"
9,"[416.154052734375, 146.1433868408203]","[421.2532043457031, 129.13856506347656]","[407.7417297363281, 129.955322265625]","[398.564208984375, 113.33759307861328]","[371.5844421386719, 115.25786590576172]","[368.837158203125, 153.74620056152344]","[320.4649353027344, 171.52491760253906]","[380.1645812988281, 266.7573547363281]","[329.1259765625, 307.56781005859375]","[444.5514221191406, 231.97769165039062]","[413.9560546875, 238.73411560058594]","[351.0816955566406, 311.49102783203125]","[319.93743896484375, 327.7290344238281]","[393.54876708984375, 303.7969970703125]","[376.9888000488281, 322.3956298828125]","[379.01806640625, 384.7529296875]","[363.9458312988281, 411.34735107421875]"
10,"[416.5068359375, 145.9541473388672]","[421.59942626953125, 129.2366485595703]","[408.2466735839844, 129.8257293701172]","[399.0909423828125, 113.90547943115234]","[372.1559143066406, 115.06031799316406]","[368.0030517578125, 154.2998809814453]","[320.8686218261719, 170.88345336914062]","[380.21685791015625, 264.76910400390625]","[326.9429626464844, 304.52349853515625]","[448.4977111816406, 232.02719116210938]","[413.9434509277344, 240.0251922607422]","[350.59869384765625, 312.7652893066406]","[320.24249267578125, 328.5216979980469]","[393.5451965332031, 305.1032409667969]","[377.9191589355469, 323.1694641113281]","[378.9224548339844, 384.7005920410156]","[364.09735107421875, 410.6322326660156]"
