id,task,mean_scl,stdev_scl
2,D1,5.948626599,0.403137136
2,J2,5.392799719,0.141548238
2,M1,4.812215743,0.2098767
2,P1,5.334445489,0.246874478
2,W1,8.015639584,0.50834641
3,D1,0.110922344,0.00134453
3,J1,0.110117146,0.003221993
3,M1,0.114954219,0.004484342
3,P1,0.106399792,0.001200372
3,W1,0.097790347,0.002128789
4,D1,2.045763952,0.117791691
4,J1,2.333010224,0.214213726
4,M1,2.846090211,0.322873915
4,P1,2.660509842,0.244832006
4,W1,2.736732676,0.252183675
5,J1,1.202436587,0.172154895
5,M1,0.999169807,0.048182373
5,P1,1.349653248,0.076880343
5,W1,1.156770286,0.116988618
6,D1,3.286735261,0.212698596
6,J1,3.238023548,0.146088531
6,M1,3.775675356,0.127827047
6,P1,3.352292693,0.09259569
6,W1,3.790562035,0.154886493
7,D1,1.174161949,0.198092092
7,J1,1.568787207,0.464013405
7,M1,1.590267926,0.544464287
7,P1,1.164547708,0.219647846
7,W1,1.466095586,0.286045678
8,D1,7.412454473,1.739724069
8,J1,7.917795002,0.754941108
8,M1,7.563477537,0.94702972
8,P1,8.550057073,1.274028108
8,W1,7.339189069,1.160936162
9,D1,0.930990138,0.105824286
9,J1,1.488859755,0.19946809
9,M1,0.930643856,0.257946727
9,P1,1.521081034,0.313631175
9,W1,0.903817897,0.087095633
10,D1,2.591041683,0.286289325
10,J1,2.746584872,0.290604974
10,M1,2.715749986,0.203744954
10,P1,2.648410477,0.341008569
10,W1,2.891228279,0.352433689
12,D1,9.548443049,0.302792152
12,J1,8.259847853,0.664293436
12,M1,9.290693918,0.351850453
12,P1,8.231486257,0.656109823
12,W1,8.387423057,0.599116781
13,D1,15.09150348,0.736004927
13,J1,12.5445365,0.980345505
13,M1,12.16526627,1.746718084
13,P1,13.55112459,1.460532877
13,W1,12.04370487,1.231888533
14,D1,4.642772045,0.553533457
14,J1,5.432419203,0.445661211
14,M1,5.005653521,0.368288113
14,P1,5.302616933,0.286170848
14,W1,5.619027519,0.374067534
15,D1,0.912139112,0.578158554
15,J1,1.063098429,0.330624394
15,M1,1.262716484,0.292108186
15,P1,1.596521755,0.590102517
15,W1,1.066179544,0.10392701
16,D1,4.60947625,0.418166622
16,J1,3.084220015,0.56102142
16,M1,3.769494831,0.527060934
16,P1,3.470584019,0.480751827
16,W1,3.574855276,0.513140578
17,D1,6.594016706,0.54203039
17,J1,6.446734026,0.410781896
17,M1,7.139490515,0.376332904
17,P1,6.946854199,0.698004757
17,W1,6.548604561,0.479521966
18,D1,3.079777376,0.322965423
18,J1,2.888655981,0.778226251
18,M1,2.777569818,0.37433234
18,P1,2.853270298,0.562835082
18,W1,2.528328427,0.495836107
19,D1,0.822131042,0.090906
19,J1,0.94523664,0.074735626
19,M1,1.172522267,0.074900175
19,P1,1.000460949,0.062388503
19,W1,1.206168573,0.089142559
20,D1,7.5102709,1.35265948
20,J1,9.961736374,2.106467768
20,M1,9.968918814,1.201477538
20,P1,9.139435726,1.47308024
20,W1,9.457760976,1.86788328
21,D1,5.429452447,0.809231819
21,J1,5.18689017,0.734123524
21,M1,4.705552437,0.803180341
21,P1,5.252425963,0.509684122
21,W1,5.305504087,0.535873397
22,D1,0.586302554,0.019060363
22,J1,0.65350288,0.025941866
22,M1,0.5867767,0.013122168
22,P1,0.562169072,0.01613571
22,W1,0.624502499,0.022202987
23,D1,11.36851084,1.146115911
23,J1,9.828981049,2.381586298
23,M1,9.679886413,1.206071722
23,P1,13.12582255,2.032797254
23,W1,9.769858364,0.964027141
24,D1,6.014233679,0.690655996
24,J1,4.571966771,0.456306484
24,M1,4.941769258,0.334906725
24,P1,4.791394744,0.463369665
24,W1,4.721617608,0.488704945
25,D1,0.988843575,0.34044236
25,J1,1.241315861,0.490183164
25,M1,1.242498638,0.384057994
25,P1,1.555779459,0.382151457
25,W1,1.22313296,0.253165279
26,D1,5.030129195,0.571366718
26,J1,5.318914434,0.342615276
26,M1,6.538383415,0.320529175
26,P1,5.389075815,0.353483696
26,W1,5.757172072,0.239329777
27,D1,1.59432005,0.520940986
27,J1,1.763424181,1.206277853
27,M1,1.39803172,0.557537466
27,P1,1.1276431,0.488504525
27,W1,2.080645408,0.78229381
28,D1,4.867351028,0.483697953
28,J1,5.455027786,0.68349221
28,M1,5.708068907,0.683917688
28,P1,4.230172079,0.691207547
28,W1,5.529000816,0.646022716
29,D1,5.704661123,2.08124126
29,J1,4.946579063,0.54351039
29,M1,7.643465288,1.483945246
29,P1,7.054285445,1.574806201
29,W1,7.703026323,1.391700435
31,D1,9.800404587,1.271421696
31,J1,8.40672207,1.802645835
31,M1,8.621450204,1.204870853
31,P1,8.566901073,1.223886997
31,W1,8.719619127,1.503562072
